"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","34564","3","473"
"05-09 years","Georgia","60962","5","377"
"10-17 years","Georgia","160123","16","1421"
"18-29 years","Georgia","371054","236","7317"
"30-39 years","Georgia","285929","615","9107"
"40-49 years","Georgia","258864","1371","12239"
"50-59 years","Georgia","231201","3194","17671"
"60-69 years","Georgia","150791","5693","19722"
"70-79 years","Georgia","82927","7258","17856"
"80 & Older years","Georgia","43953","8462","13170"
"<1 years","Georgia","11776","1","574"
"Unknown years","Georgia","4834","0","194"
"01-04 years","Appling","63","0","0"
"05-09 years","Appling","107","0","0"
"10-17 years","Appling","382","0","3"
"18-29 years","Appling","574","1","8"
"30-39 years","Appling","448","3","10"
"40-49 years","Appling","439","9","28"
"50-59 years","Appling","442","11","44"
"60-69 years","Appling","360","22","69"
"70-79 years","Appling","241","25","47"
"80 & Older years","Appling","126","28","41"
"<1 years","Appling","12","0","0"
"Unknown years","Appling","1","0","0"
"01-04 years","Atkinson","27","0","2"
"05-09 years","Atkinson","51","0","1"
"10-17 years","Atkinson","140","0","1"
"18-29 years","Atkinson","283","0","16"
"30-39 years","Atkinson","208","0","15"
"40-49 years","Atkinson","202","4","34"
"50-59 years","Atkinson","198","5","37"
"60-69 years","Atkinson","131","7","42"
"70-79 years","Atkinson","63","8","25"
"80 & Older years","Atkinson","24","8","14"
"<1 years","Atkinson","8","0","0"
"Unknown years","Atkinson","1","0","0"
"01-04 years","Bacon","48","0","1"
"05-09 years","Bacon","64","0","0"
"10-17 years","Bacon","200","0","1"
"18-29 years","Bacon","574","0","9"
"30-39 years","Bacon","329","1","12"
"40-49 years","Bacon","322","5","22"
"50-59 years","Bacon","244","3","22"
"60-69 years","Bacon","222","17","47"
"70-79 years","Bacon","137","14","39"
"80 & Older years","Bacon","63","13","21"
"<1 years","Bacon","15","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","11","0","0"
"05-09 years","Baker","18","0","0"
"10-17 years","Baker","20","0","0"
"18-29 years","Baker","49","0","0"
"30-39 years","Baker","32","0","4"
"40-49 years","Baker","32","3","3"
"50-59 years","Baker","37","0","4"
"60-69 years","Baker","43","3","16"
"70-79 years","Baker","23","3","11"
"80 & Older years","Baker","16","4","6"
"<1 years","Baker","3","0","0"
"01-04 years","Baldwin","102","0","1"
"05-09 years","Baldwin","204","0","0"
"10-17 years","Baldwin","508","1","5"
"18-29 years","Baldwin","1890","0","22"
"30-39 years","Baldwin","935","2","20"
"40-49 years","Baldwin","873","6","44"
"50-59 years","Baldwin","822","22","80"
"60-69 years","Baldwin","627","40","90"
"70-79 years","Baldwin","381","44","70"
"80 & Older years","Baldwin","216","62","75"
"<1 years","Baldwin","36","0","3"
"Unknown years","Baldwin","5","0","0"
"01-04 years","Banks","39","0","2"
"05-09 years","Banks","72","0","1"
"10-17 years","Banks","229","0","5"
"18-29 years","Banks","597","0","20"
"30-39 years","Banks","425","0","21"
"40-49 years","Banks","442","6","29"
"50-59 years","Banks","443","6","40"
"60-69 years","Banks","358","16","70"
"70-79 years","Banks","249","24","77"
"80 & Older years","Banks","109","15","36"
"<1 years","Banks","22","0","3"
"Unknown years","Banks","21","0","1"
"01-04 years","Barrow","324","0","1"
"05-09 years","Barrow","589","0","2"
"10-17 years","Barrow","1719","1","13"
"18-29 years","Barrow","3458","1","65"
"30-39 years","Barrow","3070","3","86"
"40-49 years","Barrow","2958","13","120"
"50-59 years","Barrow","2420","19","176"
"60-69 years","Barrow","1573","48","194"
"70-79 years","Barrow","863","55","143"
"80 & Older years","Barrow","372","64","121"
"<1 years","Barrow","130","0","11"
"Unknown years","Barrow","15","0","2"
"01-04 years","Bartow","376","0","12"
"05-09 years","Bartow","556","0","4"
"10-17 years","Bartow","1798","0","17"
"18-29 years","Bartow","3849","0","39"
"30-39 years","Bartow","3105","6","68"
"40-49 years","Bartow","2998","8","122"
"50-59 years","Bartow","3038","35","224"
"60-69 years","Bartow","1905","85","233"
"70-79 years","Bartow","1201","112","255"
"80 & Older years","Bartow","567","97","153"
"<1 years","Bartow","156","0","8"
"Unknown years","Bartow","54","0","3"
"01-04 years","Ben Hill","42","0","1"
"05-09 years","Ben Hill","38","0","0"
"10-17 years","Ben Hill","165","0","0"
"18-29 years","Ben Hill","405","0","5"
"30-39 years","Ben Hill","311","3","13"
"40-49 years","Ben Hill","280","2","14"
"50-59 years","Ben Hill","295","8","34"
"60-69 years","Ben Hill","250","17","36"
"70-79 years","Ben Hill","163","22","56"
"80 & Older years","Ben Hill","77","20","21"
"<1 years","Ben Hill","14","0","2"
"01-04 years","Berrien","47","0","1"
"05-09 years","Berrien","51","0","0"
"10-17 years","Berrien","163","0","1"
"18-29 years","Berrien","332","0","0"
"30-39 years","Berrien","286","0","5"
"40-49 years","Berrien","219","1","7"
"50-59 years","Berrien","243","6","23"
"60-69 years","Berrien","187","11","28"
"70-79 years","Berrien","129","18","22"
"80 & Older years","Berrien","64","15","15"
"<1 years","Berrien","13","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","422","0","7"
"05-09 years","Bibb","746","0","4"
"10-17 years","Bibb","1978","0","14"
"18-29 years","Bibb","5921","4","138"
"30-39 years","Bibb","4434","11","194"
"40-49 years","Bibb","3952","28","315"
"50-59 years","Bibb","3499","61","426"
"60-69 years","Bibb","2605","138","562"
"70-79 years","Bibb","1421","168","466"
"80 & Older years","Bibb","816","197","380"
"<1 years","Bibb","121","0","8"
"Unknown years","Bibb","17","0","1"
"01-04 years","Bleckley","18","0","0"
"05-09 years","Bleckley","48","0","0"
"10-17 years","Bleckley","150","0","0"
"18-29 years","Bleckley","306","0","6"
"30-39 years","Bleckley","184","1","5"
"40-49 years","Bleckley","164","1","2"
"50-59 years","Bleckley","161","4","9"
"60-69 years","Bleckley","117","9","15"
"70-79 years","Bleckley","80","8","14"
"80 & Older years","Bleckley","64","18","14"
"<1 years","Bleckley","9","0","0"
"Unknown years","Bleckley","1","0","0"
"01-04 years","Brantley","42","0","0"
"05-09 years","Brantley","76","0","0"
"10-17 years","Brantley","232","0","1"
"18-29 years","Brantley","408","0","5"
"30-39 years","Brantley","317","3","8"
"40-49 years","Brantley","294","5","20"
"50-59 years","Brantley","324","17","34"
"60-69 years","Brantley","229","15","38"
"70-79 years","Brantley","149","25","45"
"80 & Older years","Brantley","64","13","18"
"<1 years","Brantley","7","0","0"
"Unknown years","Brantley","2","0","0"
"01-04 years","Brooks","43","0","1"
"05-09 years","Brooks","60","0","0"
"10-17 years","Brooks","141","0","0"
"18-29 years","Brooks","299","0","4"
"30-39 years","Brooks","235","1","10"
"40-49 years","Brooks","223","2","15"
"50-59 years","Brooks","251","6","32"
"60-69 years","Brooks","152","12","28"
"70-79 years","Brooks","128","17","26"
"80 & Older years","Brooks","79","19","22"
"<1 years","Brooks","17","0","0"
"01-04 years","Bryan","162","0","0"
"05-09 years","Bryan","270","0","2"
"10-17 years","Bryan","710","0","4"
"18-29 years","Bryan","1146","1","20"
"30-39 years","Bryan","1012","4","29"
"40-49 years","Bryan","976","5","51"
"50-59 years","Bryan","673","8","55"
"60-69 years","Bryan","418","18","61"
"70-79 years","Bryan","250","19","90"
"80 & Older years","Bryan","92","10","33"
"<1 years","Bryan","61","0","4"
"Unknown years","Bryan","14","0","0"
