"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","3195","US-13001","13","1","18561","250","99","17213.51","533.38","1713.27","318","942","10","18"
"Atkinson","1336","US-13003","13","3","8330","187","32","16038.42","384.15","1332.53","111","476","7","18"
"Bacon","2219","US-13005","13","5","11404","174","53","19458.08","464.75","1631.01","186","803","12","14"
"Baker","284","US-13007","13","7","3116","44","13","9114.25","417.2","1059.05","33","186","1","3"
"Baldwin","6599","US-13009","13","9","44428","410","177","14853.25","398.4","1746.65","776","1900","28","17"
"Banks","3006","US-13011","13","11","19982","305","67","15043.54","335.3","1616.45","323","428","6","4"
"Barrow","17491","US-13013","13","13","86383","934","204","20248.2","236.16","2608.15","2253","2232","8","5"
"Bartow","19603","US-13015","13","15","110771","1138","343","17696.87","309.65","1661.99","1841","6511","48","96"
"Ben Hill","2040","US-13017","13","17","16645","182","72","12255.93","432.56","726.95","121","1678","41","64"
"Berrien","1735","US-13019","13","19","19276","102","51","9000.83","264.58","726.29","140","2341","21","35"
"Bibb","25932","US-13021","13","21","152150","2515","607","17043.71","398.95","1896.81","2886","7101","73","74"
"Bleckley","1302","US-13023","13","23","12838","65","41","10141.77","319.36","1074.93","138","1636","44","64"
"Brantley","2144","US-13025","13","25","19202","169","78","11165.5","406.21","984.27","189","1332","14","32"
"Brooks","1628","US-13027","13","27","15727","138","57","10351.62","362.43","1030.08","162","1270","19","25"
"Bryan","5784","US-13029","13","29","39137","349","65","14778.85","166.08","2197.41","860","1913","13","16"
"Bulloch","9424","US-13031","13","31","79467","330","101","11859.01","127.1","1304.94","1037","4277","130","199"
"Burke","2683","US-13033","13","33","22342","207","49","12008.77","219.32","1127.92","252","1999","39","30"
"Butts","4321","US-13035","13","35","25174","231","115","17164.53","456.82","1600.86","403","1627","11","15"
"Calhoun","709","US-13037","13","37","6317","96","21","11223.68","332.44","1266.42","80","292","1","3"
"Camden","7323","US-13039","13","39","53924","227","84","13580.22","155.77","1624.51","876","2102","17","35"
"Candler","1221","US-13043","13","43","10837","90","51","11266.96","470.61","599.8","65","578","40","37"
"Carroll","13106","US-13045","13","45","120119","417","163","10910.85","135.7","1206.3","1449","8456","219","289"
"Catoosa","10494","US-13047","13","47","68771","355","103","15259.34","149.77","1667.85","1147","1445","26","35"
"Charlton","1915","US-13049","13","49","13251","111","44","14451.74","332.05","1003.7","133","580","14","19"
"Chatham","46060","US-13051","13","51","292176","2888","689","15764.47","235.82","3001.96","8771","7210","58","58"
"Chattahoochee","5690","US-13053","13","53","10749","46","16","52935.16","148.85","1414.09","152","827","5","4"
"Chattooga","4559","US-13055","13","55","24766","285","100","18408.3","403.78","2325.77","576","1111","15","21"
"Cherokee","40920","US-13057","13","57","266617","2195","471","15347.86","176.66","1653.68","4409","15941","31","49"
"Clarke","23341","US-13059","13","59","129779","990","183","17985.19","141.01","2437.22","3163","3229","9","5"
"Clay","307","US-13061","13","61","2855","14","4","10753.06","140.11","1961.47","56","146","0","4"
"Clayton","49629","US-13063","13","63","304838","2829","758","16280.45","248.66","1716.65","5233","5878","55","18"
"Clinch","1216","US-13065","13","65","6656","89","34","18269.23","510.82","2148.44","143","546","2","10"
"Cobb","119233","US-13067","13","67","790588","4528","1385","15081.56","175.19","1513.43","11965","33171","122","249"
"Coffee","7366","US-13069","13","69","43042","940","198","17113.52","460.02","1795.92","773","1849","51","97"
"Colquitt","7016","US-13071","13","71","45393","368","138","15456.13","304.01","2163.33","982","2598","69","32"
"Columbia","17538","US-13073","13","73","158631","743","265","11055.85","167.05","1060.95","1683","13315","63","93"
"Cook","1874","US-13075","13","75","17437","135","53","10747.26","303.95","877.44","153","2416","12","22"
"Coweta","18918","US-13077","13","77","152001","1166","366","12445.97","240.79","1426.31","2168","10773","47","47"
"Crawford","1029","US-13079","13","79","12228","113","40","8415.11","327.12","973.18","119","437","8","4"
"Crisp","2279","US-13081","13","81","22289","194","67","10224.77","300.6","1444.66","322","1726","57","91"
"Dade","2190","US-13083","13","83","16162","87","22","13550.3","136.12","1132.29","183","473","3","6"
"Dawson","5477","US-13085","13","85","27021","366","81","20269.42","299.77","2264.91","612","620","2","3"
"DeKalb","110747","US-13089","13","89","793154","7305","1294","13962.86","163.15","1451.92","11516","16494","144","66"
"Decatur","4019","US-13087","13","87","26322","234","80","15268.6","303.93","1386.67","365","1577","32","69"
"Dodge","1799","US-13091","13","91","20385","127","64","8825.12","313.96","961.49","196","2671","73","82"
"Dooly","1333","US-13093","13","93","13400","107","39","9947.76","291.04","1365.67","183","730","24","28"
"Dougherty","12187","US-13095","13","95","89905","1457","399","13555.42","443.8","2464.82","2216","4153","38","21"
"Douglas","25814","US-13097","13","97","151906","1204","268","16993.4","176.42","2095.37","3183","6094","62","119"
"Early","1871","US-13099","13","99","10146","111","53","18440.76","522.37","2562.59","260","493","5","17"
"Echols","428","US-13101","13","101","3969","16","5","10783.57","125.98","352.73","14","368","6","9"
"Effingham","8726","US-13103","13","103","64026","535","154","13628.84","240.53","1952.33","1250","2104","23","22"
