"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","7890","37"
"Hispanic/Latino","American Indian/Alaska Native","512","2"
"Hispanic/Latino","Asian","837","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","551","4"
"Hispanic/Latino","Other","56871","456"
"Hispanic/Latino","Unknown","33030","15"
"Hispanic/Latino","White","78277","839"
"Non-Hispanic/Latino","African-American/Black","461919","8947"
"Non-Hispanic/Latino","American Indian/Alaska Native","989","22"
"Non-Hispanic/Latino","Asian","36159","456"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1237","17"
"Non-Hispanic/Latino","Other","30258","116"
"Non-Hispanic/Latino","Unknown","14989","15"
"Non-Hispanic/Latino","White","623637","15781"
"Unknown","African-American/Black","38749","16"
"Unknown","American Indian/Alaska Native","675","0"
"Unknown","Asian","6323","3"
"Unknown","Native Hawaiian/Pacific Islander","337","0"
"Unknown","Other","35238","14"
"Unknown","Unknown","221655","85"
"Unknown","White","46845","26"
