"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","30301","3","440"
"05-09 years","Georgia","54369","5","366"
"10-17 years","Georgia","146781","15","1383"
"18-29 years","Georgia","346606","231","7082"
"30-39 years","Georgia","265497","609","8869"
"40-49 years","Georgia","240953","1360","11996"
"50-59 years","Georgia","214847","3163","17277"
"60-69 years","Georgia","140293","5641","19266"
"70-79 years","Georgia","77603","7190","17359"
"80 & Older years","Georgia","41401","8371","12777"
"<1 years","Georgia","10316","1","545"
"Unknown years","Georgia","3932","0","178"
"01-04 years","Appling","58","0","0"
"05-09 years","Appling","96","0","0"
"10-17 years","Appling","352","0","3"
"18-29 years","Appling","527","1","8"
"30-39 years","Appling","398","3","10"
"40-49 years","Appling","395","9","28"
"50-59 years","Appling","417","11","44"
"60-69 years","Appling","345","22","67"
"70-79 years","Appling","227","25","46"
"80 & Older years","Appling","118","28","41"
"<1 years","Appling","11","0","0"
"Unknown years","Appling","1","0","0"
"01-04 years","Atkinson","23","0","1"
"05-09 years","Atkinson","47","0","1"
"10-17 years","Atkinson","123","0","1"
"18-29 years","Atkinson","266","0","15"
"30-39 years","Atkinson","195","0","15"
"40-49 years","Atkinson","191","4","34"
"50-59 years","Atkinson","189","5","37"
"60-69 years","Atkinson","125","7","41"
"70-79 years","Atkinson","63","8","25"
"80 & Older years","Atkinson","23","8","14"
"<1 years","Atkinson","7","0","0"
"Unknown years","Atkinson","1","0","0"
"01-04 years","Bacon","42","0","0"
"05-09 years","Bacon","58","0","0"
"10-17 years","Bacon","175","0","1"
"18-29 years","Bacon","543","0","9"
"30-39 years","Bacon","303","1","11"
"40-49 years","Bacon","300","5","22"
"50-59 years","Bacon","229","3","22"
"60-69 years","Bacon","212","17","47"
"70-79 years","Bacon","131","14","36"
"80 & Older years","Bacon","58","13","20"
"<1 years","Bacon","14","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","10","0","0"
"05-09 years","Baker","15","0","0"
"10-17 years","Baker","17","0","0"
"18-29 years","Baker","46","0","0"
"30-39 years","Baker","28","0","4"
"40-49 years","Baker","28","3","3"
"50-59 years","Baker","36","0","4"
"60-69 years","Baker","40","3","16"
"70-79 years","Baker","20","3","11"
"80 & Older years","Baker","16","4","6"
"<1 years","Baker","3","0","0"
"01-04 years","Baldwin","84","0","1"
"05-09 years","Baldwin","177","0","0"
"10-17 years","Baldwin","458","1","5"
"18-29 years","Baldwin","1809","0","21"
"30-39 years","Baldwin","839","2","20"
"40-49 years","Baldwin","800","5","44"
"50-59 years","Baldwin","774","22","78"
"60-69 years","Baldwin","580","40","90"
"70-79 years","Baldwin","354","44","69"
"80 & Older years","Baldwin","207","62","75"
"<1 years","Baldwin","32","0","3"
"Unknown years","Baldwin","1","0","0"
"01-04 years","Banks","32","0","1"
"05-09 years","Banks","65","0","1"
"10-17 years","Banks","206","0","5"
"18-29 years","Banks","549","0","19"
"30-39 years","Banks","399","0","20"
"40-49 years","Banks","414","6","29"
"50-59 years","Banks","410","6","40"
"60-69 years","Banks","338","16","68"
"70-79 years","Banks","238","24","77"
"80 & Older years","Banks","104","15","36"
"<1 years","Banks","19","0","2"
"Unknown years","Banks","20","0","1"
"01-04 years","Barrow","273","0","1"
"05-09 years","Barrow","522","0","2"
