"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","851482","12395","50117"
"Male","Georgia","710879","14187","47187"
"Unknown","Georgia","10538","7","234"
"Female","Appling","1617","47","127"
"Male","Appling","1318","52","120"
"Unknown","Appling","10","0","0"
"Female","Atkinson","681","12","91"
"Male","Atkinson","569","20","93"
"Unknown","Atkinson","3","0","0"
"Female","Bacon","940","22","80"
"Male","Bacon","1124","31","88"
"Unknown","Bacon","2","0","0"
"Female","Baker","144","5","21"
"Male","Baker","115","8","23"
"Female","Baldwin","3433","59","174"
"Male","Baldwin","2668","117","232"
"Unknown","Baldwin","14","0","0"
"Female","Banks","1513","34","163"
"Male","Banks","1269","33","136"
"Unknown","Banks","12","0","0"
"Female","Barrow","8769","96","484"
"Male","Barrow","7432","104","430"
"Unknown","Barrow","53","0","1"
"Female","Bartow","9840","151","543"
"Male","Bartow","8525","184","571"
"Unknown","Bartow","103","0","0"
"Female","Ben Hill","1120","31","98"
"Male","Ben Hill","829","41","84"
"Unknown","Ben Hill","2","0","0"
"Female","Berrien","890","27","55"
"Male","Berrien","733","24","44"
"Unknown","Berrien","5","0","0"
"Female","Bibb","13877","312","1346"
"Male","Bibb","10153","290","1126"
"Unknown","Bibb","135","0","1"
"Female","Bleckley","684","23","35"
"Male","Bleckley","507","18","30"
"Unknown","Bleckley","5","0","0"
"Female","Brantley","1076","36","90"
"Male","Brantley","921","41","78"
"Unknown","Brantley","6","0","0"
"Female","Brooks","845","22","73"
"Male","Brooks","658","35","63"
"Unknown","Brooks","4","0","0"
"Female","Bryan","2701","25","153"
"Male","Bryan","2467","40","190"
"Unknown","Bryan","2","0","0"
"Female","Bulloch","4932","57","180"
"Male","Bulloch","3793","43","147"
"Unknown","Bulloch","20","0","0"
"Female","Burke","1380","25","106"
"Male","Burke","1100","24","96"
"Unknown","Burke","10","0","1"
"Female","Butts","2018","54","99"
"Male","Butts","2043","60","123"
"Unknown","Butts","23","0","0"
"Female","Calhoun","333","14","42"
"Male","Calhoun","311","7","50"
"Unknown","Calhoun","1","0","0"
"Female","Camden","3576","40","122"
"Male","Camden","3140","42","104"
"Female","Candler","637","17","52"
"Male","Candler","533","34","37"
"Female","Carroll","6542","74","191"
"Male","Carroll","5696","88","213"
"Unknown","Carroll","47","1","4"
"Female","Catoosa","5145","53","171"
"Male","Catoosa","4482","46","170"
"Unknown","Catoosa","86","0","3"
"Female","Charlton","701","18","60"
"Male","Charlton","1117","26","51"
"Unknown","Charlton","7","0","0"
"Female","Chatham","22056","311","1448"
"Male","Chatham","18038","376","1354"
"Unknown","Chatham","31","0","2"
"Female","Chattahoochee","446","3","17"
"Male","Chattahoochee","5122","13","27"
"Unknown","Chattahoochee","17","0","0"
"Female","Chattooga","2264","46","130"
"Male","Chattooga","1869","52","148"
"Unknown","Chattooga","14","0","0"
"Female","Cherokee","20432","196","1004"
"Male","Cherokee","17775","272","1149"
"Unknown","Cherokee","109","0","1"
"Female","Clarke","12082","76","489"
"Male","Clarke","9353","105","445"
"Unknown","Clarke","51","0","2"
"Female","Clay","152","1","8"
"Male","Clay","112","3","6"
"Unknown","Clay","2","0","0"
"Female","Clayton","26958","379","1473"
"Male","Clayton","19685","374","1233"
"Unknown","Clayton","186","0","2"
"Female","Clinch","570","15","46"
"Male","Clinch","536","19","42"
"Unknown","Clinch","1","0","0"
"Female","Cobb","60881","612","2213"
"Male","Cobb","50709","749","2247"
"Unknown","Cobb","400","0","5"
"Female","Coffee","3765","105","514"
"Male","Coffee","3072","93","413"
"Unknown","Coffee","22","0","0"
"Female","Colquitt","3328","59","181"
"Male","Colquitt","2966","78","185"
"Unknown","Colquitt","9","0","0"
"Female","Columbia","8750","107","363"
"Male","Columbia","7642","156","362"
"Unknown","Columbia","41","0","1"
"Female","Cook","994","24","72"
"Male","Cook","766","29","61"
"Unknown","Cook","2","0","0"
"Female","Coweta","9488","154","583"
"Male","Coweta","8175","207","521"
"Unknown","Coweta","61","0","5"
"Female","Crawford","520","18","55"
"Male","Crawford","425","22","57"
"Unknown","Crawford","4","0","0"
"Female","Crisp","1175","32","114"
"Male","Crisp","870","34","78"
"Unknown","Crisp","17","0","0"
"Female","Dade","1069","12","41"
"Male","Dade","968","8","42"
"Unknown","Dade","18","0","0"
"Female","Dawson","2755","33","169"
"Male","Dawson","2359","47","193"
"Unknown","Dawson","27","0","0"
"Female","DeKalb","57697","615","3809"
"Male","DeKalb","45798","663","3319"
"Unknown","DeKalb","741","0","12"
"Female","Decatur","2165","36","131"
"Male","Decatur","1602","44","102"
"Unknown","Decatur","13","0","0"
"Female","Dodge","896","29","65"
"Male","Dodge","762","35","61"
"Unknown","Dodge","12","0","0"
"Female","Dooly","669","17","54"
"Male","Dooly","560","21","52"
"Unknown","Dooly","4","0","0"
"Female","Dougherty","6150","208","814"
"Male","Dougherty","4321","186","594"
"Unknown","Dougherty","70","1","1"
"Female","Douglas","13533","126","639"
"Male","Douglas","10733","134","545"
"Unknown","Douglas","69","0","2"
"Female","Early","977","30","69"
"Male","Early","668","23","38"
"Unknown","Early","8","0","0"
"Female","Echols","174","1","3"
"Male","Echols","247","4","12"
"Unknown","Echols","1","0","0"
"Female","Effingham","4218","65","264"
"Male","Effingham","3696","88","263"
"Unknown","Effingham","9","0","0"
"Female","Elbert","1287","36","122"
"Male","Elbert","937","36","79"
"Unknown","Elbert","8","0","1"
"Female","Emanuel","1600","43","115"
"Male","Emanuel","1209","31","66"
"Unknown","Emanuel","11","0","0"
"Female","Evans","678","16","70"
"Male","Evans","529","20","42"
"Unknown","Evans","2","0","0"
"Female","Fannin","1888","36","128"
"Male","Fannin","1634","62","158"
"Unknown","Fannin","8","0","0"
"Female","Fayette","7315","103","371"
"Male","Fayette","6391","127","409"
"Unknown","Fayette","53","0","1"
"Female","Floyd","10017","139","647"
"Male","Floyd","8338","190","661"
"Unknown","Floyd","92","0","2"
"Female","Forsyth","17671","119","628"
"Male","Forsyth","16313","174","747"
"Unknown","Forsyth","701","0","0"
"Female","Franklin","2026","26","124"
"Male","Franklin","1637","43","107"
"Unknown","Franklin","13","0","0"
"Female","Fulton","83757","832","4599"
"Male","Fulton","70180","905","4143"
"Unknown","Fulton","781","0","41"
"Female","Gilmer","2112","56","185"
"Male","Gilmer","1746","68","190"
"Unknown","Gilmer","25","0","0"
"Female","Glascock","107","3","11"
"Male","Glascock","101","4","17"
"Unknown","Glascock","9","0","0"
"Female","Glynn","7713","141","349"
"Male","Glynn","6569","168","342"
"Unknown","Glynn","6","0","0"
"Female","Gordon","5166","80","218"
"Male","Gordon","4505","103","229"
"Unknown","Gordon","96","0","1"
"Female","Grady","1570","29","131"
"Male","Grady","1177","39","118"
"Unknown","Grady","17","0","0"
"Female","Greene","1449","30","104"
"Male","Greene","1223","35","120"
"Unknown","Greene","6","0","0"
"Female","Gwinnett","76665","681","3494"
"Male","Gwinnett","65246","807","3285"
"Unknown","Gwinnett","744","0","3"
"Female","Habersham","3916","97","317"
"Male","Habersham","3219","109","345"
"Unknown","Habersham","25","0","1"
"Female","Hall","21293","301","1595"
"Male","Hall","18403","362","1690"
"Unknown","Hall","239","1","2"
"Female","Hancock","609","32","60"
"Male","Hancock","579","44","64"
"Unknown","Hancock","2","0","0"
"Female","Haralson","1470","26","58"
"Male","Haralson","1281","23","42"
"Unknown","Haralson","16","0","0"
"Female","Harris","2064","39","130"
"Male","Harris","1826","47","144"
"Unknown","Harris","38","0","0"
"Female","Hart","1464","25","89"
"Male","Hart","1138","25","83"
"Unknown","Hart","7","0","0"
"Female","Heard","672","17","34"
"Male","Heard","576","10","46"
"Unknown","Heard","3","0","0"
"Female","Henry","22083","231","907"
"Male","Henry","17032","275","764"
"Unknown","Henry","77","0","1"
"Female","Houston","10373","141","571"
"Male","Houston","8302","158","553"
"Unknown","Houston","70","0","2"
"Female","Irwin","458","14","55"
"Male","Irwin","480","8","43"
"Unknown","Irwin","2","0","0"
"Female","Jackson","8172","97","432"
"Male","Jackson","7086","132","472"
"Unknown","Jackson","69","0","0"
"Female","Jasper","693","14","72"
"Male","Jasper","596","19","59"
"Unknown","Jasper","5","0","0"
"Female","Jeff Davis","1015","17","56"
"Male","Jeff Davis","864","28","68"
"Unknown","Jeff Davis","2","0","0"
"Female","Jefferson","1120","33","104"
"Male","Jefferson","846","38","93"
"Unknown","Jefferson","9","0","0"
"Female","Jenkins","544","18","44"
"Male","Jenkins","388","24","50"
"Unknown","Jenkins","1","1","1"
"Female","Johnson","576","22","60"
"Male","Johnson","556","30","57"
"Unknown","Johnson","5","0","0"
"Female","Jones","1710","36","138"
"Male","Jones","1340","54","142"
"Unknown","Jones","12","0","0"
"Female","Lamar","1542","36","99"
"Male","Lamar","1217","51","103"
"Unknown","Lamar","6","0","0"
"Female","Lanier","428","5","16"
"Male","Lanier","425","7","21"
"Unknown","Lanier","4","0","0"
"Female","Laurens","3893","92","213"
"Male","Laurens","2909","120","223"
"Unknown","Laurens","32","0","0"
"Female","Lee","1668","40","167"
"Male","Lee","1297","38","151"
"Unknown","Lee","7","0","0"
"Female","Liberty","4013","43","181"
"Male","Liberty","3727","56","164"
"Unknown","Liberty","8","0","0"
"Female","Lincoln","405","15","39"
"Male","Lincoln","342","12","37"
"Unknown","Lincoln","13","0","0"
"Female","Long","868","8","49"
"Male","Long","712","13","35"
"Unknown","Long","3","0","0"
"Female","Lowndes","6873","131","329"
"Male","Lowndes","5410","105","241"
"Unknown","Lowndes","37","0","0"
"Female","Lumpkin","2866","49","235"
"Male","Lumpkin","2424","45","209"
"Unknown","Lumpkin","20","0","0"
"Female","Macon","525","13","48"
"Male","Macon","483","27","61"
"Unknown","Macon","2","0","0"
"Female","Madison","2654","27","166"
"Male","Madison","2216","47","145"
"Unknown","Madison","8","0","0"
"Female","Marion","448","17","34"
"Male","Marion","312","19","38"
"Unknown","Marion","1","0","0"
"Female","McDuffie","1427","35","123"
"Male","McDuffie","1097","29","105"
"Unknown","McDuffie","79","0","1"
"Female","McIntosh","849","14","42"
"Male","McIntosh","724","15","50"
"Female","Meriwether","1591","55","146"
"Male","Meriwether","1171","46","104"
"Unknown","Meriwether","7","0","0"
"Female","Miller","587","6","29"
"Male","Miller","465","9","25"
"Unknown","Miller","1","0","0"
"Female","Mitchell","1343","39","155"
"Male","Mitchell","1070","51","141"
"Unknown","Mitchell","5","0","0"
"Female","Monroe","1747","55","131"
"Male","Monroe","1515","64","133"
"Unknown","Monroe","19","0","1"
"Female","Montgomery","651","18","35"
"Male","Montgomery","547","23","31"
"Unknown","Montgomery","8","0","0"
"Female","Morgan","1259","15","78"
"Male","Morgan","1048","27","81"
"Unknown","Morgan","9","0","1"
"Female","Murray","3857","55","178"
"Male","Murray","3321","88","204"
"Unknown","Murray","19","0","0"
"Female","Muscogee","14501","327","1046"
"Male","Muscogee","10947","268","909"
"Unknown","Muscogee","185","0","1"
"Female","Newton","8722","161","938"
"Male","Newton","6507","168","757"
"Unknown","Newton","57","0","1"
"Female","Non-GA Resident/Unknown State","20628","336","1155"
"Male","Non-GA Resident/Unknown State","20566","460","1391"
"Unknown","Non-GA Resident/Unknown State","2725","1","93"
"Female","Oconee","2891","32","111"
"Male","Oconee","2582","42","110"
"Unknown","Oconee","15","0","0"
"Female","Oglethorpe","1119","15","80"
"Male","Oglethorpe","869","28","74"
"Unknown","Oglethorpe","4","0","0"
"Female","Paulding","12163","123","350"
"Male","Paulding","9626","137","306"
"Unknown","Paulding","107","1","6"
"Female","Peach","1743","45","162"
"Male","Peach","1344","51","141"
"Unknown","Peach","6","0","0"
"Female","Pickens","2306","43","200"
"Male","Pickens","1910","56","200"
"Unknown","Pickens","18","0","0"
"Female","Pierce","1239","39","122"
"Male","Pierce","1000","52","135"
"Unknown","Pierce","2","0","0"
"Female","Pike","1172","20","76"
"Male","Pike","1048","33","68"
"Unknown","Pike","7","0","1"
"Female","Polk","4029","71","297"
"Male","Polk","3487","72","272"
"Unknown","Polk","28","0","1"
"Female","Pulaski","613","27","39"
"Male","Pulaski","353","15","27"
"Unknown","Pulaski","4","0","0"
"Female","Putnam","1666","33","123"
"Male","Putnam","1374","52","134"
"Unknown","Putnam","9","0","0"
"Female","Quitman","107","1","8"
"Male","Quitman","57","2","9"
"Female","Rabun","1229","29","123"
"Male","Rabun","1108","40","105"
"Unknown","Rabun","7","0","0"
"Female","Randolph","398","26","66"
"Male","Randolph","284","14","39"
"Female","Richmond","16841","271","974"
"Male","Richmond","13721","343","967"
"Unknown","Richmond","119","0","5"
"Female","Rockdale","7317","128","1032"
"Male","Rockdale","5357","117","773"
"Unknown","Rockdale","59","0","2"
"Female","Schley","212","2","13"
"Male","Schley","173","6","16"
"Unknown","Schley","1","0","0"
"Female","Screven","826","16","54"
"Male","Screven","618","19","47"
"Unknown","Screven","8","0","1"
"Female","Seminole","711","11","59"
"Male","Seminole","597","12","43"
"Unknown","Seminole","4","0","0"
"Female","Spalding","4891","145","385"
"Male","Spalding","3919","149","312"
"Unknown","Spalding","29","0","0"
"Female","Stephens","2741","59","189"
"Male","Stephens","2181","56","174"
"Unknown","Stephens","15","0","0"
"Female","Stewart","446","10","33"
"Male","Stewart","1027","20","109"
"Unknown","Stewart","37","0","0"
"Female","Sumter","1873","59","201"
"Male","Sumter","1416","75","189"
"Unknown","Sumter","7","0","0"
"Female","Talbot","416","10","29"
"Male","Talbot","324","19","36"
"Unknown","Talbot","3","0","0"
"Female","Taliaferro","77","0","2"
"Male","Taliaferro","61","3","12"
"Unknown","Taliaferro","1","0","0"
"Female","Tattnall","1440","39","77"
"Male","Tattnall","1363","36","88"
"Unknown","Tattnall","2","0","0"
"Female","Taylor","503","18","51"
"Male","Taylor","407","16","48"
"Unknown","Taylor","5","0","0"
"Female","Telfair","515","24","37"
"Male","Telfair","506","32","53"
"Unknown","Telfair","12","0","0"
"Female","Terrell","536","31","87"
"Male","Terrell","381","25","72"
"Unknown","Terrell","7","0","0"
"Female","Thomas","3895","90","291"
