"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Appling","1920","US-13001","13","1","18561","177","66","10344.27","355.58","123.92","23","385","5"
"Atkinson","783","US-13003","13","3","8330","116","18","9399.76","216.09","12","1","238","1"
"Bacon","1289","US-13005","13","5","11404","87","28","11303.05","245.53","122.76","14","351","8"
"Baker","161","US-13007","13","7","3116","33","9","5166.88","288.83","0","0","69","0"
"Baldwin","3840","US-13009","13","9","44428","320","113","8643.2","254.34","58.52","26","657","15"
"Banks","1635","US-13011","13","11","19982","188","33","8182.36","165.15","95.09","19","177","2"
"Barrow","8743","US-13013","13","13","86383","609","132","10121.2","152.81","191.01","165","1173","4"
"Bartow","11217","US-13015","13","15","110771","827","207","10126.3","186.87","135.41","150","3374","16"
"Ben Hill","1491","US-13017","13","17","16645","154","61","8957.64","366.48","54.07","9","592","18"
"Berrien","1057","US-13019","13","19","19276","70","32","5483.5","166.01","15.56","3","773","12"
"Bibb","13343","US-13021","13","21","152150","1763","405","8769.64","266.18","74.27","113","2456","41"
"Bleckley","801","US-13023","13","23","12838","48","34","6239.29","264.84","38.95","5","648","17"
"Brantley","932","US-13025","13","25","19202","80","32","4853.66","166.65","41.66","8","679","5"
"Brooks","942","US-13027","13","27","15727","88","36","5989.7","228.91","38.15","6","444","11"
"Bryan","2733","US-13029","13","29","39137","175","36","6983.16","91.98","122.65","48","885","3"
"Bulloch","5263","US-13031","13","31","79467","216","64","6622.87","80.54","59.14","47","1517","50"
"Burke","1779","US-13033","13","33","22342","152","37","7962.58","165.61","93.99","21","787","24"
"Butts","2327","US-13035","13","35","25174","126","77","9243.66","305.87","333.68","84","788","6"
"Calhoun","447","US-13037","13","37","6317","74","15","7076.14","237.45","79.15","5","134","0"
"Camden","3207","US-13039","13","39","53924","135","30","5947.26","55.63","35.23","19","726","6"
"Candler","748","US-13043","13","43","10837","62","37","6902.28","341.42","92.28","10","192","29"
"Carroll","7410","US-13045","13","45","120119","311","131","6168.88","109.06","53.28","64","3901","109"
"Catoosa","5676","US-13047","13","47","68771","252","64","8253.48","93.06","159.95","110","621","6"
"Charlton","1081","US-13049","13","49","13251","63","25","8157.87","188.67","264.13","35","301","8"
"Chatham","20190","US-13051","13","51","292176","1617","427","6910.22","146.14","85.56","250","2913","26"
"Chattahoochee","3334","US-13053","13","53","10749","31","13","31016.84","120.94","1125.69","121","608","2"
"Chattooga","2242","US-13055","13","55","24766","180","63","9052.73","254.38","137.28","34","563","8"
"Cherokee","22352","US-13057","13","57","266617","1287","302","8383.56","113.27","111.02","296","8472","14"
"Clarke","12773","US-13059","13","59","129779","492","137","9842.12","105.56","97.09","126","2221","7"
"Clay","183","US-13061","13","61","2855","10","3","6409.81","105.08","0","0","55","0"
"Clayton","23724","US-13063","13","63","304838","1373","448","7782.49","146.96","186.98","570","2702","21"
"Clinch","736","US-13065","13","65","6656","66","25","11057.69","375.6","105.17","7","235","1"
"Cobb","60670","US-13067","13","67","790588","3136","964","7674.04","121.93","119.78","947","17327","84"
"Coffee","4236","US-13069","13","69","43042","647","138","9841.55","320.62","41.82","18","1056","34"
"Colquitt","3526","US-13071","13","71","45393","250","79","7767.72","174.04","59.48","27","1136","40"
"Columbia","11051","US-13073","13","73","158631","471","160","6966.48","100.86","71.23","113","5749","42"
"Cook","1162","US-13075","13","75","17437","107","38","6663.99","217.93","17.2","3","656","5"
"Coweta","8670","US-13077","13","77","152001","353","205","5703.91","134.87","70.39","107","5354","12"
"Crawford","525","US-13079","13","79","12228","68","17","4293.42","139.03","49.07","6","138","2"
"Crisp","1439","US-13081","13","81","22289","163","56","6456.1","251.25","89.73","20","638","24"
"Dade","1211","US-13083","13","83","16162","62","13","7492.88","80.44","86.62","14","194","1"
"Dawson","2719","US-13085","13","85","27021","246","42","10062.54","155.43","155.43","42","319","1"
"DeKalb","57845","US-13089","13","89","793154","4597","927","7293.04","116.88","120.41","955","7744","73"
"Decatur","2147","US-13087","13","87","26322","146","55","8156.68","208.95","60.79","16","769","15"
"Dodge","1084","US-13091","13","91","20385","107","56","5317.64","274.71","29.43","6","1016","46"
"Dooly","787","US-13093","13","93","13400","90","32","5873.13","238.81","22.39","3","280","13"
"Dougherty","5551","US-13095","13","95","89905","1029","281","6174.3","312.55","95.66","86","1968","22"
"Douglas","11957","US-13097","13","97","151906","857","174","7871.32","114.54","129.69","197","3131","41"
"Early","1013","US-13099","13","99","10146","73","43","9984.23","423.81","49.28","5","156","5"
"Echols","358","US-13101","13","101","3969","13","4","9019.9","100.78","0","0","112","5"
"Effingham","3804","US-13103","13","103","64026","248","65","5941.34","101.52","82.78","53","771","3"
"Elbert","1528","US-13105","13","105","18945","129","58","8065.45","306.15","36.95","7","753","14"
"Emanuel","1735","US-13107","13","107","22664","124","53","7655.31","233.85","30.89","7","809","28"
"Evans","758","US-13109","13","109","10687","72","17","7092.73","159.07","9.36","1","199","12"
"Fannin","2126","US-13111","13","111","26320","177","61","8077.51","231.76","83.59","22","249","10"
"Fayette","6675","US-13113","13","113","117544","261","153","5678.72","130.16","96.13","113","2229","15"
"Floyd","9997","US-13115","13","115","99916","887","184","10005.4","184.15","100.08","100","1928","39"
"Forsyth","17913","US-13117","13","117","252507","961","181","7094.06","71.68","97.42","246","4385","7"
"Franklin","2346","US-13119","13","119","23329","152","43","10056.15","184.32","111.45","26","307","10"
"Fulton","82072","US-13121","13","121","1099181","4946","1276","7466.65","116.09","137.38","1510","14597","94"
"Gilmer","2489","US-13123","13","123","31417","218","72","7922.46","229.18","98.67","31","449","12"
"Glascock","145","US-13125","13","125","3025","19","7","4793.39","231.4","33.06","1","119","12"
"Glynn","6695","US-13127","13","127","86047","447","153","7780.63","177.81","101.11","87","1415","19"
"Gordon","6493","US-13129","13","129","58049","329","103","11185.38","177.44","98.19","57","1625","11"
"Grady","1552","US-13131","13","131","24540","176","47","6324.37","191.52","118.17","29","588","13"
"Greene","1504","US-13133","13","133","18717","136","56","8035.48","299.19","64.11","12","315","8"
"Gwinnett","86514","US-13135","13","135","971145","5433","1075","8908.45","110.69","123.77","1202","14577","70"
"Habersham","4650","US-13137","13","137","45800","474","153","10152.84","334.06","58.95","27","398","8"
"Hall","25008","US-13139","13","139","206349","2368","439","12119.27","212.75","111.46","230","2094","25"
"Hancock","834","US-13141","13","141","8193","105","62","10179.42","756.74","36.62","3","76","3"
"Haralson","1715","US-13143","13","143","30722","76","35","5582.32","113.92","42.31","13","910","47"
"Harris","2164","US-13145","13","145","34712","157","58","6234.16","167.09","77.78","27","375","1"
"Hart","1707","US-13147","13","147","26107","115","37","6538.48","141.72","22.98","6","647","15"
"Heard","645","US-13149","13","149","12370","46","16","5214.23","129.35","153.6","19","228","3"
"Henry","19206","US-13151","13","151","239866","605","296","8006.97","123.4","154.25","370","5886","27"
"Houston","10074","US-13153","13","153","157039","755","194","6414.97","123.54","100.61","158","4456","61"
"Irwin","682","US-13155","13","155","9433","81","18","7229.94","190.82","10.6","1","224","10"
"Jackson","8510","US-13157","13","157","74700","508","140","11392.24","187.42","108.43","81","1288","11"
"Jasper","679","US-13159","13","159","14199","61","18","4782.03","126.77","77.47","11","718","20"
"Jeff Davis","1297","US-13161","13","161","15148","91","36","8562.19","237.66","46.21","7","585","8"
"Jefferson","1580","US-13163","13","163","15313","153","59","10318.03","385.29","39.18","6","361","7"
"Jenkins","728","US-13165","13","165","8576","83","40","8488.81","466.42","58.3","5","125","4"
"Johnson","787","US-13167","13","167","9661","98","42","8146.15","434.74","31.05","3","329","7"
"Jones","1579","US-13169","13","169","28591","162","53","5522.72","185.37","52.46","15","429","4"
"Lamar","1346","US-13171","13","171","19347","120","46","6957.15","237.76","98.21","19","683","11"
"Lanier","500","US-13173","13","173","10351","27","9","4830.45","86.95","77.29","8","277","4"
"Laurens","3710","US-13175","13","175","47296","351","144","7844.22","304.47","46.52","22","1837","23"
"Lee","1596","US-13177","13","177","29971","184","50","5325.15","166.83","40.04","12","1122","8"
"Liberty","3438","US-13179","13","179","61904","222","61","5553.76","98.54","135.69","84","539","2"
"Lincoln","510","US-13181","13","181","8125","52","24","6276.92","295.38","49.23","4","297","2"
"Long","669","US-13183","13","183","19915","47","10","3359.28","50.21","80.34","16","182","1"
"Lowndes","7798","US-13185","13","185","117878","378","141","6615.31","119.62","72.96","86","4822","67"
"Lumpkin","2795","US-13187","13","187","33802","286","62","8268.74","183.42","97.63","33","149","9"
"Macon","618","US-13193","13","193","12988","83","26","4758.24","200.18","92.39","12","254","4"
"Madison","2746","US-13195","13","195","30177","156","46","9099.65","152.43","109.35","33","476","10"
"Marion","398","US-13197","13","197","8293","39","17","4799.23","204.99","48.23","4","161","2"
"McDuffie","1686","US-13189","13","189","21597","159","41","7806.64","189.84","185.21","40","799","7"
"McIntosh","696","US-13191","13","191","14567","57","14","4777.92","96.11","48.05","7","161","2"
"Meriwether","1523","US-13199","13","199","21020","138","72","7245.48","342.53","104.66","22","469","12"
"Miller","682","US-13201","13","201","5764","40","9","11832.06","156.14","138.79","8","171","4"
"Mitchell","1536","US-13205","13","205","22056","230","74","6964.09","335.51","58.94","13","536","8"
"Monroe","1870","US-13207","13","207","27727","192","87","6744.33","313.77","68.53","19","756","13"
"Montgomery","724","US-13209","13","209","9224","43","21","7849.09","227.67","108.41","10","162","2"
"Morgan","1192","US-13211","13","211","19138","87","23","6228.45","120.18","41.8","8","911","7"
"Murray","4173","US-13213","13","213","40261","250","81","10364.87","201.19","126.67","51","746","5"
"Muscogee","14359","US-13215","13","215","191626","1167","398","7493.24","207.7","178.47","342","1920","54"
"Newton","7514","US-13217","13","217","112354","652","218","6687.79","194.03","113.93","128","3527","19"
"Non-GA Resident/Unknown State","23707","US-.",".",".","0","1265","474","0","0","0","439","5635","153"
"Oconee","3053","US-13219","13","219","41737","129","64","7314.85","153.34","86.25","36","944","8"
"Oglethorpe","1189","US-13221","13","221","15240","75","28","7801.84","183.73","32.81","5","280","1"
"Paulding","10780","US-13223","13","223","172542","414","166","6247.75","96.21","108.96","188","5944","47"
"Peach","1858","US-13225","13","225","27375","222","52","6787.21","189.95","113.24","31","771","7"
"Pickens","2534","US-13227","13","227","33530","210","64","7557.41","190.87","98.42","33","859","15"
"Pierce","1261","US-13229","13","229","19545","134","42","6451.78","214.89","127.91","25","1196","13"
"Pike","1065","US-13231","13","231","18860","71","26","5646.87","137.86","53.02","10","1198","14"
"Polk","3943","US-13233","13","233","43482","380","82","9068.12","188.58","87.39","38","1673","13"
"Pulaski","610","US-13235","13","235","10893","55","32","5599.93","293.77","27.54","3","313","12"
"Putnam","1798","US-13237","13","237","21885","161","56","8215.67","255.88","137.08","30","381","0"
"Quitman","82","US-13239","13","239","2294","11","2","3574.54","87.18","43.59","1","86","0"
"Rabun","1532","US-13241","13","241","16986","150","41","9019.19","241.38","117.74","20","186","8"
"Randolph","468","US-13243","13","243","6754","81","33","6929.23","488.6","44.42","3","157","1"
