"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","13041","1","256"
"05-09 years","Georgia","21412","2","197"
"10-17 years","Georgia","71289","8","750"
"18-29 years","Georgia","210348","130","4100"
"30-39 years","Georgia","152637","279","5377"
"40-49 years","Georgia","146275","673","7817"
"50-59 years","Georgia","137894","1782","11729"
"60-69 years","Georgia","92682","3724","13742"
"70-79 years","Georgia","53454","5314","12971"
"80 & Older years","Georgia","30669","6819","9920"
"<1 years","Georgia","3603","0","208"
"Unknown years","Georgia","3167","0","75"
"01-04 years","Appling","34","0","0"
"05-09 years","Appling","60","0","0"
"10-17 years","Appling","171","0","2"
"18-29 years","Appling","369","1","7"
"30-39 years","Appling","270","1","7"
"40-49 years","Appling","280","4","20"
"50-59 years","Appling","311","7","32"
"60-69 years","Appling","261","15","57"
"70-79 years","Appling","177","18","37"
"80 & Older years","Appling","95","21","35"
"<1 years","Appling","7","0","0"
"01-04 years","Atkinson","8","0","1"
"05-09 years","Atkinson","21","0","1"
"10-17 years","Atkinson","56","0","0"
"18-29 years","Atkinson","191","0","9"
"30-39 years","Atkinson","126","0","9"
"40-49 years","Atkinson","146","2","26"
"50-59 years","Atkinson","149","2","28"
"60-69 years","Atkinson","91","6","28"
"70-79 years","Atkinson","46","5","17"
"80 & Older years","Atkinson","15","5","11"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","17","0","0"
"05-09 years","Bacon","28","0","0"
"10-17 years","Bacon","81","0","1"
"18-29 years","Bacon","416","0","2"
"30-39 years","Bacon","205","0","5"
"40-49 years","Bacon","196","2","13"
"50-59 years","Bacon","166","2","16"
"60-69 years","Bacon","134","9","28"
"70-79 years","Bacon","85","7","20"
"80 & Older years","Bacon","41","9","11"
"<1 years","Bacon","4","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","9","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","9","0","0"
"18-29 years","Baker","29","0","0"
"30-39 years","Baker","24","0","4"
"40-49 years","Baker","20","2","3"
"50-59 years","Baker","26","0","2"
"60-69 years","Baker","34","3","15"
"70-79 years","Baker","19","3","11"
"80 & Older years","Baker","11","3","5"
"<1 years","Baker","1","0","0"
"01-04 years","Baldwin","32","0","0"
"05-09 years","Baldwin","57","0","0"
"10-17 years","Baldwin","210","1","5"
"18-29 years","Baldwin","1317","0","16"
"30-39 years","Baldwin","496","1","16"
"40-49 years","Baldwin","505","2","32"
"50-59 years","Baldwin","508","13","61"
"60-69 years","Baldwin","395","23","78"
"70-79 years","Baldwin","265","29","59"
"80 & Older years","Baldwin","162","50","66"
"<1 years","Baldwin","14","0","1"
"01-04 years","Banks","11","0","0"
"05-09 years","Banks","32","0","1"
"10-17 years","Banks","114","0","3"
"18-29 years","Banks","324","0","9"
"30-39 years","Banks","224","0","9"
"40-49 years","Banks","248","0","20"
"50-59 years","Banks","271","2","28"
"60-69 years","Banks","227","7","49"
"70-79 years","Banks","160","16","59"
"80 & Older years","Banks","85","14","32"
"<1 years","Banks","6","0","1"
"Unknown years","Banks","19","0","1"
"01-04 years","Barrow","115","0","1"
"05-09 years","Barrow","200","0","0"
"10-17 years","Barrow","747","0","8"
"18-29 years","Barrow","1899","2","41"
"30-39 years","Barrow","1601","1","51"
"40-49 years","Barrow","1628","6","76"
"50-59 years","Barrow","1377","9","114"
"60-69 years","Barrow","910","35","150"
"70-79 years","Barrow","529","37","113"
"80 & Older years","Barrow","249","52","94"
"<1 years","Barrow","34","0","2"
"Unknown years","Barrow","17","0","0"
"01-04 years","Bartow","127","0","6"
"05-09 years","Bartow","232","0","2"
"10-17 years","Bartow","975","0","13"
"18-29 years","Bartow","2189","0","28"
"30-39 years","Bartow","1811","5","54"
"40-49 years","Bartow","1869","3","91"
"50-59 years","Bartow","1939","18","166"
"60-69 years","Bartow","1203","45","162"
"70-79 years","Bartow","803","76","198"
"80 & Older years","Bartow","394","77","129"
"<1 years","Bartow","46","0","3"
"Unknown years","Bartow","78","0","7"
"01-04 years","Ben Hill","30","0","1"
"05-09 years","Ben Hill","20","0","0"
"10-17 years","Ben Hill","99","0","0"
"18-29 years","Ben Hill","276","0","4"
"30-39 years","Ben Hill","223","3","11"
"40-49 years","Ben Hill","211","1","12"
"50-59 years","Ben Hill","243","6","31"
"60-69 years","Ben Hill","211","13","32"
"70-79 years","Ben Hill","148","19","53"
"80 & Older years","Ben Hill","71","19","19"
"<1 years","Ben Hill","6","0","1"
"01-04 years","Berrien","16","0","0"
"05-09 years","Berrien","23","0","0"
"10-17 years","Berrien","97","0","1"
"18-29 years","Berrien","222","0","0"
"30-39 years","Berrien","178","0","3"
"40-49 years","Berrien","154","0","5"
"50-59 years","Berrien","173","3","17"
"60-69 years","Berrien","130","8","18"
"70-79 years","Berrien","89","12","19"
"80 & Older years","Berrien","54","12","15"
"<1 years","Berrien","2","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","152","0","5"
"05-09 years","Bibb","236","0","0"
"10-17 years","Bibb","730","0","11"
"18-29 years","Bibb","3248","1","90"
"30-39 years","Bibb","2282","6","122"
"40-49 years","Bibb","2230","18","219"
"50-59 years","Bibb","2068","28","297"
"60-69 years","Bibb","1649","92","438"
"70-79 years","Bibb","976","120","373"
"80 & Older years","Bibb","609","157","311"
"<1 years","Bibb","50","0","5"
"Unknown years","Bibb","3","0","0"
"01-04 years","Bleckley","5","0","0"
"05-09 years","Bleckley","17","0","0"
"10-17 years","Bleckley","76","0","0"
"18-29 years","Bleckley","196","0","3"
"30-39 years","Bleckley","101","1","4"
"40-49 years","Bleckley","109","1","2"
"50-59 years","Bleckley","115","2","6"
"60-69 years","Bleckley","89","6","12"
"70-79 years","Bleckley","63","4","12"
"80 & Older years","Bleckley","61","18","12"
"<1 years","Bleckley","3","0","0"
"01-04 years","Brantley","12","0","0"
"05-09 years","Brantley","12","0","0"
"10-17 years","Brantley","94","0","1"
"18-29 years","Brantley","182","0","2"
"30-39 years","Brantley","144","0","4"
"40-49 years","Brantley","158","2","9"
"50-59 years","Brantley","174","2","16"
"60-69 years","Brantley","125","5","17"
"70-79 years","Brantley","100","17","30"
"80 & Older years","Brantley","50","10","13"
"<1 years","Brantley","1","0","0"
"01-04 years","Brooks","16","0","1"
"05-09 years","Brooks","27","0","0"
"10-17 years","Brooks","90","0","0"
"18-29 years","Brooks","190","0","1"
"30-39 years","Brooks","144","0","4"
"40-49 years","Brooks","135","1","12"
"50-59 years","Brooks","162","2","23"
"60-69 years","Brooks","112","6","19"
"70-79 years","Brooks","90","11","19"
"80 & Older years","Brooks","57","18","15"
"<1 years","Brooks","5","0","0"
"01-04 years","Bryan","57","0","0"
"05-09 years","Bryan","96","0","0"
"10-17 years","Bryan","303","0","3"
"18-29 years","Bryan","585","0","11"
"30-39 years","Bryan","501","1","12"
"40-49 years","Bryan","537","0","20"
"50-59 years","Bryan","393","5","31"
"60-69 years","Bryan","282","12","34"
"70-79 years","Bryan","164","12","58"
"80 & Older years","Bryan","69","9","28"
