"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","1042961","14355","56545"
"Male","Georgia","868222","16636","53460"
"Unknown","Georgia","15009","11","374"
"Female","Appling","1919","53","137"
"Male","Appling","1602","56","131"
"Female","Atkinson","854","17","106"
"Male","Atkinson","689","22","106"
"Female","Bacon","1139","23","96"
"Male","Bacon","1271","36","97"
"Female","Baker","170","5","23"
"Male","Baker","141","8","23"
"Unknown","Baker","2","0","0"
"Female","Baldwin","4089","68","189"
"Male","Baldwin","3188","129","249"
"Unknown","Baldwin","26","0","0"
"Female","Banks","1824","37","182"
"Male","Banks","1519","41","151"
"Unknown","Banks","17","0","2"
"Female","Barrow","10558","114","532"
"Male","Barrow","8827","126","456"
"Unknown","Barrow","71","0","1"
"Female","Bartow","11576","174","605"
"Male","Bartow","9889","210","616"
"Unknown","Bartow","108","0","0"
"Female","Ben Hill","1238","32","101"
"Male","Ben Hill","922","42","88"
"Unknown","Ben Hill","4","0","0"
"Female","Berrien","1112","32","60"
"Male","Berrien","903","26","50"
"Unknown","Berrien","6","0","0"
"Female","Bibb","16369","339","1488"
"Male","Bibb","12134","345","1272"
"Unknown","Bibb","310","1","9"
"Female","Bleckley","842","24","41"
"Male","Bleckley","607","19","34"
"Unknown","Bleckley","10","0","0"
"Female","Brantley","1330","38","94"
"Male","Brantley","1117","51","88"
"Female","Brooks","1056","25","84"
"Male","Brooks","827","39","72"
"Unknown","Brooks","6","0","0"
"Female","Bryan","3588","30","188"
"Male","Bryan","3284","45","215"
"Unknown","Bryan","11","0","0"
"Female","Bulloch","5917","59","200"
"Male","Bulloch","4623","49","172"
"Unknown","Bulloch","1","0","0"
"Female","Burke","1636","29","116"
"Male","Burke","1318","33","121"
"Unknown","Burke","12","0","1"
"Female","Butts","2325","60","120"
"Male","Butts","2351","78","146"
"Unknown","Butts","36","0","0"
"Female","Calhoun","404","14","45"
"Male","Calhoun","566","7","56"
"Unknown","Calhoun","15","0","1"
"Female","Camden","4718","47","133"
"Male","Camden","3966","53","119"
"Unknown","Camden","55","0","0"
"Female","Candler","741","19","57"
"Male","Candler","613","35","44"
"Female","Carroll","7709","85","210"
"Male","Carroll","6630","96","230"
"Unknown","Carroll","62","0","7"
"Female","Catoosa","6612","68","197"
"Male","Catoosa","5755","58","191"
"Unknown","Catoosa","116","0","5"
"Female","Charlton","887","19","62"
"Male","Charlton","1340","29","58"
"Unknown","Charlton","2","0","0"
"Female","Chatham","29387","360","1684"
"Male","Chatham","24129","436","1569"
"Unknown","Chatham","139","0","5"
"Female","Chattahoochee","661","3","22"
"Male","Chattahoochee","5562","14","33"
"Unknown","Chattahoochee","28","0","0"
"Female","Chattooga","2858","56","152"
"Male","Chattooga","2374","59","163"
"Unknown","Chattooga","18","0","0"
"Female","Cherokee","24122","238","1097"
"Male","Cherokee","20816","332","1255"
"Unknown","Cherokee","173","0","0"
"Female","Clarke","14758","97","610"
"Male","Clarke","11309","117","548"
"Unknown","Clarke","63","0","1"
"Female","Clay","209","1","8"
"Male","Clay","151","5","6"
"Unknown","Clay","3","0","0"
"Female","Clayton","33013","437","1700"
"Male","Clayton","24218","446","1422"
"Unknown","Clayton","301","0","7"
"Female","Clinch","736","17","52"
"Male","Clinch","654","23","46"
"Female","Cobb","73515","730","2353"
"Male","Cobb","60650","883","2403"
"Unknown","Cobb","596","1","5"
"Female","Coffee","4756","122","614"
"Male","Coffee","3839","106","484"
"Unknown","Coffee","4","0","0"
"Female","Colquitt","4210","78","200"
"Male","Colquitt","3701","91","199"
