Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,462,10
Hispanic/Latino,American Indian/Alaska Native,32,0
Hispanic/Latino,Asian,44,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,38,0
Hispanic/Latino,Other,8018,90
Hispanic/Latino,Unknown,3563,3
Hispanic/Latino,White,10809,108
Non-Hispanic/Latino,African-American/Black,37956,1591
Non-Hispanic/Latino,American Indian/Alaska Native,71,3
Non-Hispanic/Latino,Asian,1568,59
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,85,7
Non-Hispanic/Latino,Other,1653,12
Non-Hispanic/Latino,Unknown,1230,10
Non-Hispanic/Latino,White,33776,1603
Unknown,African-American/Black,6559,16
Unknown,American Indian/Alaska Native,23,0
Unknown,Asian,523,1
Unknown,Native Hawaiian/Pacific Islander,90,0
Unknown,Other,3040,5
Unknown,Unknown,59362,30
Unknown,White,6150,15
