"","X","ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"73",136,"China","Guangxi Zhuang Autonomous Region","Hechi",21,0,0,1,0,"2020-11FEB"
"74",137,"China","Guangxi Zhuang Autonomous Region","Hezhou",4,0,0,0,0,"2020-11FEB"
"75",138,"China","Guangxi Zhuang Autonomous Region","Laibin",11,0,0,0,0,"2020-11FEB"
"76",139,"China","Guangxi Zhuang Autonomous Region","Liuzhou",22,0,0,0,6,"2020-11FEB"
"77",140,"China","Guangxi Zhuang Autonomous Region","NanNing",41,0,0,0,8,"2020-11FEB"
"78",141,"China","Guangxi Zhuang Autonomous Region","Qinzhou",8,0,0,0,0,"2020-11FEB"
"79",142,"China","Guangxi Zhuang Autonomous Region","Wuzhou",5,0,0,0,5,"2020-11FEB"
"80",143,"China","Guangxi Zhuang Autonomous Region","Yulin",9,0,0,0,1,"2020-11FEB"
"81",144,"China","Guizhou Province","Anshun",4,0,0,0,0,"2020-11FEB"
"82",145,"China","Guizhou Province","Bijie",21,0,0,0,0,"2020-11FEB"
"83",146,"China","Guizhou Province","Guiyang",29,0,0,0,2,"2020-11FEB"
"84",147,"China","Guizhou Province","Liupanshui",10,0,0,1,1,"2020-11FEB"
"85",148,"China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture",10,0,0,0,0,"2020-11FEB"
"86",149,"China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture",16,0,0,0,3,"2020-11FEB"
"87",150,"China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture",4,0,0,0,1,"2020-11FEB"
"88",151,"China","Guizhou Province","Tongren",9,0,0,0,5,"2020-11FEB"
"89",152,"China","Guizhou Province","Zunyi",24,0,0,0,1,"2020-11FEB"
"90",153,"China","Hainan Province","Baisha Li Autonomous County",0,0,0,0,0,"2020-11FEB"
"91",154,"China","Hainan Province","Baoting Li and Miao Autonomous County",3,0,0,0,0,"2020-11FEB"
"92",155,"China","Hainan Province","Changjiang Li Autonomous County",6,0,0,0,0,"2020-11FEB"
"93",156,"China","Hainan Province","Chengmai County",8,0,0,1,1,"2020-11FEB"
"94",157,"China","Hainan Province","Danzhou",11,0,0,0,1,"2020-11FEB"
"95",158,"China","Hainan Province","Ding'an County",3,0,0,0,0,"2020-11FEB"
"96",159,"China","Hainan Province","Dongfang City",3,0,0,0,0,"2020-11FEB"
"97",160,"China","Hainan Province","Haikou",29,0,0,0,5,"2020-11FEB"
"98",161,"China","Hainan Province","Ledong Li Autonomous County",2,0,0,0,0,"2020-11FEB"
"99",162,"China","Hainan Province","Lingao County",6,0,0,0,1,"2020-11FEB"
"100",164,"China","Hainan Province","Lingshui Li Autonomous County",4,0,0,0,0,"2020-11FEB"
"101",165,"China","Hainan Province","Qionghai City",6,0,0,1,0,"2020-11FEB"
"102",166,"China","Hainan Province","Qiongzhong Li and Miao Autonomous County",1,0,0,0,1,"2020-11FEB"
"103",167,"China","Hainan Province","Sansha",3,0,0,0,0,"2020-11FEB"
"104",169,"China","Hainan Province","Sanya",46,0,0,1,11,"2020-11FEB"
"105",170,"China","Hainan Province","Tunchang County",0,0,0,0,0,"2020-11FEB"
"106",171,"China","Hainan Province","Wanning City",13,0,0,0,0,"2020-11FEB"
"107",172,"China","Hainan Province","Wuzhishan City",0,0,0,0,0,"2020-11FEB"
"108",173,"China","Hebei Province","Baoding",30,0,0,0,9,"2020-11FEB"
"109",174,"China","Hebei Province","Cangzhou",32,0,0,1,12,"2020-11FEB"
"110",175,"China","Hebei Province","Chengde",7,0,0,0,1,"2020-11FEB"
"111",176,"China","Hebei Province","Handan",27,0,0,0,3,"2020-11FEB"
"112",177,"China","Hebei Province","Hengshui",8,0,0,0,2,"2020-11FEB"
"113",178,"China","Hebei Province","Langfang",26,0,0,0,8,"2020-11FEB"
"114",179,"China","Hebei Province","Qinhuangdao",9,0,0,0,0,"2020-11FEB"
"115",180,"China","Hebei Province","Shijiazhuang",27,0,0,0,3,"2020-11FEB"
"116",181,"China","Hebei Province","Tangshan",31,0,0,0,3,"2020-11FEB"
"117",182,"China","Hebei Province","Xingtai",21,0,0,1,5,"2020-11FEB"
"118",183,"China","Hebei Province","Zhangjiakou",21,0,0,0,2,"2020-11FEB"
"119",184,"China","Heilongjiang Province","Daqing",14,0,0,1,0,"2020-11FEB"
"120",185,"China","Heilongjiang Province","Daxinganling Prefecture",2,0,0,0,0,"2020-11FEB"
"121",186,"China","Heilongjiang Province","Harbin",146,0,0,0,15,"2020-11FEB"
"122",187,"China","Heilongjiang Province","Hegang",5,0,0,0,1,"2020-11FEB"
"123",188,"China","Heilongjiang Province","Heihe",4,0,0,0,0,"2020-11FEB"
"124",189,"China","Heilongjiang Province","Jiamusi",15,0,0,0,5,"2020-11FEB"
"125",190,"China","Heilongjiang Province","Jixi",38,0,0,0,1,"2020-11FEB"
"126",191,"China","Heilongjiang Province","Mudanjiang",12,0,0,0,1,"2020-11FEB"
"127",192,"China","Heilongjiang Province","Qiqihar",32,0,0,1,1,"2020-11FEB"
"128",193,"China","Heilongjiang Province","Qitaihe",15,0,0,0,0,"2020-11FEB"
"129",194,"China","Heilongjiang Province","Shuangyashan",38,0,0,2,1,"2020-11FEB"
"130",195,"China","Heilongjiang Province","Suihua",39,0,0,4,3,"2020-11FEB"
"131",196,"China","Heilongjiang Province","Yichun",0,0,0,0,0,"2020-11FEB"
"132",197,"China","Henan Province","Anyang",46,0,0,0,10,"2020-11FEB"
"133",198,"China","Henan Province","Area to be identified",0,0,0,2,1,"2020-11FEB"
"134",199,"China","Henan Province","Hebi",18,0,0,0,3,"2020-11FEB"
"135",200,"China","Henan Province","Jiaozuo",28,0,0,1,3,"2020-11FEB"
"136",201,"China","Henan Province","Jiyuan",4,0,0,0,0,"2020-11FEB"
"137",202,"China","Henan Province","Kaifeng",25,0,0,0,1,"2020-11FEB"
"138",203,"China","Henan Province","Luohe",31,0,0,0,6,"2020-11FEB"
"139",204,"China","Henan Province","Luoyang",28,0,0,0,2,"2020-11FEB"
"140",205,"China","Henan Province","Nanyang",136,0,0,2,32,"2020-11FEB"
"141",206,"China","Henan Province","Pingdingshan",54,0,0,1,14,"2020-11FEB"
"142",207,"China","Henan Province","Puyang",11,0,0,0,1,"2020-11FEB"
"143",208,"China","Henan Province","Sanmenxia",7,0,0,0,3,"2020-11FEB"
"144",209,"China","Henan Province","Shangqiu",86,0,0,0,14,"2020-11FEB"
"145",210,"China","Henan Province","Xinxiang",48,0,0,1,7,"2020-11FEB"
"146",211,"China","Henan Province","Xinyang",228,0,0,0,34,"2020-11FEB"
"147",212,"China","Henan Province","Xuchang",32,0,0,0,2,"2020-11FEB"
"148",213,"China","Henan Province","Zhengzhou",264,0,0,0,84,"2020-11FEB"
"149",215,"China","Henan Province","Zhoukou",65,0,0,0,17,"2020-11FEB"
"150",216,"China","Henan Province","Zhumadian",126,0,0,0,26,"2020-11FEB"
"151",217,"China","Hong Kong Special Administrative Region","Hong Kong Special Administrative Region",0,0,0,0,0,"2020-11FEB"
"152",218,"China","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture",203,0,0,3,38,"2020-11FEB"
"153",219,"China","Hubei Province","Ezhou",861,0,0,28,72,"2020-11FEB"
"154",220,"China","Hubei Province","Huanggang",2398,0,0,54,338,"2020-11FEB"
"155",221,"China","Hubei Province","Huangshi",874,0,0,6,96,"2020-11FEB"
"156",222,"China","Hubei Province","Jingmen",696,0,0,24,81,"2020-11FEB"
"157",223,"China","Hubei Province","Jingzhou",1110,0,0,21,79,"2020-11FEB"
"158",224,"China","Hubei Province","Qianjiang",90,0,0,5,8,"2020-11FEB"
"159",225,"China","Hubei Province","Shennongjia Forestry District",10,0,0,0,7,"2020-11FEB"
"160",227,"China","Hubei Province","Shiyan",536,0,0,1,70,"2020-11FEB"
"161",228,"China","Hubei Province","Suizhou",1129,0,0,12,51,"2020-11FEB"
"162",229,"China","Hubei Province","Tianmen",293,0,0,10,12,"2020-11FEB"
"163",230,"China","Hubei Province","Wuhan",19558,0,0,820,1378,"2020-11FEB"
"164",231,"China","Hubei Province","Xiangyang",1088,0,0,12,60,"2020-11FEB"
"165",233,"China","Hubei Province","Xianning",525,0,0,6,65,"2020-11FEB"
"166",234,"China","Hubei Province","Xiantao",460,0,0,13,43,"2020-11FEB"
"167",235,"China","Hubei Province","Xiaogan",2751,0,0,45,179,"2020-11FEB"
"168",236,"China","Hubei Province","Yichang",784,0,0,8,62,"2020-11FEB"
"169",237,"China","Hubei Province","Prison System",0,0,0,0,0,"2020-11FEB"
"170",238,"China","Hunan Province","Changde",73,0,0,0,18,"2020-11FEB"
"171",239,"China","Hunan Province","Changsha",219,0,0,0,48,"2020-11FEB"
"172",240,"China","Hunan Province","Chenzhou",33,0,0,0,14,"2020-11FEB"
"173",241,"China","Hunan Province","Hengyang",45,0,0,0,23,"2020-11FEB"
"174",242,"China","Hunan Province","Huaihua",39,0,0,0,21,"2020-11FEB"
"175",243,"China","Hunan Province","Loudi",69,0,0,0,12,"2020-11FEB"
"176",244,"China","Hunan Province","Shaoyang",91,0,0,0,25,"2020-11FEB"
"177",245,"China","Hunan Province","Xiangtan",32,0,0,0,11,"2020-11FEB"
"178",246,"China","Hunan Province","Xiangxi Tujia and Miao Autonomous Prefecture",8,0,0,0,6,"2020-11FEB"
"179",247,"China","Hunan Province","Yiyang",54,0,0,0,16,"2020-11FEB"
"180",248,"China","Hunan Province","Yongzhou",42,0,0,0,18,"2020-11FEB"
"181",249,"China","Hunan Province","Yueyang",134,0,0,1,21,"2020-11FEB"
"182",250,"China","Hunan Province","Zhangjiajie",5,0,0,0,3,"2020-11FEB"
"183",251,"China","Hunan Province","Zhuzhou",68,0,0,0,11,"2020-11FEB"
"184",252,"China","Inner Mongolia Autonomous Region","Alxa League",0,0,0,0,0,"2020-11FEB"
"185",253,"China","Inner Mongolia Autonomous Region","Baotou",11,0,0,0,0,"2020-11FEB"
"186",254,"China","Inner Mongolia Autonomous Region","Bayannur",6,0,0,0,0,"2020-11FEB"
"187",255,"China","Inner Mongolia Autonomous Region","Chifeng",4,0,0,0,1,"2020-11FEB"
"188",256,"China","Inner Mongolia Autonomous Region","Hinggan League",1,0,0,0,0,"2020-11FEB"
"189",257,"China","Inner Mongolia Autonomous Region","Hohhot",7,0,0,0,0,"2020-11FEB"
"190",258,"China","Inner Mongolia Autonomous Region","Hulunbuir",10,0,0,0,2,"2020-11FEB"
"191",260,"China","Inner Mongolia Autonomous Region","Ordos",11,0,0,0,2,"2020-11FEB"
