"ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province","Anqing",71,0,0,0,6,"2020-02-08"
"China","Anhui Province","Bengbu",99,0,0,0,1,"2020-02-08"
"China","Anhui Province","Bozhou",81,0,0,0,5,"2020-02-08"
"China","Anhui Province","Chizhou",11,0,0,0,1,"2020-02-08"
"China","Anhui Province","Chuzhou",11,0,0,0,2,"2020-02-08"
"China","Anhui Province","Fuyang",113,0,0,0,11,"2020-02-08"
"China","Anhui Province","Hefei",128,0,0,0,11,"2020-02-08"
"China","Anhui Province","Huaibei",22,0,0,0,1,"2020-02-08"
"China","Anhui Province","Huainan",42,0,0,0,6,"2020-02-08"
"China","Anhui Province","Huangshan",9,0,0,0,1,"2020-02-08"
"China","Anhui Province","Lu'an",51,0,0,0,2,"2020-02-08"
"China","Anhui Province","Ma'anshan",31,0,0,0,2,"2020-02-08"
"China","Anhui Province","Suzhou",28,0,0,0,1,"2020-02-08"
"China","Anhui Province","Tongling",23,0,0,0,7,"2020-02-08"
"China","Anhui Province","Wuhu",29,0,0,0,3,"2020-02-08"
"China","Anhui Province","Xuancheng",5,0,0,0,2,"2020-02-08"
"China","Beijing Municipality","Area to be Identified",0,0,0,2,30,"2020-02-08"
"China","Beijing Municipality","Beijing Municipality",315,0,0,0,4,"2020-02-08"
"China","Chongqing Municipality","Chongqing Municipality",428,0,0,2,39,"2020-02-08"
"China","Fujian Province","Fuzhou",59,0,0,0,10,"2020-02-08"
"China","Fujian Province","Longyan",5,0,0,0,0,"2020-02-08"
"China","Fujian Province","Nanping",14,0,0,0,1,"2020-02-08"
"China","Fujian Province","Ningde",21,0,0,0,4,"2020-02-08"
"China","Fujian Province","Putian",47,0,0,0,1,"2020-02-08"
"China","Fujian Province","Quanzhou",40,0,0,0,4,"2020-02-08"
"China","Fujian Province","Sanming",12,0,0,0,1,"2020-02-08"
"China","Fujian Province","Xiamen",25,0,0,0,2,"2020-02-08"
"China","Fujian Province","Zhangzhou",16,0,0,0,1,"2020-02-08"
"China","Gansu province","Area to be identified",0,0,0,0,3,"2020-02-08"
"China","Gansu province","Baiyin",4,0,0,0,0,"2020-02-08"
"China","Gansu province","Dingxi",8,0,0,0,1,"2020-02-08"
"China","Gansu province","Gannan Tibetan Autonomous Prefecture",6,0,0,0,0,"2020-02-08"
"China","Gansu province","Jiayuguan",0,0,0,0,0,"2020-02-08"
"China","Gansu province","Jinchang",1,0,0,0,0,"2020-02-08"
"China","Gansu province","Jiuquan",0,0,0,0,0,"2020-02-08"
"China","Gansu province","Lanzhou",33,0,0,1,5,"2020-02-08"
"China","Gansu province","Linxia Hui Autonomous Prefecture",3,0,0,0,2,"2020-02-08"
"China","Gansu province","Longnan",4,0,0,0,0,"2020-02-08"
"China","Gansu province","Pingliang",4,0,0,0,0,"2020-02-08"
"China","Gansu province","Qingyang",2,0,0,0,0,"2020-02-08"
"China","Gansu province","Tianshui",12,0,0,0,1,"2020-02-08"
"China","Gansu province","Wuwei",0,0,0,0,0,"2020-02-08"
"China","Gansu province","Zhangye",2,0,0,0,0,"2020-02-08"
"China","Guangdong Province","Area to be identified",0,0,0,0,2,"2020-02-08"
"China","Guangdong Province","Chaozhou",5,0,0,0,0,"2020-02-08"
"China","Guangdong Province","Dongguan",56,0,0,0,1,"2020-02-08"
"China","Guangdong Province","Foshan",64,0,0,0,4,"2020-02-08"
"China","Guangdong Province","Guangzhou",301,0,0,0,27,"2020-02-08"
"China","Guangdong Province","Heyuan",3,0,0,0,0,"2020-02-08"
"China","Guangdong Province","Huizhou",47,0,0,0,1,"2020-02-08"
"China","Guangdong Province","Jiangmen",15,0,0,0,1,"2020-02-08"
"China","Guangdong Province","Jieyang",7,0,0,0,1,"2020-02-08"
"China","Guangdong Province","Maoming",8,0,0,0,1,"2020-02-08"
"China","Guangdong Province","Meizhou",13,0,0,0,4,"2020-02-08"
"China","Guangdong Province","Qingyuan",10,0,0,0,3,"2020-02-08"
"China","Guangdong Province","Shantou",50,0,0,0,6,"2020-02-08"
"China","Guangdong Province","Shanwei",5,0,0,0,1,"2020-02-08"
"China","Guangdong Province","Shaoguan",6,0,0,0,1,"2020-02-08"
"China","Guangdong Province","Shenzhen",354,0,0,0,39,"2020-02-08"
"China","Guangdong Province","Yangjiang",13,0,0,0,1,"2020-02-08"
"China","Guangdong Province","Yunfu",0,0,0,0,0,"2020-02-08"
"China","Guangdong Province","Zhanjiang",20,0,0,0,6,"2020-02-08"
"China","Guangdong Province","Zhaoqing",14,0,0,1,1,"2020-02-08"
"China","Guangdong Province","Zhongshan",92,0,0,0,22,"2020-02-08"
"China","Guangdong Province","Zhuhai",83,0,0,0,4,"2020-02-08"
"China","Guangxi Zhuang Autonomous Region","Area to be identified",0,0,0,0,3,"2020-02-08"
