"ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province","Anqing",8,0,0,0,0,"2020-01-28"
"China","Anhui Province","Bengbu",3,0,0,0,0,"2020-01-28"
"China","Anhui Province","Bozhou",8,0,0,0,0,"2020-01-28"
"China","Anhui Province","Chizhou",1,0,0,0,0,"2020-01-28"
"China","Anhui Province","Chuzhou",4,0,0,0,0,"2020-01-28"
"China","Anhui Province","Fuyang",21,0,0,0,0,"2020-01-28"
"China","Anhui Province","Hefei",16,0,0,0,0,"2020-01-28"
"China","Anhui Province","Huaibei",2,0,0,0,0,"2020-01-28"
"China","Anhui Province","Huainan",4,0,0,0,0,"2020-01-28"
"China","Anhui Province","Huangshan",4,0,0,0,0,"2020-01-28"
"China","Anhui Province","Lu'an",4,0,0,0,0,"2020-01-28"
"China","Anhui Province","Ma'anshan",10,0,0,0,0,"2020-01-28"
"China","Anhui Province","Suzhou",3,0,0,0,0,"2020-01-28"
"China","Anhui Province","Tongling",9,0,0,0,0,"2020-01-28"
"China","Anhui Province","Wuhu",9,0,0,0,0,"2020-01-28"
"China","Anhui Province","Xuancheng",2,0,0,0,0,"2020-01-28"
"China","Beijing Municipality","Area to be Identified",0,0,0,0,0,"2020-01-28"
"China","Beijing Municipality","Beijing Municipality",60,0,0,0,2,"2020-01-28"
"China","Chongqing Municipality","Chongqing Municipality",132,0,0,0,0,"2020-01-28"
"China","Fujian Province","Fuzhou",24,0,0,0,0,"2020-01-28"
"China","Fujian Province","Longyan",1,0,0,0,0,"2020-01-28"
"China","Fujian Province","Nanping",3,0,0,0,0,"2020-01-28"
"China","Fujian Province","Ningde",6,0,0,0,0,"2020-01-28"
"China","Fujian Province","Putian",14,0,0,0,0,"2020-01-28"
"China","Fujian Province","Quanzhou",13,0,0,0,0,"2020-01-28"
"China","Fujian Province","Sanming",8,0,0,0,0,"2020-01-28"
"China","Fujian Province","Xiamen",5,0,0,0,0,"2020-01-28"
"China","Fujian Province","Zhangzhou",6,0,0,0,0,"2020-01-28"
"China","Gansu province","Area to be identified",0,0,0,0,0,"2020-01-28"
"China","Gansu province","Baiyin",1,0,0,0,0,"2020-01-28"
"China","Gansu province","Dingxi",1,0,0,0,0,"2020-01-28"
"China","Gansu province","Gannan Tibetan Autonomous Prefecture",0,0,0,0,0,"2020-01-28"
"China","Gansu province","Jiayuguan",0,0,0,0,0,"2020-01-28"
"China","Gansu province","Jinchang",1,0,0,0,0,"2020-01-28"
"China","Gansu province","Jiuquan",0,0,0,0,0,"2020-01-28"
"China","Gansu province","Lanzhou",11,0,0,0,0,"2020-01-28"
"China","Gansu province","Linxia Hui Autonomous Prefecture",2,0,0,0,0,"2020-01-28"
"China","Gansu province","Longnan",1,0,0,0,0,"2020-01-28"
"China","Gansu province","Pingliang",0,0,0,0,0,"2020-01-28"
"China","Gansu province","Qingyang",0,0,0,0,0,"2020-01-28"
"China","Gansu province","Tianshui",1,0,0,0,0,"2020-01-28"
"China","Gansu province","Wuwei",0,0,0,0,0,"2020-01-28"
"China","Gansu province","Zhangye",1,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Area to be identified",0,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Chaozhou",0,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Dongguan",7,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Foshan",18,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Guangzhou",51,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Heyuan",1,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Huizhou",11,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Jiangmen",0,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Jieyang",4,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Maoming",0,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Meizhou",4,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Qingyuan",6,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Shantou",10,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Shanwei",1,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Shaoguan",4,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Shenzhen",57,0,0,0,4,"2020-01-28"
"China","Guangdong Province","Yangjiang",9,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Yunfu",0,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Zhanjiang",7,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Zhaoqing",4,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Zhongshan",12,0,0,0,0,"2020-01-28"
"China","Guangdong Province","Zhuhai",12,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Area to be identified",0,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Baise",2,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Beihai",11,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Chongzuo",0,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Fangchenggang",3,0,0,0,1,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Guigang",0,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Guilin",15,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Hechi",3,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Hezhou",0,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Laibin",0,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Liuzhou",6,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","NanNing",5,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Qinzhou",0,0,0,0,0,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Wuzhou",4,0,0,0,1,"2020-01-28"
"China","Guangxi Zhuang Autonomous Region","Yulin",2,0,0,0,0,"2020-01-28"
"China","Guizhou Province","Anshun",0,0,0,0,0,"2020-01-28"
"China","Guizhou Province","Bijie",0,0,0,0,0,"2020-01-28"
"China","Guizhou Province","Guiyang",1,0,0,0,0,"2020-01-28"
"China","Guizhou Province","Liupanshui",1,0,0,0,0,"2020-01-28"
"China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture",0,0,0,0,0,"2020-01-28"
"China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture",4,0,0,0,0,"2020-01-28"
"China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture",1,0,0,0,0,"2020-01-28"
"China","Guizhou Province","Tongren",2,0,0,0,0,"2020-01-28"
"China","Guizhou Province","Zunyi",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Baisha Li Autonomous County",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Baoting Li and Miao Autonomous County",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Changjiang Li Autonomous County",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Chengmai County",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Danzhou",5,0,0,0,0,"2020-01-28"
"China","Hainan Province","Ding'an County",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Dongfang City",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Haikou",7,0,0,0,0,"2020-01-28"
"China","Hainan Province","Ledong Li Autonomous County",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Lingao County",1,0,0,0,0,"2020-01-28"
"China","Hainan Province","Lingshui Li Autonomous County",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Qionghai City",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Qiongzhong Li and Miao Autonomous County",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Sansha",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Sanya",14,0,0,0,0,"2020-01-28"
"China","Hainan Province","Tunchang County",0,0,0,0,0,"2020-01-28"
"China","Hainan Province","Wanning City",7,0,0,0,0,"2020-01-28"
"China","Hainan Province","Wuzhishan City",0,0,0,0,0,"2020-01-28"
