"ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province","Anqing",83,18,0,0,65,"2020-02-23"
"China","Anhui Province","Bengbu",160,48,0,5,107,"2020-02-23"
"China","Anhui Province","Bozhou",108,28,0,0,80,"2020-02-23"
"China","Anhui Province","Chizhou",17,7,0,0,10,"2020-02-23"
"China","Anhui Province","Chuzhou",13,5,0,0,8,"2020-02-23"
"China","Anhui Province","Fuyang",155,53,0,0,102,"2020-02-23"
"China","Anhui Province","Hefei",174,70,0,1,103,"2020-02-23"
"China","Anhui Province","Huaibei",27,10,0,0,17,"2020-02-23"
"China","Anhui Province","Huainan",54,24,0,0,30,"2020-02-23"
"China","Anhui Province","Huangshan",9,3,0,0,6,"2020-02-23"
"China","Anhui Province","Lu'an",69,25,0,0,44,"2020-02-23"
"China","Anhui Province","Ma'anshan",38,19,0,0,19,"2020-02-23"
"China","Anhui Province","Suzhou",41,15,0,0,26,"2020-02-23"
"China","Anhui Province","Tongling",29,14,0,0,15,"2020-02-23"
"China","Anhui Province","Wuhu",33,6,0,0,27,"2020-02-23"
"China","Anhui Province","Xuancheng",6,2,0,0,4,"2020-02-23"
"China","Beijing Municipality","Area to be Identified",0,-178,0,4,174,"2020-02-23"
"China","Beijing Municipality","Beijing Municipality",399,384,0,0,15,"2020-02-23"
"China","Chongqing Municipality","Chongqing Municipality",575,234,0,6,335,"2020-02-23"
"China","Fujian Province","Fuzhou",71,17,0,1,53,"2020-02-23"
"China","Fujian Province","Longyan",6,2,0,0,4,"2020-02-23"
"China","Fujian Province","Nanping",20,10,0,0,10,"2020-02-23"
"China","Fujian Province","Ningde",26,6,0,0,20,"2020-02-23"
"China","Fujian Province","Putian",55,31,0,0,24,"2020-02-23"
"China","Fujian Province","Quanzhou",46,25,0,0,21,"2020-02-23"
"China","Fujian Province","Sanming",14,9,0,0,5,"2020-02-23"
"China","Fujian Province","Xiamen",35,16,0,0,19,"2020-02-23"
"China","Fujian Province","Zhangzhou",20,6,0,0,14,"2020-02-23"
"China","Gansu province","Area to be identified",0,0,0,0,0,"2020-02-23"
"China","Gansu province","Baiyin",4,1,0,0,3,"2020-02-23"
"China","Gansu province","Dingxi",9,1,0,0,8,"2020-02-23"
"China","Gansu province","Gannan Tibetan Autonomous Prefecture",8,2,0,0,6,"2020-02-23"
"China","Gansu province","Jiayuguan",0,0,0,0,0,"2020-02-23"
"China","Gansu province","Jinchang",1,0,0,0,1,"2020-02-23"
"China","Gansu province","Jiuquan",0,0,0,0,0,"2020-02-23"
"China","Gansu province","Lanzhou",36,3,0,2,31,"2020-02-23"
"China","Gansu province","Linxia Hui Autonomous Prefecture",3,0,0,0,3,"2020-02-23"
"China","Gansu province","Longnan",4,0,0,0,4,"2020-02-23"
"China","Gansu province","Pingliang",9,3,0,0,6,"2020-02-23"
"China","Gansu province","Qingyang",3,1,0,0,2,"2020-02-23"
"China","Gansu province","Tianshui",12,0,0,0,12,"2020-02-23"
"China","Gansu province","Wuwei",0,0,0,0,0,"2020-02-23"
"China","Gansu province","Zhangye",2,0,0,0,2,"2020-02-23"
"China","Guangdong Province","Area to be identified",0,0,0,0,0,"2020-02-23"
"China","Guangdong Province","Chaozhou",5,1,0,0,4,"2020-02-23"
"China","Guangdong Province","Dongguan",94,62,0,1,31,"2020-02-23"
"China","Guangdong Province","Foshan",84,48,0,0,36,"2020-02-23"
"China","Guangdong Province","Guangzhou",345,149,0,0,196,"2020-02-23"
"China","Guangdong Province","Heyuan",4,3,0,0,1,"2020-02-23"
"China","Guangdong Province","Huizhou",62,16,0,0,46,"2020-02-23"
"China","Guangdong Province","Jiangmen",23,14,0,0,9,"2020-02-23"
"China","Guangdong Province","Jieyang",8,4,0,0,4,"2020-02-23"
"China","Guangdong Province","Maoming",14,8,0,0,6,"2020-02-23"
"China","Guangdong Province","Meizhou",16,5,0,0,11,"2020-02-23"
"China","Guangdong Province","Qingyuan",12,2,0,0,10,"2020-02-23"
"China","Guangdong Province","Shantou",50,8,0,0,42,"2020-02-23"
"China","Guangdong Province","Shanwei",5,3,0,0,2,"2020-02-23"
"China","Guangdong Province","Shaoguan",10,4,0,0,6,"2020-02-23"
"China","Guangdong Province","Shenzhen",417,177,0,3,237,"2020-02-23"
"China","Guangdong Province","Yangjiang",13,3,0,0,10,"2020-02-23"
"China","Guangdong Province","Yunfu",0,0,0,0,0,"2020-02-23"
"China","Guangdong Province","Zhanjiang",22,8,0,0,14,"2020-02-23"
"China","Guangdong Province","Zhaoqing",19,8,0,1,10,"2020-02-23"
"China","Guangdong Province","Zhongshan",132,34,0,0,98,"2020-02-23"
"China","Guangdong Province","Zhuhai",98,45,0,1,52,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Area to be identified",0,0,0,0,0,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Baise",3,1,0,0,2,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Beihai",44,29,0,1,14,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Chongzuo",0,0,0,0,0,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Fangchenggang",19,13,0,0,6,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Guigang",8,5,0,0,3,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Guilin",32,15,0,0,17,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Hechi",27,22,0,1,4,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Hezhou",4,2,0,0,2,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Laibin",11,11,0,0,0,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Liuzhou",24,12,0,0,12,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","NanNing",55,26,0,0,29,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Qinzhou",8,1,0,0,7,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Wuzhou",5,0,0,0,5,"2020-02-23"
"China","Guangxi Zhuang Autonomous Region","Yulin",11,5,0,0,6,"2020-02-23"
"China","Guizhou Province","Anshun",4,3,0,0,1,"2020-02-23"
"China","Guizhou Province","Bijie",23,10,0,0,13,"2020-02-23"
"China","Guizhou Province","Guiyang",36,17,0,1,18,"2020-02-23"
"China","Guizhou Province","Liupanshui",10,2,0,1,7,"2020-02-23"
"China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture",10,2,0,0,8,"2020-02-23"
"China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture",17,5,0,0,12,"2020-02-23"
"China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture",4,0,0,0,4,"2020-02-23"
"China","Guizhou Province","Tongren",10,0,0,0,10,"2020-02-23"
"China","Guizhou Province","Zunyi",32,14,0,0,18,"2020-02-23"
"China","Hainan Province","Baisha Li Autonomous County",0,0,0,0,0,"2020-02-23"
"China","Hainan Province","Baoting Li and Miao Autonomous County",3,2,0,0,1,"2020-02-23"
"China","Hainan Province","Changjiang Li Autonomous County",7,4,0,0,3,"2020-02-23"
"China","Hainan Province","Chengmai County",9,2,0,1,6,"2020-02-23"
"China","Hainan Province","Danzhou",15,2,0,1,12,"2020-02-23"
"China","Hainan Province","Ding'an County",3,0,0,1,2,"2020-02-23"
"China","Hainan Province","Dongfang City",3,1,0,0,2,"2020-02-23"
"China","Hainan Province","Haikou",39,20,0,0,19,"2020-02-23"
"China","Hainan Province","Ledong Li Autonomous County",2,0,0,0,2,"2020-02-23"
"China","Hainan Province","Lingao County",6,2,0,0,4,"2020-02-23"
"China","Hainan Province","Lingshui Li Autonomous County",4,0,0,0,4,"2020-02-23"
"China","Hainan Province","Qionghai City",6,1,0,1,4,"2020-02-23"
"China","Hainan Province","Qiongzhong Li and Miao Autonomous County",1,0,0,0,1,"2020-02-23"
"China","Hainan Province","Sansha",3,0,0,0,3,"2020-02-23"
"China","Hainan Province","Sanya",54,21,0,1,32,"2020-02-23"
"China","Hainan Province","Tunchang County",0,0,0,0,0,"2020-02-23"
"China","Hainan Province","Wanning City",13,4,0,0,9,"2020-02-23"
"China","Hainan Province","Wuzhishan City",0,0,0,0,0,"2020-02-23"
"China","Hebei Province","Baoding",32,3,0,0,29,"2020-02-23"
"China","Hebei Province","Cangzhou",48,17,0,3,28,"2020-02-23"
"China","Hebei Province","Chengde",7,0,0,0,7,"2020-02-23"
"China","Hebei Province","Handan",32,6,0,0,26,"2020-02-23"
"China","Hebei Province","Hengshui",8,0,0,0,8,"2020-02-23"
"China","Hebei Province","Langfang",30,3,0,0,27,"2020-02-23"
"China","Hebei Province","Qinhuangdao",10,1,0,1,8,"2020-02-23"
"China","Hebei Province","Shijiazhuang",29,8,0,0,21,"2020-02-23"
"China","Hebei Province","Tangshan",58,37,0,1,20,"2020-02-23"
"China","Hebei Province","Xingtai",23,3,0,1,19,"2020-02-23"
"China","Hebei Province","Zhangjiakou",34,6,0,0,28,"2020-02-23"
"China","Heilongjiang Province","Daqing",26,16,0,1,9,"2020-02-23"
"China","Heilongjiang Province","Daxinganling Prefecture",2,0,0,0,2,"2020-02-23"
"China","Heilongjiang Province","Harbin",198,118,0,3,77,"2020-02-23"
"China","Heilongjiang Province","Hegang",5,1,0,0,4,"2020-02-23"
"China","Heilongjiang Province","Heihe",14,5,0,0,9,"2020-02-23"
"China","Heilongjiang Province","Jiamusi",15,0,0,0,15,"2020-02-23"
"China","Heilongjiang Province","Jixi",46,28,0,0,18,"2020-02-23"
"China","Heilongjiang Province","Mudanjiang",14,7,0,0,7,"2020-02-23"
"China","Heilongjiang Province","Qiqihar",43,18,0,1,24,"2020-02-23"
"China","Heilongjiang Province","Qitaihe",17,7,0,0,10,"2020-02-23"
"China","Heilongjiang Province","Shuangyashan",52,29,0,3,20,"2020-02-23"
"China","Heilongjiang Province","Suihua",47,14,0,4,29,"2020-02-23"
"China","Heilongjiang Province","Yichun",1,1,0,0,0,"2020-02-23"
"China","Henan Province","Anyang",53,16,0,0,37,"2020-02-23"
"China","Henan Province","Area to be identified",0,-68,0,6,62,"2020-02-23"
"China","Henan Province","Hebi",19,8,0,0,11,"2020-02-23"
"China","Henan Province","Jiaozuo",32,14,0,1,17,"2020-02-23"
"China","Henan Province","Jiyuan",5,2,0,0,3,"2020-02-23"
"China","Henan Province","Kaifeng",26,10,0,0,16,"2020-02-23"
"China","Henan Province","Luohe",35,13,0,0,22,"2020-02-23"
"China","Henan Province","Luoyang",31,12,0,1,18,"2020-02-23"
"China","Henan Province","Nanyang",155,39,0,2,114,"2020-02-23"
"China","Henan Province","Pingdingshan",58,15,0,1,42,"2020-02-23"
"China","Henan Province","Puyang",17,10,0,0,7,"2020-02-23"
"China","Henan Province","Sanmenxia",7,1,0,0,6,"2020-02-23"
"China","Henan Province","Shangqiu",91,19,0,3,69,"2020-02-23"
"China","Henan Province","Xinxiang",57,8,0,3,46,"2020-02-23"
"China","Henan Province","Xinyang",274,101,0,2,171,"2020-02-23"
"China","Henan Province","Xuchang",39,13,0,0,26,"2020-02-23"
"China","Henan Province","Zhengzhou",314,118,0,0,196,"2020-02-23"
"China","Henan Province","Zhoukou",76,27,0,0,49,"2020-02-23"
"China","Henan Province","Zhumadian",139,23,0,0,116,"2020-02-23"
"China","Hong Kong Special Administrative Region","Hong Kong Special Administrative Region",0,0,0,0,0,"2020-02-23"
"China","Hubei Province","Enshi Tujia and Miao Autonomous Prefecture",251,125,0,3,123,"2020-02-23"
"China","Hubei Province","Ezhou",1379,922,0,40,417,"2020-02-23"
"China","Hubei Province","Huanggang",2904,1266,0,98,1540,"2020-02-23"
"China","Hubei Province","Huangshi",1001,504,0,29,468,"2020-02-23"
"China","Hubei Province","Jingmen",918,520,0,37,361,"2020-02-23"
"China","Hubei Province","Jingzhou",1574,852,0,41,681,"2020-02-23"
"China","Hubei Province","Qianjiang",191,105,0,8,78,"2020-02-23"
"China","Hubei Province","Shennongjia Forestry District",11,1,0,0,10,"2020-02-23"
"China","Hubei Province","Shiyan",667,398,0,2,267,"2020-02-23"
"China","Hubei Province","Suizhou",1300,772,0,30,498,"2020-02-23"
"China","Hubei Province","Tianmen",494,249,0,13,232,"2020-02-23"
"China","Hubei Province","Wuhan",46201,36156,0,1856,8189,"2020-02-23"
"China","Hubei Province","Xiangyang",1173,682,0,28,463,"2020-02-23"
"China","Hubei Province","Xianning",836,427,0,11,398,"2020-02-23"
"China","Hubei Province","Xiantao",571,304,0,19,248,"2020-02-23"
"China","Hubei Province","Xiaogan",3443,2263,0,102,1078,"2020-02-23"
"China","Hubei Province","Yichang",917,599,0,29,289,"2020-02-23"
"China","Hubei Province","Prison System",253,250,0,0,3,"2020-02-23"
"China","Hunan Province","Changde",82,21,0,0,61,"2020-02-23"
"China","Hunan Province","Changsha",242,99,0,2,141,"2020-02-23"
