"ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Anhui Province","Anqing",55,0,0,0,3,"2020-02-04"
"China","Anhui Province","Bengbu",43,0,0,0,0,"2020-02-04"
"China","Anhui Province","Bozhou",48,0,0,0,2,"2020-02-04"
"China","Anhui Province","Chizhou",10,0,0,0,1,"2020-02-04"
"China","Anhui Province","Chuzhou",11,0,0,0,1,"2020-02-04"
"China","Anhui Province","Fuyang",79,0,0,0,3,"2020-02-04"
"China","Anhui Province","Hefei",81,0,0,0,5,"2020-02-04"
"China","Anhui Province","Huaibei",11,0,0,0,0,"2020-02-04"
"China","Anhui Province","Huainan",16,0,0,0,0,"2020-02-04"
"China","Anhui Province","Huangshan",9,0,0,0,0,"2020-02-04"
"China","Anhui Province","Lu'an",30,0,0,0,1,"2020-02-04"
"China","Anhui Province","Ma'anshan",28,0,0,0,1,"2020-02-04"
"China","Anhui Province","Suzhou",23,0,0,0,0,"2020-02-04"
"China","Anhui Province","Tongling",19,0,0,0,1,"2020-02-04"
"China","Anhui Province","Wuhu",21,0,0,0,1,"2020-02-04"
"China","Anhui Province","Xuancheng",4,0,0,0,1,"2020-02-04"
"China","Beijing Municipality","Area to be Identified",0,0,0,1,19,"2020-02-04"
"China","Beijing Municipality","Beijing Municipality",228,0,0,0,4,"2020-02-04"
"China","Chongqing Municipality","Chongqing Municipality",344,0,0,2,9,"2020-02-04"
"China","Fujian Province","Fuzhou",53,0,0,0,2,"2020-02-04"
"China","Fujian Province","Longyan",2,0,0,0,0,"2020-02-04"
"China","Fujian Province","Nanping",11,0,0,0,0,"2020-02-04"
"China","Fujian Province","Ningde",12,0,0,0,0,"2020-02-04"
"China","Fujian Province","Putian",37,0,0,0,1,"2020-02-04"
"China","Fujian Province","Quanzhou",35,0,0,0,0,"2020-02-04"
"China","Fujian Province","Sanming",11,0,0,0,0,"2020-02-04"
"China","Fujian Province","Xiamen",20,0,0,0,0,"2020-02-04"
"China","Fujian Province","Zhangzhou",13,0,0,0,0,"2020-02-04"
"China","Gansu province","Area to be identified",0,0,0,0,0,"2020-02-04"
"China","Gansu province","Baiyin",1,0,0,0,0,"2020-02-04"
"China","Gansu province","Dingxi",3,0,0,0,1,"2020-02-04"
"China","Gansu province","Gannan Tibetan Autonomous Prefecture",1,0,0,0,0,"2020-02-04"
"China","Gansu province","Jiayuguan",0,0,0,0,0,"2020-02-04"
"China","Gansu province","Jinchang",1,0,0,0,0,"2020-02-04"
