"ADM0_EN","ADM1_EN","ADM2_EN","confirmedCount","currentConfirmedCount","suspectedCount","deadCount","curedCount","DATE"
"China","Guizhou Province","Liupanshui",9,0,0,0,0,"2020-02-03"
"China","Guizhou Province","Qiandongnan Miao and Dong Autonomous Prefecture",4,0,0,0,0,"2020-02-03"
"China","Guizhou Province","Qiannan Buyi and Miao Autonomous Prefecture",5,0,0,0,0,"2020-02-03"
"China","Guizhou Province","Qianxinan Buyi and Miao Autonomous Prefecture",1,0,0,0,0,"2020-02-03"
"China","Guizhou Province","Tongren",6,0,0,0,1,"2020-02-03"
"China","Guizhou Province","Zunyi",8,0,0,0,0,"2020-02-03"
"China","Hainan Province","Baisha Li Autonomous County",0,0,0,0,0,"2020-02-03"
"China","Hainan Province","Baoting Li and Miao Autonomous County",0,0,0,0,0,"2020-02-03"
"China","Hainan Province","Changjiang Li Autonomous County",3,0,0,0,0,"2020-02-03"
"China","Hainan Province","Chengmai County",2,0,0,1,0,"2020-02-03"
"China","Hainan Province","Danzhou",7,0,0,0,0,"2020-02-03"
"China","Hainan Province","Ding'an County",1,0,0,0,0,"2020-02-03"
"China","Hainan Province","Dongfang City",1,0,0,0,0,"2020-02-03"
"China","Hainan Province","Haikou",13,0,0,0,0,"2020-02-03"
"China","Hainan Province","Ledong Li Autonomous County",1,0,0,0,0,"2020-02-03"
"China","Hainan Province","Lingao County",4,0,0,0,0,"2020-02-03"
"China","Hainan Province","Lingshui Li Autonomous County",5,0,0,0,0,"2020-02-03"
"China","Hainan Province","Qionghai City",6,0,0,0,0,"2020-02-03"
"China","Hainan Province","Qiongzhong Li and Miao Autonomous County",1,0,0,0,0,"2020-02-03"
"China","Hainan Province","Sansha",1,0,0,0,0,"2020-02-03"
"China","Hainan Province","Sanya",18,0,0,0,4,"2020-02-03"
"China","Hainan Province","Tunchang County",0,0,0,0,0,"2020-02-03"
"China","Hainan Province","Wanning City",9,0,0,0,0,"2020-02-03"
"China","Hainan Province","Wuzhishan City",0,0,0,0,0,"2020-02-03"
"China","Hebei Province","Baoding",13,0,0,0,2,"2020-02-03"
"China","Hebei Province","Cangzhou",19,0,0,1,0,"2020-02-03"
"China","Hebei Province","Chengde",2,0,0,0,0,"2020-02-03"
"China","Hebei Province","Handan",11,0,0,0,0,"2020-02-03"
"China","Hebei Province","Hengshui",4,0,0,0,0,"2020-02-03"
"China","Hebei Province","Langfang",12,0,0,0,1,"2020-02-03"
"China","Hebei Province","Qinhuangdao",2,0,0,0,0,"2020-02-03"
"China","Hebei Province","Shijiazhuang",16,0,0,0,0,"2020-02-03"
"China","Hebei Province","Tangshan",11,0,0,0,0,"2020-02-03"
"China","Hebei Province","Xingtai",14,0,0,0,0,"2020-02-03"
"China","Hebei Province","Zhangjiakou",9,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Daqing",11,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Daxinganling Prefecture",2,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Harbin",45,0,0,0,2,"2020-02-03"
"China","Heilongjiang Province","Hegang",1,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Heihe",1,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Jiamusi",11,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Jixi",6,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Mudanjiang",8,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Qiqihar",6,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Qitaihe",7,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Shuangyashan",7,0,0,0,0,"2020-02-03"
"China","Heilongjiang Province","Suihua",16,0,0,2,0,"2020-02-03"
"China","Heilongjiang Province","Yichun",0,0,0,0,0,"2020-02-03"
"China","Henan Province","Anyang",29,0,0,0,0,"2020-02-03"
"China","Henan Province","Area to be identified",0,0,0,0,0,"2020-02-03"
"China","Henan Province","Hebi",8,0,0,0,0,"2020-02-03"
"China","Henan Province","Jiaozuo",8,0,0,0,0,"2020-02-03"
"China","Henan Province","Jiyuan",2,0,0,0,0,"2020-02-03"
"China","Henan Province","Kaifeng",11,0,0,0,0,"2020-02-03"
"China","Henan Province","Luohe",20,0,0,0,0,"2020-02-03"
"China","Henan Province","Luoyang",7,0,0,0,0,"2020-02-03"
