"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases"
"Appling","1129","US-13001","13","1","18561","101","34","6082.65","183.18","339.42","63"
"Atkinson","471","US-13003","13","3","8330","60","5","5654.26","60.02","264.11","22"
"Bacon","623","US-13005","13","5","11404","49","14","5463","122.76","131.53","15"
"Baker","86","US-13007","13","7","3116","20","6","2759.95","192.55","32.09","1"
"Baldwin","2241","US-13009","13","9","44428","177","63","5044.12","141.8","204.83","91"
"Banks","536","US-13011","13","11","19982","71","8","2682.41","40.04","155.14","31"
"Barrow","2471","US-13013","13","13","86383","258","50","2860.52","57.88","210.69","182"
"Bartow","3325","US-13015","13","15","110771","315","91","3001.69","82.15","274.44","304"
"Ben Hill","843","US-13017","13","17","16645","91","32","5064.58","192.25","240.31","40"
"Berrien","478","US-13019","13","19","19276","24","12","2479.77","62.25","83","16"
"Bibb","6443","US-13021","13","21","152150","906","188","4234.64","123.56","203.09","309"
"Bleckley","501","US-13023","13","23","12838","32","21","3902.48","163.58","521.89","67"
"Brantley","403","US-13025","13","25","19202","38","12","2098.74","62.49","244.77","47"
"Brooks","544","US-13027","13","27","15727","55","26","3459.02","165.32","95.38","15"
"Bryan","1249","US-13029","13","29","39137","91","13","3191.35","33.22","191.63","75"
"Bulloch","3002","US-13031","13","31","79467","138","33","3777.67","41.53","108.22","86"
"Burke","868","US-13033","13","33","22342","89","11","3885.06","49.23","125.32","28"
"Butts","721","US-13035","13","35","25174","54","43","2864.07","170.81","115.2","29"
"Calhoun","261","US-13037","13","37","6317","48","9","4131.71","142.47","158.3","10"
"Camden","1378","US-13039","13","39","53924","69","17","2555.45","31.53","94.58","51"
"Candler","518","US-13043","13","43","10837","35","24","4779.92","221.46","387.56","42"
"Carroll","3147","US-13045","13","45","120119","174","74","2619.9","61.61","158.18","190"
"Catoosa","1338","US-13047","13","47","68771","81","20","1945.59","29.08","138.14","95"
"Charlton","643","US-13049","13","49","13251","27","10","4852.46","75.47","45.28","6"
"Chatham","9076","US-13051","13","51","292176","814","181","3106.35","61.95","139.98","409"
"Chattahoochee","1718","US-13053","13","53","10749","14","1","15982.88","9.3","325.61","35"
"Chattooga","873","US-13055","13","55","24766","63","27","3524.99","109.02","262.46","65"
"Cherokee","6715","US-13057","13","57","266617","518","100","2518.59","37.51","168.03","448"
"Clarke","5533","US-13059","13","59","129779","239","46","4263.4","35.44","230.39","299"
"Clay","122","US-13061","13","61","2855","9","3","4273.2","105.08","35.03","1"
"Clayton","7799","US-13063","13","63","304838","675","173","2558.41","56.75","135.15","412"
"Clinch","419","US-13065","13","65","6656","30","11","6295.07","165.26","240.38","16"
"Cobb","21118","US-13067","13","67","790588","1918","447","2671.18","56.54","119.28","943"
"Coffee","2183","US-13069","13","69","43042","317","58","5071.79","134.75","190.51","82"
"Colquitt","2068","US-13071","13","71","45393","161","38","4555.77","83.71","341.46","155"
"Columbia","4135","US-13073","13","73","158631","193","64","2606.68","40.35","174.62","277"
"Cook","571","US-13075","13","75","17437","61","15","3274.65","86.02","86.02","15"
"Coweta","2837","US-13077","13","77","152001","142","60","1866.44","39.47","86.18","131"
"Crawford","189","US-13079","13","79","12228","28","6","1545.63","49.07","122.67","15"
"Crisp","629","US-13081","13","81","22289","80","23","2822.02","103.19","201.89","45"
"Dade","323","US-13083","13","83","16162","21","5","1998.52","30.94","198","32"
"Dawson","885","US-13085","13","85","27021","84","10","3275.23","37.01","136.93","37"
"DeKalb","20182","US-13089","13","89","793154","2231","386","2544.52","48.67","112.84","895"
"Decatur","1256","US-13087","13","87","26322","98","34","4771.67","129.17","212.75","56"
"Dodge","520","US-13091","13","91","20385","47","14","2550.9","68.68","392.45","80"
"Dooly","356","US-13093","13","93","13400","54","15","2656.72","111.94","89.55","12"
"Dougherty","3254","US-13095","13","95","89905","662","190","3619.38","211.33","82.31","74"
"Douglas","3933","US-13097","13","97","151906","448","71","2589.1","46.74","158.65","241"
"Early","524","US-13099","13","99","10146","42","33","5164.6","325.25","118.27","12"
"Echols","244","US-13101","13","101","3969","9","2","6147.64","50.39","25.2","1"
"Effingham","1671","US-13103","13","103","64026","109","28","2609.88","43.73","257.71","165"
"Elbert","742","US-13105","13","105","18945","54","8","3916.6","42.23","190.02","36"
"Emanuel","1155","US-13107","13","107","22664","83","36","5096.19","158.84","238.26","54"
"Evans","459","US-13109","13","109","10687","42","6","4294.94","56.14","205.86","22"
"Fannin","776","US-13111","13","111","26320","68","28","2948.33","106.38","265.96","70"
"Fayette","2019","US-13113","13","113","117544","118","52","1717.65","44.24","71.46","84"
"Floyd","3589","US-13115","13","115","99916","273","55","3592.02","55.05","259.22","259"
"Forsyth","4527","US-13117","13","117","252507","349","50","1792.82","19.8","81.98","207"
"Franklin","834","US-13119","13","119","23329","63","17","3574.95","72.87","265.76","62"
"Fulton","29678","US-13121","13","121","1099181","2539","605","2700.01","55.04","141.47","1555"
"Gilmer","973","US-13123","13","123","31417","88","19","3097.05","60.48","381.96","120"
"Glascock","42","US-13125","13","125","3025","4","2","1388.43","66.12","66.12","2"
"Glynn","3621","US-13127","13","127","86047","310","101","4208.17","117.38","122.03","105"
"Gordon","2129","US-13129","13","129","58049","125","42","3667.59","72.35","368.65","214"
"Grady","839","US-13131","13","131","24540","98","25","3418.91","101.87","158.92","39"
"Greene","550","US-13133","13","133","18717","60","25","2938.51","133.57","138.91","26"
"Gwinnett","29558","US-13135","13","135","971145","2840","431","3043.62","44.38","130.57","1268"
"Habersham","1826","US-13137","13","137","45800","238","74","3986.9","161.57","181.22","83"
"Hall","10309","US-13139","13","139","206349","1051","167","4995.9","80.93","256.36","529"
"Hancock","412","US-13141","13","141","8193","68","44","5028.68","537.04","109.85","9"
"Haralson","593","US-13143","13","143","30722","29","10","1930.21","32.55","227.85","70"
"Harris","835","US-13145","13","145","34712","92","25","2405.51","72.02","74.9","26"
"Hart","556","US-13147","13","147","26107","70","16","2129.7","61.29","114.91","30"
"Heard","210","US-13149","13","149","12370","15","6","1697.66","48.5","56.59","7"
"Henry","5853","US-13151","13","151","239866","262","109","2440.11","45.44","126.32","303"
"Houston","3412","US-13153","13","153","157039","396","88","2172.71","56.04","145.19","228"
"Irwin","347","US-13155","13","155","9433","40","6","3678.58","63.61","222.62","21"
"Jackson","2245","US-13157","13","157","74700","183","40","3005.35","53.55","218.21","163"
"Jasper","243","US-13159","13","159","14199","20","4","1711.39","28.17","140.85","20"
"Jeff Davis","774","US-13161","13","161","15148","57","22","5109.59","145.23","244.26","37"
"Jefferson","831","US-13163","13","163","15313","80","32","5426.76","208.97","97.96","15"
"Jenkins","462","US-13165","13","165","8576","65","32","5387.13","373.13","291.51","25"
"Johnson","440","US-13167","13","167","9661","59","22","4554.39","227.72","217.37","21"
"Jones","625","US-13169","13","169","28591","51","14","2186","48.97","160.89","46"
"Lamar","399","US-13171","13","171","19347","45","19","2062.34","98.21","87.87","17"
"Lanier","311","US-13173","13","173","10351","16","7","3004.54","67.63","67.63","7"
"Laurens","1896","US-13175","13","175","47296","165","85","4008.8","179.72","410.18","194"
"Lee","737","US-13177","13","177","29971","107","27","2459.04","90.09","96.76","29"
"Liberty","1187","US-13179","13","179","61904","117","24","1917.49","38.77","71.08","44"
"Lincoln","221","US-13181","13","181","8125","24","7","2720","86.15","61.54","5"
"Long","268","US-13183","13","183","19915","18","4","1345.72","20.09","65.28","13"
"Lowndes","4281","US-13185","13","185","117878","209","85","3631.72","72.11","246.02","290"
"Lumpkin","1009","US-13187","13","187","33802","97","14","2985.03","41.42","174.55","59"
"Macon","242","US-13193","13","193","12988","49","10","1863.26","76.99","53.9","7"
"Madison","752","US-13195","13","195","30177","62","11","2491.96","36.45","119.3","36"
"Marion","195","US-13197","13","197","8293","23","9","2351.38","108.53","12.06","1"
"McDuffie","660","US-13189","13","189","21597","74","15","3055.98","69.45","175.95","38"
"McIntosh","300","US-13191","13","191","14567","32","7","2059.45","48.05","27.46","4"
"Meriwether","571","US-13199","13","199","21020","75","16","2716.46","76.12","57.09","12"
"Miller","295","US-13201","13","201","5764","12","2","5117.97","34.7","346.98","20"
"Mitchell","844","US-13205","13","205","22056","153","45","3826.62","204.03","90.68","20"
"Monroe","740","US-13207","13","207","27727","90","54","2668.88","194.76","129.84","36"
"Montgomery","357","US-13209","13","209","9224","24","8","3870.34","86.73","336.08","31"
"Morgan","512","US-13211","13","211","19138","39","4","2675.31","20.9","114.95","22"
"Murray","946","US-13213","13","213","40261","55","8","2349.67","19.87","235.96","95"
"Muscogee","6249","US-13215","13","215","191626","685","173","3261.04","90.28","70.45","135"
"Newton","2772","US-13217","13","217","112354","290","93","2467.2","82.77","100.57","113"
"Non-GA Resident/Unknown State","14609","US-.",".",".","0","666","178","0","0","0","920"
"Oconee","822","US-13219","13","219","41737","68","27","1969.48","64.69","119.8","50"
"Oglethorpe","389","US-13221","13","221","15240","47","11","2552.49","72.18","275.59","42"
"Paulding","3018","US-13223","13","223","172542","150","59","1749.14","34.19","82.3","142"
"Peach","733","US-13225","13","225","27375","108","24","2677.63","87.67","186.3","51"
"Pickens","691","US-13227","13","227","33530","61","9","2060.84","26.84","181.93","61"
"Pierce","643","US-13229","13","229","19545","82","24","3289.84","122.79","86.98","17"
"Pike","373","US-13231","13","231","18860","31","11","1977.73","58.32","121.95","23"
"Polk","1611","US-13233","13","233","43482","117","25","3704.98","57.5","200.08","87"
"Pulaski","325","US-13235","13","235","10893","38","23","2983.57","211.14","64.26","7"
"Putnam","765","US-13237","13","237","21885","75","27","3495.54","123.37","233.04","51"
"Quitman","38","US-13239","13","239","2294","7","1","1656.5","43.59","174.37","4"
"Rabun","409","US-13241","13","241","16986","53","11","2407.87","64.76","158.95","27"
"Randolph","338","US-13243","13","243","6754","56","29","5004.44","429.38","74.03","5"
"Richmond","7667","US-13245","13","245","202240","608","173","3791.04","85.54","187.9","380"
"Rockdale","2012","US-13247","13","247","94960","254","40","2118.79","42.12","116.89","111"
"Schley","108","US-13249","13","249","5275","16","2","2047.39","37.91","37.91","2"
"Screven","441","US-13251","13","251","13900","47","11","3172.66","79.14","129.5","18"
"Seminole","380","US-13253","13","253","8140","27","11","4668.3","135.14","184.28","15"
"Spalding","1467","US-13255","13","255","69110","198","62","2122.7","89.71","159.17","110"
"Stephens","1239","US-13257","13","257","26328","126","41","4706.02","155.73","489.97","129"
"Stewart","526","US-13259","13","259","6129","81","16","8582.15","261.05","81.58","5"
"Sumter","954","US-13261","13","261","29399","205","68","3245.01","231.3","44.22","13"
"Talbot","167","US-13263","13","263","6158","25","7","2711.92","113.67","0","0"
"Taliaferro","25","US-13265","13","265","1632","2","0","1531.86","0","61.27","1"
"Tattnall","898","US-13267","13","267","25411","66","13","3533.9","51.16","188.89","48"
"Taylor","224","US-13269","13","269","7958","32","12","2814.78","150.79","75.4","6"
"Telfair","429","US-13271","13","271","15644","43","23","2742.27","147.02","198.16","31"
"Terrell","337","US-13273","13","273","8467","74","32","3980.16","377.94","70.86","6"
"Thomas","1569","US-13275","13","275","44431","173","68","3531.32","153.05","148.54","66"
"Tift","1904","US-13277","13","277","40830","233","61","4663.24","149.4","186.14","76"
"Toombs","1441","US-13279","13","279","26983","109","56","5340.4","207.54","285.36","77"
"Towns","401","US-13281","13","281","12034","47","12","3332.23","99.72","324.08","39"
"Treutlen","290","US-13283","13","283","6829","31","11","4246.6","161.08","380.73","26"
"Troup","2957","US-13285","13","285","70414","329","104","4199.45","147.7","144.86","102"
"Turner","330","US-13287","13","287","8076","51","24","4086.18","297.18","148.59","12"
"Twiggs","210","US-13289","13","289","8086","52","9","2597.08","111.3","136.04","11"
"Union","854","US-13291","13","291","25335","88","24","3370.83","94.73","209.2","53"
"Unknown","1927","US-.",".",".","0","44","6","0","0","0","170"
"Upson","826","US-13293","13","293","26277","92","68","3143.43","258.78","87.53","23"
"Walker","1746","US-13295","13","295","69610","93","43","2508.26","61.77","182.45","127"
"Walton","2033","US-13297","13","297","95814","207","64","2121.82","66.8","158.64","152"
"Ware","1698","US-13299","13","299","35853","182","61","4736.01","170.14","493.68","177"
"Warren","163","US-13301","13","301","5210","26","5","3128.6","95.97","134.36","7"
"Washington","723","US-13303","13","303","20302","53","11","3561.23","54.18","167.47","34"
"Wayne","1196","US-13305","13","305","29974","111","30","3990.12","100.09","133.45","40"
"Webster","44","US-13307","13","307","2550","10","2","1725.49","78.43","0","0"
"Wheeler","355","US-13309","13","309","7909","20","16","4488.56","202.3","227.59","18"
"White","982","US-13311","13","311","31758","105","22","3092.13","69.27","217.27","69"
"Whitfield","5065","US-13313","13","313","104672","261","63","4838.93","60.19","339.15","355"
"Wilcox","252","US-13315","13","315","8790","52","25","2866.89","284.41","34.13","3"
"Wilkes","277","US-13317","13","317","10014","30","6","2766.13","59.92","79.89","8"
"Wilkinson","359","US-13319","13","319","8919","68","17","4025.11","190.6","168.18","15"
"Worth","584","US-13321","13","321","20142","99","32","2899.41","158.87","178.73","36"
