"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2489","17"
"Hispanic/Latino","American Indian/Alaska Native","130","0"
"Hispanic/Latino","Asian","260","1"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","177","1"
"Hispanic/Latino","Other","28970","297"
"Hispanic/Latino","Unknown","13450","10"
"Hispanic/Latino","White","38300","500"
"Non-Hispanic/Latino","African-American/Black","184468","5032"
"Non-Hispanic/Latino","American Indian/Alaska Native","347","10"
"Non-Hispanic/Latino","Asian","13982","285"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","558","8"
"Non-Hispanic/Latino","Other","9824","53"
"Non-Hispanic/Latino","Unknown","8703","53"
"Non-Hispanic/Latino","White","270198","8522"
"Unknown","African-American/Black","26190","34"
"Unknown","American Indian/Alaska Native","132","0"
"Unknown","Asian","3328","3"
"Unknown","Native Hawaiian/Pacific Islander","170","0"
"Unknown","Other","25428","22"
"Unknown","Unknown","145025","73"
"Unknown","White","40483","68"
