"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2838","22"
"Hispanic/Latino","American Indian/Alaska Native","138","0"
"Hispanic/Latino","Asian","295","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","197","2"
"Hispanic/Latino","Other","31562","328"
"Hispanic/Latino","Unknown","13705","14"
"Hispanic/Latino","White","42051","569"
"Non-Hispanic/Latino","African-American/Black","205293","5883"
"Non-Hispanic/Latino","American Indian/Alaska Native","371","11"
"Non-Hispanic/Latino","Asian","15783","332"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","617","13"
"Non-Hispanic/Latino","Other","10907","56"
"Non-Hispanic/Latino","Unknown","7228","46"
"Non-Hispanic/Latino","White","301619","9767"
"Unknown","African-American/Black","27105","30"
"Unknown","American Indian/Alaska Native","178","0"
"Unknown","Asian","3655","2"
"Unknown","Native Hawaiian/Pacific Islander","176","0"
"Unknown","Other","26917","23"
"Unknown","Unknown","136137","59"
"Unknown","White","42093","55"
