Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,860,14
Hispanic/Latino,American Indian/Alaska Native,48,0
Hispanic/Latino,Asian,88,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,89,0
Hispanic/Latino,Other,14236,156
Hispanic/Latino,Unknown,5558,7
Hispanic/Latino,White,18927,247
Non-Hispanic/Latino,African-American/Black,68014,2782
Non-Hispanic/Latino,American Indian/Alaska Native,126,6
Non-Hispanic/Latino,Asian,3724,123
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,199,6
Non-Hispanic/Latino,Other,3516,18
Non-Hispanic/Latino,Unknown,2809,30
Non-Hispanic/Latino,White,78741,3285
Unknown,African-American/Black,12447,21
Unknown,American Indian/Alaska Native,53,0
Unknown,Asian,1172,1
Unknown,Native Hawaiian/Pacific Islander,86,0
Unknown,Other,5099,9
Unknown,Unknown,79565,84
Unknown,White,15689,33
