"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","7402","37"
"Hispanic/Latino","American Indian/Alaska Native","438","2"
"Hispanic/Latino","Asian","779","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","488","4"
"Hispanic/Latino","Other","54342","455"
"Hispanic/Latino","Unknown","29875","14"
"Hispanic/Latino","White","74341","837"
"Non-Hispanic/Latino","African-American/Black","442283","8905"
"Non-Hispanic/Latino","American Indian/Alaska Native","917","23"
"Non-Hispanic/Latino","Asian","33698","450"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1165","17"
"Non-Hispanic/Latino","Other","27535","105"
"Non-Hispanic/Latino","Unknown","13576","12"
"Non-Hispanic/Latino","White","593783","15662"
"Unknown","African-American/Black","36977","15"
"Unknown","American Indian/Alaska Native","480","0"
"Unknown","Asian","5806","2"
"Unknown","Native Hawaiian/Pacific Islander","298","0"
"Unknown","Other","33332","13"
"Unknown","Unknown","200749","77"
"Unknown","White","45556","24"
