"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","868725","12430","50463"
"Male","Georgia","724039","14219","47508"
"Unknown","Georgia","11056","8","244"
"Female","Appling","1645","47","127"
"Male","Appling","1338","52","120"
"Unknown","Appling","10","0","0"
"Female","Atkinson","692","12","91"
"Male","Atkinson","574","20","93"
"Unknown","Atkinson","4","0","0"
"Female","Bacon","954","22","80"
"Male","Bacon","1138","31","88"
"Unknown","Bacon","2","0","0"
"Female","Baker","146","5","21"
"Male","Baker","118","8","23"
"Female","Baldwin","3495","59","174"
"Male","Baldwin","2725","117","232"
"Unknown","Baldwin","16","0","0"
"Female","Banks","1548","34","164"
"Male","Banks","1293","33","136"
"Unknown","Banks","12","0","0"
"Female","Barrow","8937","96","487"
"Male","Barrow","7552","104","433"
"Unknown","Barrow","54","0","1"
"Female","Bartow","10008","151","545"
"Male","Bartow","8657","184","571"
"Unknown","Bartow","105","0","0"
"Female","Ben Hill","1139","31","98"
"Male","Ben Hill","835","41","84"
"Unknown","Ben Hill","3","0","0"
"Female","Berrien","912","27","55"
"Male","Berrien","756","24","44"
"Unknown","Berrien","5","0","0"
"Female","Bibb","14141","312","1349"
"Male","Bibb","10345","290","1126"
"Unknown","Bibb","141","0","1"
"Female","Bleckley","698","23","35"
"Male","Bleckley","516","18","30"
"Unknown","Bleckley","5","0","0"
"Female","Brantley","1093","36","90"
"Male","Brantley","926","42","78"
"Unknown","Brantley","6","0","0"
"Female","Brooks","868","22","73"
"Male","Brooks","670","35","63"
"Unknown","Brooks","6","0","0"
"Female","Bryan","2772","25","153"
"Male","Bryan","2517","40","190"
"Unknown","Bryan","2","0","0"
"Female","Bulloch","5006","57","180"
"Male","Bulloch","3843","43","147"
"Unknown","Bulloch","20","0","0"
"Female","Burke","1402","25","106"
"Male","Burke","1117","24","96"
"Unknown","Burke","10","0","1"
"Female","Butts","2048","54","99"
"Male","Butts","2070","60","124"
"Unknown","Butts","25","0","0"
"Female","Calhoun","340","14","42"
"Male","Calhoun","317","7","50"
"Unknown","Calhoun","1","0","0"
"Female","Camden","3649","40","122"
"Male","Camden","3183","42","104"
"Unknown","Camden","3","0","0"
"Female","Candler","642","17","52"
"Male","Candler","536","34","37"
"Female","Carroll","6655","74","192"
"Male","Carroll","5801","88","215"
"Unknown","Carroll","51","1","4"
"Female","Catoosa","5228","55","174"
"Male","Catoosa","4551","46","172"
