"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","8620","38"
"Hispanic/Latino","American Indian/Alaska Native","599","3"
"Hispanic/Latino","Asian","961","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","624","4"
"Hispanic/Latino","Other","59461","472"
"Hispanic/Latino","Unknown","36909","16"
"Hispanic/Latino","White","83957","855"
"Non-Hispanic/Latino","African-American/Black","488153","9215"
"Non-Hispanic/Latino","American Indian/Alaska Native","1091","22"
"Non-Hispanic/Latino","Asian","40359","469"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1309","17"
"Non-Hispanic/Latino","Other","34011","149"
"Non-Hispanic/Latino","Unknown","18810","15"
"Non-Hispanic/Latino","White","671446","16420"
"Unknown","African-American/Black","43254","19"
"Unknown","American Indian/Alaska Native","773","0"
"Unknown","Asian","7152","3"
"Unknown","Native Hawaiian/Pacific Islander","394","0"
"Unknown","Other","35260","18"
"Unknown","Unknown","274410","98"
"Unknown","White","53063","29"
