"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Appling","1735","US-13001","13","1","18561","144","51","9347.56","274.77","490.28","91","328","4"
"Atkinson","748","US-13003","13","3","8330","110","15","8979.59","180.07","228.09","19","205","0"
"Bacon","1010","US-13005","13","5","11404","73","25","8856.54","219.22","324.45","37","323","6"
"Baker","153","US-13007","13","7","3116","31","6","4910.14","192.55","192.55","6","59","0"
"Baldwin","3566","US-13009","13","9","44428","281","92","8026.47","207.08","486.18","216","517","4"
"Banks","1487","US-13011","13","11","19982","171","28","7441.7","140.13","370.33","74","114","1"
"Barrow","7516","US-13013","13","13","86383","505","103","8700.79","119.24","715.42","618","808","1"
"Bartow","9336","US-13015","13","15","110771","620","164","8428.2","148.05","627.42","695","2395","13"
"Ben Hill","1438","US-13017","13","17","16645","143","50","8639.23","300.39","252.33","42","540","17"
"Berrien","973","US-13019","13","19","19276","64","26","5047.73","134.88","233.45","45","613","11"
"Bibb","12102","US-13021","13","21","152150","1509","315","7953.99","207.03","456.13","694","1680","29"
"Bleckley","760","US-13023","13","23","12838","45","32","5919.93","249.26","202.52","26","592","11"
"Brantley","822","US-13025","13","25","19202","62","23","4280.8","119.78","244.77","47","611","3"
"Brooks","875","US-13027","13","27","15727","82","35","5563.68","222.55","146.25","23","335","5"
"Bryan","2264","US-13029","13","29","39137","147","24","5784.81","61.32","429.26","168","559","3"
"Bulloch","4764","US-13031","13","31","79467","187","47","5994.94","59.14","446.73","355","1248","35"
"Burke","1584","US-13033","13","33","22342","131","27","7089.79","120.85","492.35","110","653","17"
"Butts","1858","US-13035","13","35","25174","106","61","7380.63","242.31","615.71","155","617","3"
"Calhoun","419","US-13037","13","37","6317","67","13","6632.9","205.79","411.59","26","113","0"
"Camden","2882","US-13039","13","39","53924","112","24","5344.56","44.51","352.35","190","505","4"
"Candler","705","US-13043","13","43","10837","54","32","6505.49","295.28","92.28","10","172","17"
"Carroll","6653","US-13045","13","45","120119","277","115","5538.67","95.74","346.32","416","3311","69"
"Catoosa","4734","US-13047","13","47","68771","194","51","6883.72","74.16","600.54","413","349","3"
"Charlton","989","US-13049","13","49","13251","53","15","7463.59","113.2","264.13","35","273","8"
"Chatham","17173","US-13051","13","51","292176","1337","311","5877.62","106.44","504.15","1473","1879","15"
"Chattahoochee","2486","US-13053","13","53","10749","21","3","23127.73","27.91","2325.8","250","301","2"
"Chattooga","2001","US-13055","13","55","24766","139","53","8079.63","214","359.36","89","419","5"
"Cherokee","18674","US-13057","13","57","266617","1058","219","7004.05","82.14","588.11","1568","6432","8"
"Clarke","11442","US-13059","13","59","129779","406","97","8816.53","74.74","604.1","784","1985","4"
"Clay","176","US-13061","13","61","2855","9","3","6164.62","105.08","350.26","10","48","0"
"Clayton","19239","US-13063","13","63","304838","1135","323","6311.22","105.96","715.46","2181","1910","16"
"Clinch","681","US-13065","13","65","6656","62","21","10231.37","315.5","615.99","41","192","0"
"Cobb","52376","US-13067","13","67","790588","2625","733","6624.94","92.72","501.65","3966","12626","49"
"Coffee","4037","US-13069","13","69","43042","587","107","9379.21","248.59","374.05","161","953","23"
"Colquitt","3109","US-13071","13","71","45393","208","56","6849.07","123.37","522.11","237","1031","23"
"Columbia","9958","US-13073","13","73","158631","393","127","6277.46","80.06","435.6","691","4743","33"
"Cook","1108","US-13075","13","75","17437","103","33","6354.3","189.25","137.64","24","509","3"
"Coweta","7414","US-13077","13","77","152001","253","121","4877.6","79.6","413.81","629","4402","8"
"Crawford","481","US-13079","13","79","12228","58","11","3933.6","89.96","335.3","41","108","2"
"Crisp","1278","US-13081","13","81","22289","141","36","5733.77","161.51","444.17","99","580","17"
"Dade","1005","US-13083","13","83","16162","47","8","6218.29","49.5","470.24","76","140","1"
"Dawson","2428","US-13085","13","85","27021","210","29","8985.6","107.32","532.92","144","187","0"
"DeKalb","48357","US-13089","13","89","793154","3845","651","6096.8","82.08","421.86","3346","4623","49"
"Decatur","2004","US-13087","13","87","26322","131","48","7613.4","182.36","421.7","111","619","10"
"Dodge","1045","US-13091","13","91","20385","100","52","5126.32","255.09","142.26","29","962","37"
"Dooly","702","US-13093","13","93","13400","77","26","5238.81","194.03","261.19","35","249","8"
"Dougherty","5081","US-13095","13","95","89905","902","248","5651.52","275.85","330.35","297","1706","11"
"Douglas","10106","US-13097","13","97","151906","689","135","6652.8","88.87","665.54","1011","2254","23"
"Early","932","US-13099","13","99","10146","65","40","9185.89","394.24","640.65","65","142","4"
"Echols","348","US-13101","13","101","3969","11","2","8767.95","50.39","226.76","9","87","4"
"Effingham","3270","US-13103","13","103","64026","207","48","5107.3","74.97","513.85","329","505","2"
"Elbert","1433","US-13105","13","105","18945","110","38","7564","200.58","380.05","72","699","11"
"Emanuel","1654","US-13107","13","107","22664","113","51","7297.92","225.03","211.79","48","710","24"
"Evans","689","US-13109","13","109","10687","65","11","6447.09","102.93","271.36","29","169","7"
"Fannin","1856","US-13111","13","111","26320","153","48","7051.67","182.37","524.32","138","182","9"
"Fayette","5429","US-13113","13","113","117544","205","108","4618.7","91.88","451.75","531","1720","8"
"Floyd","8829","US-13115","13","115","99916","705","142","8836.42","142.12","507.43","507","1432","28"
"Forsyth","14931","US-13117","13","117","252507","833","122","5913.1","48.32","524.34","1324","2573","5"
"Franklin","2174","US-13119","13","119","23329","137","33","9318.87","141.45","518.67","121","239","5"
"Fulton","70227","US-13121","13","121","1099181","3874","944","6389.03","85.88","456.34","5016","9673","61"
"Gilmer","2257","US-13123","13","123","31417","178","50","7184.01","159.15","665.24","209","375","6"
"Glascock","133","US-13125","13","125","3025","19","5","4396.69","165.29","495.87","15","102","8"
"Glynn","6019","US-13127","13","127","86047","405","137","6995.01","159.22","577.59","497","1090","15"
"Gordon","5410","US-13129","13","129","58049","259","82","9319.71","141.26","601.22","349","1214","7"
"Grady","1434","US-13131","13","131","24540","152","41","5843.52","167.07","289.32","71","479","7"
"Greene","1335","US-13133","13","133","18717","106","37","7132.55","197.68","582.36","109","259","3"
"Gwinnett","76106","US-13135","13","135","971145","4660","768","7836.73","79.08","578.39","5617","10275","51"
"Habersham","4429","US-13137","13","137","45800","441","123","9670.31","268.56","397.38","182","184","4"
"Hall","23061","US-13139","13","139","206349","2118","332","11175.73","160.89","537.44","1109","1454","16"
"Hancock","769","US-13141","13","141","8193","91","54","9386.06","659.1","317.34","26","69","1"
"Haralson","1534","US-13143","13","143","30722","56","29","4993.16","94.39","283.18","87","790","38"
"Harris","1861","US-13145","13","145","34712","132","42","5361.26","121","458.05","159","302","0"
"Hart","1581","US-13147","13","147","26107","106","32","6055.85","122.57","340.9","89","541","14"
"Heard","557","US-13149","13","149","12370","36","12","4502.83","97.01","339.53","42","193","3"
"Henry","16020","US-13151","13","151","239866","446","207","6678.73","86.3","547.39","1313","3906","19"
"Houston","8867","US-13153","13","153","157039","604","146","5646.37","92.97","365.51","574","3513","43"
"Irwin","648","US-13155","13","155","9433","74","15","6869.5","159.02","233.22","22","202","10"
"Jackson","7630","US-13157","13","157","74700","412","105","10214.19","140.56","809.91","605","935","10"
"Jasper","583","US-13159","13","159","14199","49","13","4105.92","91.56","274.67","39","621","14"
"Jeff Davis","1175","US-13161","13","161","15148","93","33","7756.8","217.85","376.29","57","488","6"
"Jefferson","1478","US-13163","13","163","15313","138","50","9651.93","326.52","476.72","73","280","4"
"Jenkins","688","US-13165","13","165","8576","77","36","8022.39","419.78","513.06","44","103","2"
