"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2404","17"
"Hispanic/Latino","American Indian/Alaska Native","130","0"
"Hispanic/Latino","Asian","251","1"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","178","1"
"Hispanic/Latino","Other","28246","284"
"Hispanic/Latino","Unknown","13333","10"
"Hispanic/Latino","White","37439","475"
"Non-Hispanic/Latino","African-American/Black","178319","4779"
"Non-Hispanic/Latino","American Indian/Alaska Native","338","10"
"Non-Hispanic/Latino","Asian","13386","268"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","543","7"
"Non-Hispanic/Latino","Other","9513","46"
"Non-Hispanic/Latino","Unknown","8529","54"
"Non-Hispanic/Latino","White","260737","8045"
"Unknown","African-American/Black","25856","30"
"Unknown","American Indian/Alaska Native","132","0"
"Unknown","Asian","3267","2"
"Unknown","Native Hawaiian/Pacific Islander","167","0"
"Unknown","Other","25051","22"
"Unknown","Unknown","146699","68"
"Unknown","White","39831","57"
