"city","province","prefecture","country","travel_advisor","travel_restriction_date_start1","travel_restriction_date_end1","strict_restrictions_prefecture","travel_restriction_date_start2","travel_restriction_date_end2","notes","tr_source","Accessed_date","who_by","tr_source2","accessed_date2","who_by2","notes2"
"Hangzhou City","Zhejiang Province","Hangzhou","China",NA,2020-02-04,2020-03-04,"yes",NA,NA,"As of 19:00, 4 March, eight provinces, namely, Shanxi, Guangdong, Jiangsu, Xinjiang, Sichuan, Ningxia, Zhejiang and Heilongjiang, lowered their emergency response to COVID-19 from level 1 to level 2","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
"Ningbo City","Zhejiang Province","Ningbo","China",NA,2020-02-04,2020-03-04,"yes",NA,NA,"Yuhang district suspends buses, taxis, shuttle buses and airports. Some districts with mandatory mask wearing; As of 19:00, 4 March, eight provinces, namely, Shanxi, Guangdong, Jiangsu, Xinjiang, Sichuan, Ningxia, Zhejiang and Heilongjiang, lowered their emergency response to COVID-19 from level 1 to level 2","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
"Wenzhou City","Zhejiang Province","Wenzhou","China",NA,2020-02-02,NA,NA,NA,NA,"a partial lockdown, closing 46 of the 54 highway checkpoints","http://www.wenzhou.gov.cn/art/2020/2/2/art_1219304_41867473.html",2020-02-10,"ARW",NA,NA,NA,NA
"Yueqing City","Zhejiang Province","Wenzhou","China",NA,2020-02-04,2020-03-04,"yes",NA,NA,"As of 19:00, 4 March, eight provinces, namely, Shanxi, Guangdong, Jiangsu, Xinjiang, Sichuan, Ningxia, Zhejiang and Heilongjiang, lowered their emergency response to COVID-19 from level 1 to level 2","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Zhejiang Province","Taizhou","China",NA,2020-02-04,2020-03-04,"yes",NA,NA,"household lockdowns, 95 trains suspended; As of 19:00, 4 March, eight provinces, namely, Shanxi, Guangdong, Jiangsu, Xinjiang, Sichuan, Ningxia, Zhejiang and Heilongjiang, lowered their emergency response to COVID-19 from level 1 to level 2","https://www.channelnewsasia.com/news/asia/hangzhou-and-taizhou-cities-far-from-virus-epicentre-implement-12388714",2020-02-14,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Beijing Municipality","Beijing Municipality","China",NA,2020-02-10,2020-04-30,"yes",NA,NA,"""half-closed city"" initiative; After the response level is downgraded, people from low-risk regions of China will not need to be quarantined for 14 days at home upon arriving in Beijing. But the strict management of inbound personnel and those from high- and medium-risk areas and Hubei, the province once hardest hit by the virus, will continue","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://www.xinhuanet.com/english/2020-04/29/c_139018709.htm","2020-05-21","TCO","2020-04-02: Non-Beijing residents who come to the capital for medical care will have to undergo a 14-day observation at home or collectively."
NA,"Shanghai Municipality","Shanghai Municipality","China",NA,2020-02-10,2020-03-24,"yes",NA,NA,"""half-closed city"" initiative; Shanghai will lower its public health emergency response to the COVID-19 epidemic from the highest to the second-highest level on Mar 24, according to the Shanghai municipal government.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/23/c_78146.htm","2020-05-22","TCO",NA
NA,"Chongqing Municipality","Chongqing Municipality","China",NA,2020-02-10,2020-02-29,"yes",NA,NA,"By the end of February, nearly 2 million workers had left Chongqing to work in other places.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/06/c_77397.htm","2020-05-22","TCO",NA
NA,"Liaoning Province","Anshan","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Benxi","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Chaoyang","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Dalian","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Dalian","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Dandong","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Fushun","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Fuxin","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Huludao","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Jinzhou","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Liaoyang","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Panjin","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Shenyang","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Tieling","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Liaoning Province","Yingkou","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management - 14 cities total - closed management; As of 19:00, 4 March, nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm ; https://www.ctwant.com/article/35826",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Jiangxi Province","Fuzhou","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Ganzhou","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Ji'an","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Ji'an","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Jingdezhen","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Jiujiang","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Jiujiang","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Nanchang","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Pingxiang","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Shangrao","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Xinyu","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Yichun","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Jiangxi Province","Yingtan","China",NA,2020-02-06,2020-03-21,"yes",NA,NA,"closed management - 11 cities in total","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.yicai.com/news/100558891.html","2020-05-07","TCO",NA
NA,"Anhui Province","Anqing","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Bengbu","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Bozhou","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Chizhou","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Chuzhou","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Fuyang","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Hefei","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Huaibei","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Huainan","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Huangshan","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Lu'an","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Ma'anshan","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Suzhou","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Tongling","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Wuhu","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Anhui Province","Xuancheng","China",NA,2020-02-07,2020-02-26,"yes",NA,NA,"16 cities; A total of 16 provincial-level regions in China — Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Guangdong, Fujian, Shanxi, Jiangxi, Sichuan, Anhui, Hainan, Qinghai, Inner Mongolia, Xinjiang and Jilin have lowered their emergency response levels to the novel coronavirus as of Feb 26.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-02/27/c_77012.htm","2020-05-22","TCO",NA
NA,"Hubei Province","Enshi Tujia and Miao Autonomous Prefecture","China",NA,2020-02-07,2020-03-25,"yes",NA,NA,"17 cities","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
NA,"Hubei Province","Huanggang","China",NA,2020-02-07,2020-03-25,"yes",NA,NA,"17 cities","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
NA,"Hubei Province","Huangshi","China",NA,2020-02-07,2020-03-25,"yes",NA,NA,"17 cities","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
NA,"Hubei Province","Jingmen","China",NA,2020-02-07,2020-03-25,"yes",NA,NA,"17 cities","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
NA,"Hubei Province","Jingzhou","China",NA,2020-02-07,2020-03-25,"yes",NA,NA,"17 cities","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
NA,"Hubei Province","Qianjiang","China",NA,2020-02-07,2020-03-25,"yes",NA,NA,"17 cities","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
NA,"Hubei Province","Shiyan","China",NA,2020-02-07,2020-03-25,"yes",NA,NA,"17 cities","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
NA,"Hubei Province","Xiangyang","China",NA,2020-02-07,2020-03-25,"yes",NA,NA,"17 cities","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
NA,"Hubei Province","Xiaogan","China",NA,2020-01-24,2020-03-25,"yes",NA,NA,"road traffic closed","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.theguardian.com/world/2020/mar/24/china-to-lift-travel-restrictions-in-hubei-after-months-of-coronavirus-lockdown","2020-04-15","TCO",NA
"World Dream cruise ship","Hong Kong Special Administrative Region","Hong Kong Special Administrative Region","China",NA,2020-02-05,2020-02-09,NA,NA,NA,"3600 passengers on cruise ship quarantined for 4 days in Hong Kong until tested negative for ncov","https://www.bbc.com/news/world-asia-china-51433079",2020-02-12,"TO",NA,NA,NA,NA
NA,"Inner Mongolia Autonomous Region",NA,"China",NA,2020-02-01,NA,NA,NA,NA,"Lockdown of exit channel of Wuhan ports","http://innermongolia.chinadaily.com.cn/2020-02/01/c_450420.htm",2020-03-30,"JW",NA,NA,NA,NA
NA,"Inner Mongolia Autonomous Region",NA,"China",NA,2020-02-02,NA,NA,NA,NA,"Traffic quarantine stations in railways, airlines, and customs, passengers are tested","http://innermongolia.chinadaily.com.cn/2020-02/02/c_450252.htm",2020-03-30,"JW",NA,NA,NA,NA
NA,"Inner Mongolia Autonomous Region",NA,"China",NA,2020-03-10,NA,NA,NA,NA,"All travelers from overseas, including China, required to take a nucleic acid test to determine infection after a 14-day quarantine","http://innermongolia.chinadaily.com.cn/2020-03/13/c_461898.htm",2020-03-30,"JW",NA,NA,NA,NA
NA,"Inner Mongolia Autonomous Region",NA,"China",NA,2020-03-15,NA,NA,NA,NA,"Mandatory travel quarantine for all travelers","http://innermongolia.chinadaily.com.cn/",2020-03-30,"JW",NA,NA,NA,NA
NA,"Shanghai Municipality","Shanghai Municipality","China",NA,2020-03-06,NA,NA,NA,NA,"Chinese shipping ports require 14-day quarantine upon arrival","https://www.ship-technology.com/features/coronavirus-outbreak-measures-and-preventive-actions-by-ports/",2020-03-30,"JW",NA,NA,NA,NA
