"city","province","prefecture","country","travel_advisor","travel_restriction_date_start1","travel_restriction_date_end1","strict_restrictions_prefecture","travel_restriction_date_start2","travel_restriction_date_end2","notes","tr_source","Accessed_date","who_by","tr_source2","accessed_date2","who_by2","notes2"
NA,"Guangxi Zhuang Autonomous Region","NanNing","China",NA,2020-02-05,2020-03-04,"yes",NA,NA,"closed management; nine provinces, namely, Gansu, Liaoning, Guizhou, Yunnan, Guangxi, Inner Mongolia, Qinghai, Hainan and Shaanxi, revised their response from level 1 down to level 3.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
"Sanya","Hainan Province","Sanya","China",NA,2020-01-25,NA,NA,NA,NA,"interprovincial road passenger transport","http://companies.caixin.com/2020-01-26/101508589.html",2020-02-08,"ARW",NA,NA,NA,NA
NA,"Hebei Province","Shijiazhuang","China",NA,2020-02-06,2020-04-30,"yes",NA,NA,"closed management; Hebei province and Tianjin municipality will also lower their emergency response to COVID-19 from the top level to the second level starting on Thursday morning, according to their governments, which means that by then, only Hubei province will still maintain the Grade 1 response.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-04/30/c_79789.htm","2020-05-22","TCO",NA
"Harbin City","Heilongjiang Province","Harbin","China",NA,2020-02-04,2020-03-04,"yes",NA,NA,"As of 19:00, 4 March, eight provinces, namely, Shanxi, Guangdong, Jiangsu, Xinjiang, Sichuan, Ningxia, Zhejiang and Heilongjiang, lowered their emergency response to COVID-19 from level 1 to level 2","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Heilongjiang Province",NA,"China",NA,2020-01-27,2020-03-04,"yes",NA,NA,"suspend interprovincial charter buses; As of 19:00, 4 March, eight provinces, namely, Shanxi, Guangdong, Jiangsu, Xinjiang, Sichuan, Ningxia, Zhejiang and Heilongjiang, lowered their emergency response to COVID-19 from level 1 to level 2","http://www.hlj.gov.cn/zwfb/system/2020/01/29/010918719.shtml",2020-03-30,"JW","http://en.nhc.gov.cn/2020-03/05/c_77319.htm","2020-05-21","TCO",NA
NA,"Heilongjiang Province",NA,"China",NA,2020-02-01,2020-02-24,NA,NA,NA,"close toll booths on expressways","http://www.hlj.gov.cn/zwfb/system/2020/02/01/010918786.shtml",2020-03-30,"JW",NA,NA,NA,NA
NA,"Heilongjiang Province",NA,"China",NA,2020-01-29,NA,NA,NA,NA,"security checkpoints on epressways","http://www.hlj.gov.cn/zwfb/system/2020/01/29/010918719.shtml",2020-03-30,"JW",NA,NA,NA,NA
"Zhengzhou City","Henan Province","Zhengzhou","China",NA,2020-02-04,2020-03-05,"yes",NA,NA,"Foxconn is gradually resuming production capacity at its major manufacturing base in Zhengzhou, Central China's Henan province.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","http://en.nhc.gov.cn/2020-03/05/c_77343.htm","2020-05-22","TCO",NA
"Zhumadian City","Henan Province","Zhumadian","China",NA,2020-02-04,2020-02-22,"yes",NA,NA,"People board a customized train heading for East China's Zhejiang province at Zhoukou East Railway Station in Zhoukou, Central China's Henan province, Feb 22, 2020. More than 700 passengers from Central China's Henan province took the customized train to East China's Zhejiang province to resume work.","https://www.ettoday.net/news/20200210/1642382.htm",2020-02-10,"ARW","https://www.chinadaily.com.cn/a/202002/24/WS5e53658fa310128217279d0c.html","2020-05-22","TCO",NA
"Jia County","Henan Province","Pingdingshan","China",NA,2020-04-01,2020-02-22,"yes",NA,NA,"On Wednesday, April 1, authorities in Henan province placed Jia county on an indefinite lockdown to prevent further spread of coronavirus disease (COVID-19). Per the directive, individuals will be barred from traveling outside the county. Additionally, movement within the county will be severely restricted, and residents must have special permits to leave their homes.","https://www.garda.com/crisis24/news-alerts/328356/china-authorities-lock-down-jia-county-henan-province-due-to-covid-19-april-1-update-50",2020-05-08,"TCO","https://www.chinadaily.com.cn/a/202002/24/WS5e53658fa310128217279d0c.html","2020-05-22","TCO",NA
