country,date_of_evac,potential end of quarantine,evacuees,screened,tested,positive,quarantine,location,comments,source,announcement_date,contributor,date_of_entry,addl_source,addl_comments
Belgium,2/2/2020,2/16/2020,9,9,9,1,1,NA,Person is asymptomatic & was on flight,https://www.channelnewsasia.com/news/world/wuhan-coronavirus-virus-belgium-tests-positive-china-12394176  /   https://www.politico.eu/article/belgian-repatriated-from-wuhan-tests-positive-for-coronavirus/,2/4/2020,Lewis Bartlett,2/5/2020,,
India,2/1/2020,2/15/2020,324,324,,0,14,,,https://qz.com/india/1795841/how-india-is-dealing-with-the-coronavirus-outbreak/,2/3/2020,Daniel Suh,2/4/2020,,
India,2/2/2020,2/16/2020,330,330,,,14,,includes 7 Maldives citizens,https://indianexpress.com/article/explained/coronavirus-outbreak-inside-the-wuhan-evacuation-indians-in-china-6251124/,2/5/2020,Daniel Suh,2/5/2020,,
Canada,2/6/2020,2/20/2020,176,176,,,14,Canadian Forces Base Trenton,,https://globalnews.ca/news/6515047/canada-coronavirus-evacuation-wuhan/,2/6/2020,Daniel Suh,2/7/2020,,
Canada,2/10/2020,2/24/2020,185,185,,,14,Canadian Forces Base Trenton,,https://globalnews.ca/news/6530909/coronavirus-quarantine-flight-crew-released/,2/10/2020,Daniel Suh,2/13/2020,,
Canada,2/21/2020,3/6/2020,129,129,,,14,,diamond princess evac,https://www.nytimes.com/reuters/2020/02/24/world/europe/24reuters-china-health-evacuation-factbox.html,,Daniel Suh,,,
New Zealand,2/4/2020,2/18/2020,193,193,,,14,Whangaparoa Military base,98 New Zealanders. 35 Australians will be transferred to Christmas Island,https://www.theguardian.com/world/2020/feb/05/eight-year-old-boy-becomes-australias-13th-coronavirus-case-as-nz-evacuation-goes-ahead,2/4/2020,Daniel Suh,2/5/2020,,
Brazil,2/9/2020,2/23/2020,34,34,,,18,,,https://www.reuters.com/article/us-china-health-evacuation/factbox-countries-evacuating-nationals-from-china-coronavirus-areas-idUSKBN2040HU,,Daniel Suh,2/10/2020,,
Kazakhstan,2/2/2020,,83,83,,,,,,https://www.rferl.org/a/kazakhstan-evacuates-83-citizens-from-china/30412546.html,2/2/2020,Daniel Suh,2/10/2020,,
Phillipines,2/9/2020,2/23/2020,30,30,,,14,New Clark City,,https://www.reuters.com/article/us-china-health-philippines/philippines-evacuates-30-including-infant-from-virus-hit-wuhan-idUSKBN20304F,2/8/2020,Daniel Suh,2/10/2020,,
Uzbekistan,2/4/2020,2/18/2020,251,251,,,,Tashkent,,https://www.rferl.org/a/uzbekistan-repatriates-dozens-more-as-central-asia-frets-over-coronavirus-outbreak/30418487.html,2/5/2020,Daniel Suh,2/10/2020,,
Uzbekistan,2/5/2020,2/19/2020,84,84,,,,,,https://www.rferl.org/a/uzbekistan-repatriates-dozens-more-as-central-asia-frets-over-coronavirus-outbreak/30418487.html,2/5/2020,Daniel Suh,2/10/2020,,
Saudi Arabia,2/2/2020,2/16/2020,10,10,,,,Riyadh,,https://www.arabnews.com/node/1622056/saudi-arabia,2/2/2020,Daniel Suh,2/10/2020,,
Taiwan,2/3/2020,2/17/2020,247,247,,1,,Taiwan,,https://www.straitstimes.com/asia/east-asia/taiwan-china-argue-over-flights-for-stranded-taiwanese-in-wuhan,2/6/2020,Daniel Suh,2/10/2020,,
Taiwan,2/22/2020,3/7/2020,19,19,19,,14,,diamond princess evac,https://www.mohw.gov.tw/cp-115-51647-2.html,2/22/2020,Daniel Suh,,,
Indonesia,2/2/2020,2/16/2020,238,238,,,,island military base,,https://www.channelnewsasia.com/news/asia/wuhan-coronavirus-indonesia-no-tests-quarantine-natuna-12401562,2/6/2020,Daniel Suh,2/10/2020,,
Thailand,2/4/2020,2/18/2020,138,138,6,,14,Sattahip,,https://www.reuters.com/article/us-china-health-thailand/thailand-evacuates-138-from-virus-hit-wuhan-idUSKBN1ZY0ZF,2/4/2020,Daniel Suh,2/10/2020,,
Singapore,1/30/2020,2/13/2020,92,92,,,14,,,https://www.straitstimes.com/singapore/some-singaporeans-with-symptoms-of-virus-staying-behind-in-wuhan-even-as-92-are-evacuated,1/30/2020,Daniel Suh,2/13/2020,,
Singapore,2/9/2020,2/23/2020,174,174,,,14,,,https://www.straitstimes.com/singapore/relief-for-singaporean-after-family-returns-from-wuhan,2/13/2020,Daniel Suh,2/13/2020,,
Hong Kong,2/23/2020,3/8/2020,200,200,,,,,diamond princess evac,https://www.nytimes.com/reuters/2020/02/24/world/europe/24reuters-china-health-evacuation-factbox.html,,Daniel Suh,,,
Hong Kong,3/3/2020,3/17/2020,243,243,,,14,Fo Tan,,https://www.scmp.com/news/hong-kong/health-environment/article/3064901/coronavirus-hong-kong-begins-evacuation-residents,3/3/2020,Daniel Suh,3/3/2020,,
Nepal,2/16/2020,3/1/2020,175,175,,,,,,https://www.nytimes.com/reuters/2020/02/24/world/europe/24reuters-china-health-evacuation-factbox.html,,Daniel Suh,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
