"sex","county name","cases","deaths","hospitalization"
"Female","Georgia","289789","4635","20841"
"Male","Georgia","248845","5079","19932"
"Unknown","Georgia","8225","5","179"
"Female","Appling","748","15","62"
"Male","Appling","643","27","62"
"Unknown","Appling","11","0","0"
"Female","Atkinson","339","5","48"
"Male","Atkinson","281","4","43"
"Unknown","Atkinson","1","0","0"
"Female","Bacon","414","9","27"
"Male","Bacon","373","12","31"
"Unknown","Bacon","7","0","1"
"Female","Baker","67","2","8"
"Male","Baker","61","4","17"
"Female","Baldwin","1572","17","90"
"Male","Baldwin","1253","55","124"
"Unknown","Baldwin","18","0","1"
"Female","Banks","602","9","75"
"Male","Banks","486","9","56"
"Unknown","Banks","10","0","0"
"Female","Barrow","2508","39","206"
"Male","Barrow","2068","26","167"
"Unknown","Barrow","28","0","1"
"Female","Bartow","3304","49","221"
"Male","Bartow","2889","62","234"
"Unknown","Bartow","68","0","1"
"Female","Ben Hill","706","13","64"
"Male","Ben Hill","470","23","56"
"Unknown","Ben Hill","3","0","0"
"Female","Berrien","426","11","24"
"Male","Berrien","335","9","16"
"Unknown","Berrien","7","0","0"
"Female","Bibb","5180","128","604"
"Male","Bibb","3820","109","511"
"Unknown","Bibb","82","0","2"
"Female","Bleckley","373","18","21"
"Male","Bleckley","251","12","19"
"Unknown","Bleckley","5","0","0"
"Female","Brantley","353","8","29"
"Male","Brantley","295","10","24"
"Unknown","Brantley","3","0","0"
"Female","Brooks","425","6","33"
"Male","Brooks","318","20","30"
"Unknown","Brooks","15","0","0"
"Female","Bryan","919","8","52"
"Male","Bryan","784","9","67"
"Unknown","Bryan","14","0","0"
"Female","Bulloch","2073","22","90"
"Male","Bulloch","1555","14","72"
"Unknown","Bulloch","44","0","0"
"Female","Burke","623","9","54"
"Male","Burke","516","6","53"
"Unknown","Burke","7","0","1"
"Female","Butts","602","23","32"
"Male","Butts","580","24","45"
"Unknown","Butts","41","0","2"
"Female","Calhoun","150","8","26"
"Male","Calhoun","156","3","31"
"Unknown","Calhoun","2","0","0"
"Female","Camden","1127","8","53"
"Male","Camden","1026","11","40"
"Unknown","Camden","10","0","0"
"Female","Candler","331","11","25"
"Male","Candler","272","17","25"
"Unknown","Candler","2","0","0"
"Female","Carroll","2714","47","123"
"Male","Carroll","2393","48","129"
"Unknown","Carroll","34","0","1"
"Female","Catoosa","1677","20","88"
"Male","Catoosa","1358","16","66"
"Unknown","Catoosa","58","0","0"
"Female","Charlton","325","4","23"
"Male","Charlton","495","8","22"
"Unknown","Charlton","6","0","0"
"Female","Chatham","6811","107","518"
"Male","Chatham","5566","120","490"
"Unknown","Chatham","127","0","3"
"Female","Chattahoochee","167","1","7"
"Male","Chattahoochee","1970","0","11"
"Unknown","Chattahoochee","6","0","0"
"Female","Chattooga","805","20","41"
"Male","Chattooga","668","23","59"
"Unknown","Chattooga","8","0","0"
"Female","Cherokee","6418","61","378"
"Male","Cherokee","5713","64","406"
"Unknown","Cherokee","95","0","3"
"Female","Clarke","4609","26","156"
"Male","Clarke","3578","37","155"
"Unknown","Clarke","48","0","2"
"Female","Clay","86","1","3"
"Male","Clay","54","2","6"
"Unknown","Clay","3","0","0"
"Female","Clayton","7180","112","469"
"Male","Clayton","5483","106","405"
"Unknown","Clayton","104","0","1"
"Female","Clinch","274","2","19"
"Male","Clinch","259","12","26"
"Unknown","Clinch","4","0","0"
"Female","Cobb","18743","260","1169"
"Male","Cobb","16381","285","1163"
"Unknown","Cobb","255","0","6"
"Female","Coffee","1788","37","266"
"Male","Coffee","1539","41","208"
"Unknown","Coffee","25","0","0"
"Female","Colquitt","1279","17","99"
"Male","Colquitt","1195","27","84"
"Unknown","Colquitt","22","0","0"
"Female","Columbia","3705","39","132"
"Male","Columbia","3265","45","142"
"Unknown","Columbia","27","0","2"
"Female","Cook","541","8","45"
"Male","Cook","403","13","40"
"Unknown","Cook","27","2","2"
"Female","Coweta","2567","33","102"
"Male","Coweta","2383","44","104"
"Unknown","Coweta","24","0","0"
"Female","Crawford","191","5","28"
"Male","Crawford","151","2","11"
"Unknown","Crawford","5","0","1"
"Female","Crisp","521","9","67"
"Male","Crisp","406","18","47"
"Unknown","Crisp","6","0","0"
"Female","Dade","364","6","21"
"Male","Dade","310","1","17"
"Unknown","Dade","11","0","0"
"Female","Dawson","843","5","69"
"Male","Dawson","739","9","75"
"Unknown","Dawson","10","0","0"
"Female","DeKalb","18223","219","1568"
"Male","DeKalb","15471","269","1438"
"Unknown","DeKalb","430","0","11"
"Female","Decatur","879","23","63"
"Male","Decatur","695","20","54"
"Unknown","Decatur","12","0","0"
"Female","Dodge","436","24","42"
"Male","Dodge","351","20","41"
"Unknown","Dodge","26","0","0"
"Female","Dooly","283","10","32"
"Male","Dooly","233","11","31"
"Unknown","Dooly","4","0","0"
"Female","Dougherty","2369","114","443"
"Male","Dougherty","1541","89","308"
"Unknown","Dougherty","24","0","0"
"Female","Douglas","3623","45","315"
"Male","Douglas","2938","52","263"
"Unknown","Douglas","37","0","1"
"Female","Early","436","23","37"
"Male","Early","257","16","22"
"Unknown","Early","4","0","0"
"Female","Echols","110","0","2"
"Male","Echols","197","2","8"
"Unknown","Echols","4","0","0"
"Female","Effingham","1240","16","79"
"Male","Effingham","1123","18","78"
"Unknown","Effingham","16","0","0"
"Female","Elbert","669","12","61"
"Male","Elbert","447","12","29"
