"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9052","43"
"Hispanic/Latino","American Indian/Alaska Native","599","3"
"Hispanic/Latino","Asian","1042","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","641","4"
"Hispanic/Latino","Other","60118","485"
"Hispanic/Latino","Unknown","37442","8"
"Hispanic/Latino","White","86779","909"
"Non-Hispanic/Latino","African-American/Black","501378","9710"
"Non-Hispanic/Latino","American Indian/Alaska Native","1110","29"
"Non-Hispanic/Latino","Asian","42898","500"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1354","15"
"Non-Hispanic/Latino","Other","34286","147"
"Non-Hispanic/Latino","Unknown","18885","7"
"Non-Hispanic/Latino","White","694315","17504"
"Unknown","African-American/Black","44000","15"
"Unknown","American Indian/Alaska Native","728","0"
"Unknown","Asian","7417","2"
"Unknown","Native Hawaiian/Pacific Islander","421","0"
"Unknown","Other","33883","9"
"Unknown","Unknown","277503","104"
"Unknown","White","54762","33"
