"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","3525","US-13001","13","1","18561","263","105","18991.43","565.7","177.79","33","1178","12","20"
"Atkinson","1522","US-13003","13","3","8330","204","35","18271.31","420.17","408.16","34","543","8","22"
"Bacon","2527","US-13005","13","5","11404","202","58","22158.89","508.59","263.07","30","946","13","15"
"Baker","313","US-13007","13","7","3116","45","13","10044.93","417.2","64.18","2","218","1","3"
"Baldwin","7275","US-13009","13","9","44428","426","186","16374.81","418.65","101.29","45","2171","34","18"
"Banks","3322","US-13011","13","11","19982","321","74","16624.96","370.33","170.15","34","518","7","5"
"Barrow","19403","US-13013","13","13","86383","969","234","22461.6","270.89","223.42","193","2368","9","7"
"Bartow","21391","US-13015","13","15","110771","1197","374","19311.01","337.63","176.94","196","7177","55","105"
"Ben Hill","2161","US-13017","13","17","16645","185","72","12982.88","432.56","78.1","13","2120","44","69"
"Berrien","2004","US-13019","13","19","19276","108","54","10396.35","280.14","93.38","18","2894","22","40"
"Bibb","28654","US-13021","13","21","152150","2700","656","18832.73","431.15","98.59","150","7927","81","80"
"Bleckley","1456","US-13023","13","23","12838","72","42","11341.33","327.15","70.1","9","1845","48","71"
"Brantley","2476","US-13025","13","25","19202","180","84","12894.49","437.45","171.86","33","1578","17","36"
"Brooks","1873","US-13027","13","27","15727","152","61","11909.46","387.87","152.6","24","1519","20","26"
"Bryan","6755","US-13029","13","29","39137","382","68","17259.88","173.75","186.52","73","2127","14","17"
"Bulloch","10538","US-13031","13","31","79467","362","106","13260.85","133.39","78.02","62","4747","142","221"
"Burke","2950","US-13033","13","33","22342","235","57","13203.83","255.12","80.57","18","2296","42","33"
"Butts","4692","US-13035","13","35","25174","252","133","18638.28","528.32","131.09","33","1722","13","14"
"Calhoun","978","US-13037","13","37","6317","101","21","15482.03","332.44","126.64","8","353","1","3"
"Camden","8502","US-13039","13","39","53924","241","92","15766.63","170.61","285.59","154","2448","17","35"
"Candler","1318","US-13043","13","43","10837","95","51","12162.04","470.61","129.19","14","734","40","41"
"Carroll","14353","US-13045","13","45","120119","436","175","11948.98","145.69","109.06","131","9196","244","309"
"Catoosa","12309","US-13047","13","47","68771","384","119","17898.53","173.04","295.18","203","1745","33","39"
"Charlton","2194","US-13049","13","49","13251","117","47","16557.24","354.69","573.54","76","721","14","19"
"Chatham","52557","US-13051","13","51","292176","3124","750","17988.13","256.69","181.06","529","8713","62","62"
"Chattahoochee","5905","US-13053","13","53","10749","49","16","54935.34","148.85","213.97","23","868","5","4"
"Chattooga","5231","US-13055","13","55","24766","309","109","21121.7","440.12","214","53","1240","17","20"
"Cherokee","44964","US-13057","13","57","266617","2295","537","16864.64","201.41","156.03","416","17601","37","51"
"Clarke","26004","US-13059","13","59","129779","1116","203","20037.14","156.42","157.96","205","3431","9","6"
"Clay","354","US-13061","13","61","2855","14","4","12399.3","140.11","105.08","3","160","0","4"
"Clayton","57195","US-13063","13","63","304838","3040","833","18762.42","273.26","149.59","456","5784","59","18"
"Clinch","1381","US-13065","13","65","6656","94","36","20748.2","540.87","120.19","8","641","2","10"
"Cobb","133372","US-13067","13","67","790588","4675","1537","16869.98","194.41","184.93","1462","35538","132","254"
"Coffee","8396","US-13069","13","69","43042","1032","203","19506.53","471.63","374.05","161","2212","51","106"
"Colquitt","7879","US-13071","13","71","45393","389","154","17357.3","339.26","215.89","98","3083","70","37"
"Columbia","20127","US-13073","13","73","158631","831","290","12687.94","182.81","228.83","363","15123","65","93"
"Cook","2053","US-13075","13","75","17437","141","54","11773.81","309.69","86.02","15","2805","15","27"
"Coweta","20739","US-13077","13","77","152001","1312","411","13643.99","270.39","131.58","200","11933","50","51"
"Crawford","1185","US-13079","13","79","12228","117","42","9690.87","343.47","106.31","13","576","9","6"
"Crisp","2543","US-13081","13","81","22289","198","70","11409.22","314.06","53.84","12","2078","61","99"
"Dade","2488","US-13083","13","83","16162","97","25","15394.13","154.68","266.06","43","604","3","9"
"Dawson","6093","US-13085","13","85","27021","384","93","22549.13","344.18","233.15","63","710","4","4"
"DeKalb","126215","US-13089","13","89","793154","7855","1421","15913.05","179.16","218.87","1736","17712","150","71"
"Decatur","4959","US-13087","13","87","26322","253","86","18839.75","326.72","638.25","168","1850","35","69"
"Dodge","2104","US-13091","13","91","20385","132","67","10321.31","328.67","53.96","11","3068","76","83"
"Dooly","1527","US-13093","13","93","13400","109","39","11395.52","291.04","111.94","15","829","27","31"
"Dougherty","14049","US-13095","13","95","89905","1544","427","15626.49","474.95","170.18","153","5265","42","23"
"Douglas","27986","US-13097","13","97","151906","1245","302","18423.24","198.81","137.59","209","6523","68","120"
