"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2928","22"
"Hispanic/Latino","American Indian/Alaska Native","141","0"
"Hispanic/Latino","Asian","306","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","197","2"
"Hispanic/Latino","Other","32412","332"
"Hispanic/Latino","Unknown","14002","16"
"Hispanic/Latino","White","43103","578"
"Non-Hispanic/Latino","African-American/Black","211800","6018"
"Non-Hispanic/Latino","American Indian/Alaska Native","379","11"
"Non-Hispanic/Latino","Asian","16173","336"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","646","13"
"Non-Hispanic/Latino","Other","11216","59"
"Non-Hispanic/Latino","Unknown","7223","45"
"Non-Hispanic/Latino","White","309902","9970"
"Unknown","African-American/Black","26022","31"
"Unknown","American Indian/Alaska Native","167","0"
"Unknown","Asian","3667","2"
"Unknown","Native Hawaiian/Pacific Islander","174","0"
"Unknown","Other","26790","25"
"Unknown","Unknown","133444","59"
"Unknown","White","40144","57"
