"","location","State_Code","date_time_accessed","WeekStart","state_weekly_cases","national_weekly_cases","national_weekly_deaths","national_weekly_rec","epiweek"
"27","Arkansas","AR",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"28","Arkansas","AR",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"29","Arkansas","AR",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"30","Arkansas","AR",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"31","Arkansas","AR",2020-03-19 19:28:58,2020-03-08,12,2825,56,0,11
"32","Arkansas","AR",2020-03-19 19:28:58,2020-03-15,50,11855,170,0,12
"33","California","CA",2020-03-19 19:28:58,2020-01-19,1,3,0,0,4
"34","California","CA",2020-03-19 19:28:58,2020-01-26,2,8,0,0,5
"35","California","CA",2020-03-19 19:28:58,2020-02-02,3,12,0,0,6
"36","California","CA",2020-03-19 19:28:58,2020-02-16,2,14,0,0,8
"37","California","CA",2020-03-19 19:28:58,2020-02-23,3,24,1,0,9
"38","California","CA",2020-03-19 19:28:58,2020-03-01,53,353,19,0,10
"39","California","CA",2020-03-19 19:28:58,2020-03-08,198,2825,56,0,11
"40","California","CA",2020-03-19 19:28:58,2020-03-15,389,11855,170,0,12
"41","Colorado","CO",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"42","Colorado","CO",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"43","Colorado","CO",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"44","Colorado","CO",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"45","Colorado","CO",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"46","Colorado","CO",2020-03-19 19:28:58,2020-03-01,8,353,19,0,10
"47","Colorado","CO",2020-03-19 19:28:58,2020-03-08,93,2825,56,0,11
"48","Colorado","CO",2020-03-19 19:28:58,2020-03-15,176,11855,170,0,12
"49","Connecticut","CT",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
"50","Connecticut","CT",2020-03-19 19:28:58,2020-01-26,0,8,0,0,5
"51","Connecticut","CT",2020-03-19 19:28:58,2020-02-02,0,12,0,0,6
"52","Connecticut","CT",2020-03-19 19:28:58,2020-02-16,0,14,0,0,8
"53","Connecticut","CT",2020-03-19 19:28:58,2020-02-23,0,24,1,0,9
"54","Connecticut","CT",2020-03-19 19:28:58,2020-03-01,0,353,19,0,10
"55","Connecticut","CT",2020-03-19 19:28:58,2020-03-08,20,2825,56,0,11
"56","Connecticut","CT",2020-03-19 19:28:58,2020-03-15,139,11855,170,0,12
"57","Delaware","DE",2020-03-19 19:28:58,2020-01-19,0,3,0,0,4
