"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","40063","3","513"
"05-09 years","Georgia","70305","5","398"
"10-17 years","Georgia","176386","16","1478"
"18-29 years","Georgia","399566","244","7577"
"30-39 years","Georgia","312198","633","9352"
"40-49 years","Georgia","281173","1397","12546"
"50-59 years","Georgia","250296","3282","18149"
"60-69 years","Georgia","163470","5843","20335"
"70-79 years","Georgia","89472","7499","18480"
"80 & Older years","Georgia","47079","8732","13678"
"<1 years","Georgia","13427","1","601"
"Unknown years","Georgia","5934","0","198"
"01-04 years","Appling","72","0","0"
"05-09 years","Appling","125","0","0"
"10-17 years","Appling","410","0","3"
"18-29 years","Appling","619","1","8"
"30-39 years","Appling","482","3","10"
"40-49 years","Appling","465","9","29"
"50-59 years","Appling","467","11","44"
"60-69 years","Appling","387","22","71"
"70-79 years","Appling","258","25","49"
"80 & Older years","Appling","132","31","41"
"<1 years","Appling","14","0","0"
"Unknown years","Appling","1","0","0"
"01-04 years","Atkinson","33","0","2"
"05-09 years","Atkinson","65","0","1"
"10-17 years","Atkinson","172","0","2"
"18-29 years","Atkinson","307","0","16"
"30-39 years","Atkinson","226","0","15"
"40-49 years","Atkinson","212","4","35"
"50-59 years","Atkinson","206","5","37"
"60-69 years","Atkinson","135","7","42"
"70-79 years","Atkinson","68","8","26"
"80 & Older years","Atkinson","26","8","14"
"<1 years","Atkinson","8","0","0"
"Unknown years","Atkinson","1","0","0"
"01-04 years","Bacon","53","0","1"
"05-09 years","Bacon","74","0","0"
"10-17 years","Bacon","224","0","1"
"18-29 years","Bacon","618","0","10"
"30-39 years","Bacon","360","1","13"
"40-49 years","Bacon","362","5","23"
"50-59 years","Bacon","278","3","27"
"60-69 years","Bacon","236","17","49"
"70-79 years","Bacon","147","14","43"
"80 & Older years","Bacon","71","13","22"
"<1 years","Bacon","18","0","0"
"Unknown years","Bacon","2","0","0"
"01-04 years","Baker","11","0","0"
"05-09 years","Baker","21","0","0"
"10-17 years","Baker","22","0","0"
"18-29 years","Baker","54","0","0"
"30-39 years","Baker","33","0","4"
"40-49 years","Baker","35","3","3"
"50-59 years","Baker","39","0","4"
"60-69 years","Baker","45","3","16"
"70-79 years","Baker","23","3","11"
"80 & Older years","Baker","16","4","6"
"<1 years","Baker","3","0","0"
"Unknown years","Baker","1","0","0"
