"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","5518","1","112"
"05-09 years","Georgia","8518","1","80"
"10-17 years","Georgia","30929","5","346"
"18-29 years","Georgia","113709","66","2481"
"30-39 years","Georgia","76700","149","3259"
"40-49 years","Georgia","73389","347","4710"
"50-59 years","Georgia","68541","854","6656"
"60-69 years","Georgia","46183","1823","7649"
"70-79 years","Georgia","26883","2532","6764"
"80 & Older years","Georgia","16648","3425","5334"
"<1 years","Georgia","1638","0","93"
"Unknown years","Georgia","3078","1","66"
"01-04 years","Appling","16","0","0"
"05-09 years","Appling","37","0","0"
"10-17 years","Appling","105","0","1"
"18-29 years","Appling","239","1","4"
"30-39 years","Appling","182","1","5"
"40-49 years","Appling","181","2","13"
"50-59 years","Appling","199","5","18"
"60-69 years","Appling","159","9","32"
"70-79 years","Appling","109","12","24"
"80 & Older years","Appling","47","11","17"
"<1 years","Appling","3","0","0"
"Unknown years","Appling","8","0","0"
"01-04 years","Atkinson","4","0","1"
"05-09 years","Atkinson","12","0","1"
"10-17 years","Atkinson","31","0","0"
"18-29 years","Atkinson","123","0","8"
"30-39 years","Atkinson","92","0","7"
"40-49 years","Atkinson","95","0","15"
"50-59 years","Atkinson","95","1","16"
"60-69 years","Atkinson","59","4","18"
"70-79 years","Atkinson","33","2","10"
"80 & Older years","Atkinson","9","2","6"
"<1 years","Atkinson","2","0","0"
"Unknown years","Atkinson","4","0","0"
"01-04 years","Bacon","11","0","0"
"05-09 years","Bacon","13","0","0"
"10-17 years","Bacon","46","0","0"
"18-29 years","Bacon","175","0","1"
"30-39 years","Bacon","91","0","4"
"40-49 years","Bacon","115","1","7"
"50-59 years","Bacon","105","2","13"
"60-69 years","Bacon","66","7","14"
"70-79 years","Bacon","40","4","8"
"80 & Older years","Bacon","22","6","6"
"<1 years","Bacon","4","0","0"
"Unknown years","Bacon","2","0","0"
"01-04 years","Baker","4","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","6","0","0"
"18-29 years","Baker","18","0","0"
"30-39 years","Baker","14","0","2"
"40-49 years","Baker","10","0","1"
"50-59 years","Baker","16","0","1"
"60-69 years","Baker","22","2","7"
"70-79 years","Baker","15","2","8"
"80 & Older years","Baker","6","2","3"
"01-04 years","Baldwin","18","0","0"
"05-09 years","Baldwin","34","0","0"
"10-17 years","Baldwin","107","0","2"
"18-29 years","Baldwin","1022","0","12"
"30-39 years","Baldwin","288","1","10"
"40-49 years","Baldwin","309","2","26"
"50-59 years","Baldwin","329","8","35"
"60-69 years","Baldwin","260","14","47"
"70-79 years","Baldwin","163","18","36"
"80 & Older years","Baldwin","100","28","29"
"<1 years","Baldwin","6","0","0"
"Unknown years","Baldwin","1","0","0"
"01-04 years","Banks","6","0","0"
"05-09 years","Banks","13","0","0"
"10-17 years","Banks","69","0","2"
"18-29 years","Banks","158","0","4"
"30-39 years","Banks","118","0","1"
"40-49 years","Banks","121","0","10"
"50-59 years","Banks","133","0","15"
"60-69 years","Banks","120","3","24"
"70-79 years","Banks","98","4","36"
"80 & Older years","Banks","56","5","19"
"<1 years","Banks","3","0","0"
"Unknown years","Banks","20","0","1"
"01-04 years","Barrow","38","0","0"
"05-09 years","Barrow","61","0","0"
"10-17 years","Barrow","246","0","2"
"18-29 years","Barrow","810","1","26"
"30-39 years","Barrow","641","0","28"
"40-49 years","Barrow","666","3","43"
"50-59 years","Barrow","558","2","58"
"60-69 years","Barrow","377","13","79"
"70-79 years","Barrow","208","15","52"
"80 & Older years","Barrow","119","26","46"
"<1 years","Barrow","15","0","2"
"Unknown years","Barrow","11","0","0"
"01-04 years","Bartow","48","0","1"
"05-09 years","Bartow","86","0","1"
"10-17 years","Bartow","434","0","2"
"18-29 years","Bartow","1020","0","11"
"30-39 years","Bartow","813","2","24"
"40-49 years","Bartow","839","0","45"
"50-59 years","Bartow","848","7","75"
"60-69 years","Bartow","507","16","83"
"70-79 years","Bartow","370","32","86"
"80 & Older years","Bartow","214","47","67"
"<1 years","Bartow","17","0","1"
"Unknown years","Bartow","27","0","5"
"01-04 years","Ben Hill","25","0","1"
"05-09 years","Ben Hill","17","0","0"
"10-17 years","Ben Hill","63","0","0"
"18-29 years","Ben Hill","172","0","4"
"30-39 years","Ben Hill","159","2","7"
"40-49 years","Ben Hill","134","0","7"
"50-59 years","Ben Hill","165","2","22"
"60-69 years","Ben Hill","150","9","20"
"70-79 years","Ben Hill","104","14","34"
"80 & Older years","Ben Hill","43","8","9"
"<1 years","Ben Hill","2","0","0"
"Unknown years","Ben Hill","9","0","0"
"01-04 years","Berrien","13","0","0"
"05-09 years","Berrien","13","0","0"
