"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","11846","1","230"
"05-09 years","Georgia","19486","2","175"
"10-17 years","Georgia","66573","7","700"
"18-29 years","Georgia","197418","118","3747"
"30-39 years","Georgia","142878","253","4902"
"40-49 years","Georgia","138286","609","7126"
"50-59 years","Georgia","131079","1624","10711"
"60-69 years","Georgia","88399","3472","12723"
"70-79 years","Georgia","51183","5032","12068"
"80 & Older years","Georgia","29565","6524","9354"
"<1 years","Georgia","3303","0","178"
"Unknown years","Georgia","4267","2","96"
"01-04 years","Appling","30","0","0"
"05-09 years","Appling","53","0","0"
"10-17 years","Appling","163","0","1"
"18-29 years","Appling","346","1","6"
"30-39 years","Appling","259","1","5"
"40-49 years","Appling","258","4","17"
"50-59 years","Appling","298","7","29"
"60-69 years","Appling","257","15","53"
"70-79 years","Appling","168","18","35"
"80 & Older years","Appling","82","20","31"
"<1 years","Appling","7","0","0"
"01-04 years","Atkinson","6","0","1"
"05-09 years","Atkinson","19","0","1"
"10-17 years","Atkinson","50","0","0"
"18-29 years","Atkinson","170","0","9"
"30-39 years","Atkinson","122","0","8"
"40-49 years","Atkinson","135","2","24"
"50-59 years","Atkinson","140","1","26"
"60-69 years","Atkinson","83","5","25"
"70-79 years","Atkinson","43","5","13"
"80 & Older years","Atkinson","14","5","10"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","18","0","0"
"05-09 years","Bacon","23","0","0"
"10-17 years","Bacon","75","0","1"
"18-29 years","Bacon","397","0","1"
"30-39 years","Bacon","190","0","5"
"40-49 years","Bacon","177","1","13"
"50-59 years","Bacon","157","2","16"
"60-69 years","Bacon","127","9","25"
"70-79 years","Bacon","82","7","20"
"80 & Older years","Bacon","38","9","7"
"<1 years","Bacon","4","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","6","0","0"
"05-09 years","Baker","4","0","0"
"10-17 years","Baker","9","0","0"
"18-29 years","Baker","25","0","0"
"30-39 years","Baker","22","0","2"
"40-49 years","Baker","14","1","2"
"50-59 years","Baker","21","0","1"
"60-69 years","Baker","32","3","15"
"70-79 years","Baker","18","2","10"
"80 & Older years","Baker","9","3","3"
"<1 years","Baker","1","0","0"
"01-04 years","Baldwin","31","0","0"
"05-09 years","Baldwin","52","0","0"
"10-17 years","Baldwin","198","1","5"
"18-29 years","Baldwin","1284","0","14"
"30-39 years","Baldwin","475","1","16"
"40-49 years","Baldwin","487","2","31"
"50-59 years","Baldwin","497","12","60"
"60-69 years","Baldwin","387","23","76"
"70-79 years","Baldwin","259","28","57"
"80 & Older years","Baldwin","159","46","62"
"<1 years","Baldwin","14","0","0"
"01-04 years","Banks","11","0","0"
"05-09 years","Banks","30","0","1"
"10-17 years","Banks","107","0","2"
"18-29 years","Banks","306","0","9"
"30-39 years","Banks","210","0","6"
"40-49 years","Banks","238","0","18"
"50-59 years","Banks","261","1","25"
"60-69 years","Banks","214","5","42"
"70-79 years","Banks","152","15","55"
"80 & Older years","Banks","80","12","30"
"<1 years","Banks","6","0","1"
"Unknown years","Banks","23","0","1"
"01-04 years","Barrow","96","0","0"
"05-09 years","Barrow","181","0","0"
"10-17 years","Barrow","680","0","8"
"18-29 years","Barrow","1781","2","38"
"30-39 years","Barrow","1507","1","46"
"40-49 years","Barrow","1550","5","71"
"50-59 years","Barrow","1298","8","103"
"60-69 years","Barrow","861","30","143"
"70-79 years","Barrow","503","35","106"
"80 & Older years","Barrow","246","51","92"
"<1 years","Barrow","31","0","2"
"Unknown years","Barrow","20","0","0"
"01-04 years","Bartow","117","0","6"
"05-09 years","Bartow","229","0","2"
"10-17 years","Bartow","956","0","13"
"18-29 years","Bartow","2113","0","25"
"30-39 years","Bartow","1730","4","50"
"40-49 years","Bartow","1802","2","84"
"50-59 years","Bartow","1850","17","159"
"60-69 years","Bartow","1126","36","162"
"70-79 years","Bartow","748","73","192"
"80 & Older years","Bartow","368","75","127"
"<1 years","Bartow","40","0","1"
"Unknown years","Bartow","151","0","7"
"01-04 years","Ben Hill","29","0","1"
"05-09 years","Ben Hill","20","0","0"
"10-17 years","Ben Hill","98","0","0"
"18-29 years","Ben Hill","262","0","4"
"30-39 years","Ben Hill","216","3","10"
"40-49 years","Ben Hill","202","1","10"
"50-59 years","Ben Hill","239","6","30"
"60-69 years","Ben Hill","202","12","28"
"70-79 years","Ben Hill","144","19","51"
"80 & Older years","Ben Hill","71","20","19"
"<1 years","Ben Hill","6","0","1"
"Unknown years","Ben Hill","2","0","0"
"01-04 years","Berrien","16","0","0"
"05-09 years","Berrien","23","0","0"
"10-17 years","Berrien","95","0","1"
"18-29 years","Berrien","202","0","0"
"30-39 years","Berrien","162","0","3"
"40-49 years","Berrien","141","1","5"
"50-59 years","Berrien","167","2","16"
"60-69 years","Berrien","124","8","17"
"70-79 years","Berrien","79","10","15"
"80 & Older years","Berrien","47","11","13"
"<1 years","Berrien","2","0","0"
"Unknown years","Berrien","1","0","0"
"01-04 years","Bibb","136","0","4"
"05-09 years","Bibb","189","0","0"
"10-17 years","Bibb","665","0","9"
"18-29 years","Bibb","2979","1","84"
"30-39 years","Bibb","2109","6","110"
"40-49 years","Bibb","2126","17","200"
"50-59 years","Bibb","1977","26","278"
"60-69 years","Bibb","1572","89","416"
"70-79 years","Bibb","955","117","363"
"80 & Older years","Bibb","593","149","295"
"<1 years","Bibb","46","0","4"
"Unknown years","Bibb","5","0","0"
"01-04 years","Bleckley","5","0","0"
"05-09 years","Bleckley","16","0","0"
"10-17 years","Bleckley","70","0","0"
"18-29 years","Bleckley","188","0","3"
"30-39 years","Bleckley","95","1","4"
"40-49 years","Bleckley","106","1","2"
"50-59 years","Bleckley","107","2","5"
"60-69 years","Bleckley","86","7","11"
"70-79 years","Bleckley","64","5","12"
"80 & Older years","Bleckley","61","18","12"
"<1 years","Bleckley","3","0","0"
"01-04 years","Brantley","12","0","0"
"05-09 years","Brantley","14","0","0"
"10-17 years","Brantley","85","0","1"
"18-29 years","Brantley","161","0","2"
"30-39 years","Brantley","120","0","4"
"40-49 years","Brantley","134","1","6"
"50-59 years","Brantley","154","2","15"
"60-69 years","Brantley","116","5","15"
"70-79 years","Brantley","89","16","26"
"80 & Older years","Brantley","47","8","11"
"<1 years","Brantley","1","0","0"
"01-04 years","Brooks","15","0","1"
"05-09 years","Brooks","25","0","0"
"10-17 years","Brooks","87","0","0"
"18-29 years","Brooks","176","0","1"
"30-39 years","Brooks","127","0","3"
"40-49 years","Brooks","124","1","12"
"50-59 years","Brooks","146","2","21"
"60-69 years","Brooks","100","6","16"
"70-79 years","Brooks","85","10","19"
"80 & Older years","Brooks","56","17","15"
"<1 years","Brooks","4","0","0"
"01-04 years","Bryan","50","0","0"
"05-09 years","Bryan","81","0","0"
"10-17 years","Bryan","273","0","3"
"18-29 years","Bryan","536","0","11"
"30-39 years","Bryan","455","1","10"
"40-49 years","Bryan","482","0","15"
"50-59 years","Bryan","354","5","30"
"60-69 years","Bryan","257","11","28"
"70-79 years","Bryan","160","10","51"
"80 & Older years","Bryan","67","9","27"
"<1 years","Bryan","14","0","0"
"Unknown years","Bryan","3","0","0"
"01-04 years","Bulloch","60","0","0"
"05-09 years","Bulloch","105","0","0"
"10-17 years","Bulloch","378","0","2"
"18-29 years","Bulloch","2267","0","10"
"30-39 years","Bulloch","647","4","21"
"40-49 years","Bulloch","556","2","23"
"50-59 years","Bulloch","532","8","34"
"60-69 years","Bulloch","388","16","47"
"70-79 years","Bulloch","198","17","42"
"80 & Older years","Bulloch","108","17","37"
"<1 years","Bulloch","26","0","2"
"Unknown years","Bulloch","1","0","0"
"01-04 years","Burke","22","0","0"
"05-09 years","Burke","45","0","0"
"10-17 years","Burke","140","0","1"
"18-29 years","Burke","350","1","7"
"30-39 years","Burke","266","1","10"
"40-49 years","Burke","298","2","17"
"50-59 years","Burke","275","3","32"
"60-69 years","Burke","213","5","38"
"70-79 years","Burke","122","13","32"
"80 & Older years","Burke","39","11","14"
"<1 years","Burke","7","0","0"
"Unknown years","Burke","2","0","0"
"01-04 years","Butts","24","0","3"
"05-09 years","Butts","31","0","0"
"10-17 years","Butts","117","0","3"
"18-29 years","Butts","426","0","6"
"30-39 years","Butts","392","0","8"
"40-49 years","Butts","366","4","15"
"50-59 years","Butts","387","7","23"
"60-69 years","Butts","275","17","34"
"70-79 years","Butts","188","22","25"
"80 & Older years","Butts","114","27","8"
"<1 years","Butts","7","0","1"
"Unknown years","Butts","3","0","0"
"01-04 years","Calhoun","7","0","0"
"05-09 years","Calhoun","1","0","0"
"10-17 years","Calhoun","40","0","0"
"18-29 years","Calhoun","66","0","6"
"30-39 years","Calhoun","60","2","6"
"40-49 years","Calhoun","75","2","8"
"50-59 years","Calhoun","83","2","18"
"60-69 years","Calhoun","71","2","19"
"70-79 years","Calhoun","25","5","9"
"80 & Older years","Calhoun","15","2","8"
"<1 years","Calhoun","3","0","0"
"Unknown years","Calhoun","1","0","0"
"01-04 years","Camden","46","0","0"
"05-09 years","Camden","41","0","1"
"10-17 years","Camden","229","0","1"
"18-29 years","Camden","788","0","6"
"30-39 years","Camden","524","1","18"
"40-49 years","Camden","428","2","11"
"50-59 years","Camden","486","2","21"
"60-69 years","Camden","360","6","29"
"70-79 years","Camden","209","5","26"
"80 & Older years","Camden","92","14","22"
"<1 years","Camden","8","0","2"
"01-04 years","Candler","9","0","0"
"05-09 years","Candler","13","0","0"
"10-17 years","Candler","55","0","0"
"18-29 years","Candler","129","0","0"
"30-39 years","Candler","95","0","3"
"40-49 years","Candler","121","3","3"
"50-59 years","Candler","127","5","13"
"60-69 years","Candler","100","9","14"
"70-79 years","Candler","67","14","18"
"80 & Older years","Candler","28","6","11"
"<1 years","Candler","5","0","0"
"01-04 years","Carroll","90","0","1"
"05-09 years","Carroll","136","0","2"
"10-17 years","Carroll","621","0","6"
"18-29 years","Carroll","1755","0","13"
"30-39 years","Carroll","1110","4","19"
"40-49 years","Carroll","1089","4","30"
"50-59 years","Carroll","1086","11","56"
"60-69 years","Carroll","767","26","73"
"70-79 years","Carroll","457","35","67"
"80 & Older years","Carroll","270","51","44"
"<1 years","Carroll","28","0","0"
"Unknown years","Carroll","9","0","0"
"01-04 years","Catoosa","87","0","0"
"05-09 years","Catoosa","145","0","1"
"10-17 years","Catoosa","490","0","2"
"18-29 years","Catoosa","1037","0","8"
"30-39 years","Catoosa","786","1","11"
"40-49 years","Catoosa","911","2","15"
"50-59 years","Catoosa","844","6","36"
"60-69 years","Catoosa","609","7","62"
"70-79 years","Catoosa","365","17","57"
"80 & Older years","Catoosa","249","31","50"
"<1 years","Catoosa","34","0","1"
"Unknown years","Catoosa","140","0","10"
"01-04 years","Charlton","12","0","0"
"05-09 years","Charlton","29","0","0"
"10-17 years","Charlton","66","0","0"
"18-29 years","Charlton","217","1","1"
"30-39 years","Charlton","209","0","4"
"40-49 years","Charlton","181","2","8"
"50-59 years","Charlton","149","2","6"
"60-69 years","Charlton","146","7","19"
"70-79 years","Charlton","55","5","11"
"80 & Older years","Charlton","30","8","14"
"<1 years","Charlton","2","0","0"
"01-04 years","Chatham","402","0","3"
"05-09 years","Chatham","489","1","1"
"10-17 years","Chatham","1370","0","14"
"18-29 years","Chatham","5091","3","60"
"30-39 years","Chatham","3469","5","113"
"40-49 years","Chatham","2837","13","161"
"50-59 years","Chatham","2568","42","248"
"60-69 years","Chatham","2064","84","366"
"70-79 years","Chatham","1100","122","357"
"80 & Older years","Chatham","693","158","295"
"<1 years","Chatham","113","0","5"
"Unknown years","Chatham","15","0","1"
"01-04 years","Chattahoochee","9","0","0"
"05-09 years","Chattahoochee","9","0","0"
"10-17 years","Chattahoochee","128","0","2"
"18-29 years","Chattahoochee","2818","7","6"
"30-39 years","Chattahoochee","276","2","4"
"40-49 years","Chattahoochee","55","0","0"
"50-59 years","Chattahoochee","28","0","7"
"60-69 years","Chattahoochee","18","0","4"
"70-79 years","Chattahoochee","11","1","3"
"80 & Older years","Chattahoochee","9","3","5"
"<1 years","Chattahoochee","8","0","0"
"Unknown years","Chattahoochee","1","0","0"
"01-04 years","Chattooga","16","0","0"
"05-09 years","Chattooga","32","0","0"
"10-17 years","Chattooga","192","0","1"
"18-29 years","Chattooga","386","0","6"
"30-39 years","Chattooga","307","0","8"
"40-49 years","Chattooga","350","2","15"
"50-59 years","Chattooga","345","5","26"
"60-69 years","Chattooga","287","14","42"
"70-79 years","Chattooga","174","18","46"
"80 & Older years","Chattooga","118","24","34"
"<1 years","Chattooga","10","0","1"
"Unknown years","Chattooga","30","0","1"
