"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2452","18"
"Hispanic/Latino","American Indian/Alaska Native","130","0"
"Hispanic/Latino","Asian","256","1"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","177","1"
"Hispanic/Latino","Other","28653","292"
"Hispanic/Latino","Unknown","13370","10"
"Hispanic/Latino","White","37952","494"
"Non-Hispanic/Latino","African-American/Black","182029","4910"
"Non-Hispanic/Latino","American Indian/Alaska Native","345","10"
"Non-Hispanic/Latino","Asian","13737","279"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","551","8"
"Non-Hispanic/Latino","Other","9652","52"
"Non-Hispanic/Latino","Unknown","8590","54"
"Non-Hispanic/Latino","White","266553","8317"
"Unknown","African-American/Black","26047","31"
"Unknown","American Indian/Alaska Native","134","0"
"Unknown","Asian","3301","2"
"Unknown","Native Hawaiian/Pacific Islander","171","0"
"Unknown","Other","25263","23"
"Unknown","Unknown","145216","67"
"Unknown","White","40233","64"
