"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","11547","50"
"Hispanic/Latino","American Indian/Alaska Native","639","2"
"Hispanic/Latino","Asian","1379","6"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","745","5"
"Hispanic/Latino","Other","72538","516"
"Hispanic/Latino","Unknown","37375","10"
"Hispanic/Latino","White","102917","990"
"Non-Hispanic/Latino","African-American/Black","608946","10721"
"Non-Hispanic/Latino","American Indian/Alaska Native","1213","29"
"Non-Hispanic/Latino","Asian","57509","558"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1648","17"
"Non-Hispanic/Latino","Other","39623","92"
"Non-Hispanic/Latino","Unknown","16698","5"
"Non-Hispanic/Latino","White","827683","19488"
"Unknown","African-American/Black","35467","5"
"Unknown","American Indian/Alaska Native","437","0"
"Unknown","Asian","7438","2"
"Unknown","Native Hawaiian/Pacific Islander","399","0"
"Unknown","Other","34009","7"
"Unknown","Unknown","260187","88"
"Unknown","White","46152","20"
