"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Evans","631","16","68"
"Male","Evans","493","20","40"
"Unknown","Evans","2","0","0"
"Female","Fannin","1748","36","123"
"Male","Fannin","1525","57","150"
"Unknown","Fannin","5","0","0"
"Female","Fayette","5231","97","307"
"Male","Fayette","4753","124","340"
"Unknown","Fayette","43","0","0"
"Female","Floyd","8474","135","592"
"Male","Floyd","7193","179","619"
"Unknown","Floyd","101","0","2"
"Female","Forsyth","13902","112","580"
"Male","Forsyth","13142","166","712"
"Unknown","Forsyth","692","0","0"
"Female","Franklin","1842","26","118"
"Male","Franklin","1499","42","104"
"Unknown","Franklin","16","0","0"
"Female","Fulton","60730","804","3983"
"Male","Fulton","53006","884","3637"
"Unknown","Fulton","541","0","24"
"Female","Gilmer","1944","53","171"
"Male","Gilmer","1613","67","171"
"Unknown","Gilmer","22","0","0"
"Female","Glascock","89","3","11"
"Male","Glascock","89","4","17"
"Unknown","Glascock","9","0","0"
"Female","Glynn","6651","139","340"
"Male","Glynn","5805","166","333"
"Unknown","Glynn","2","0","0"
"Female","Gordon","4658","78","211"
"Male","Gordon","4097","99","221"
"Unknown","Gordon","100","0","1"
"Female","Grady","1375","29","125"
"Male","Grady","1048","38","115"
"Unknown","Grady","18","0","0"
"Female","Greene","1194","29","90"
"Male","Greene","1035","35","113"
"Unknown","Greene","4","0","0"
"Female","Gwinnett","60739","660","3333"
"Male","Gwinnett","53386","772","3133"
"Unknown","Gwinnett","784","0","3"
"Female","Habersham","3567","92","309"
"Male","Habersham","2968","102","334"
"Unknown","Habersham","31","1","1"
"Female","Hall","18440","290","1557"
"Male","Hall","16203","346","1648"
"Unknown","Hall","234","1","0"
"Female","Hancock","505","31","59"
"Male","Hancock","500","44","64"
"Unknown","Hancock","4","0","0"
"Female","Haralson","1257","26","56"
"Male","Haralson","1141","21","40"
"Unknown","Haralson","19","0","0"
"Female","Harris","1692","39","121"
"Male","Harris","1524","47","132"
"Unknown","Harris","38","0","0"
"Female","Hart","1315","25","86"
"Male","Hart","1024","25","81"
"Unknown","Hart","11","0","0"
"Female","Heard","548","17","29"
"Male","Heard","498","9","40"
"Unknown","Heard","4","0","0"
"Female","Henry","16323","220","727"
"Male","Henry","13305","266","618"
"Unknown","Henry","69","0","0"
"Female","Houston","8879","139","555"
"Male","Houston","7317","154","536"
"Unknown","Houston","73","0","2"
"Female","Irwin","441","14","51"
"Male","Irwin","464","8","43"
"Unknown","Irwin","2","0","0"
"Female","Jackson","6978","93","405"
"Male","Jackson","6097","120","436"
"Unknown","Jackson","69","0","2"
"Female","Jasper","558","14","59"
"Male","Jasper","490","18","48"
"Unknown","Jasper","4","0","0"
"Female","Jeff Davis","969","17","54"
"Male","Jeff Davis","844","27","68"
"Unknown","Jeff Davis","4","0","0"
"Female","Jefferson","1056","31","99"
"Male","Jefferson","799","37","88"
"Unknown","Jefferson","12","0","1"
"Female","Jenkins","522","18","43"
"Male","Jenkins","375","24","51"
"Unknown","Jenkins","2","1","1"
"Female","Johnson","498","22","57"
"Male","Johnson","523","30","58"
"Unknown","Johnson","5","0","1"
"Female","Jones","1473","36","134"
"Male","Jones","1159","54","137"
"Unknown","Jones","8","0","0"
"Female","Lamar","1283","34","93"
"Male","Lamar","1035","50","100"
"Unknown","Lamar","3","0","0"
"Female","Lanier","378","5","14"
"Male","Lanier","402","7","21"
"Unknown","Lanier","5","0","0"
"Female","Laurens","3332","88","208"
"Male","Laurens","2534","119","219"
"Unknown","Laurens","28","0","0"
"Female","Lee","1465","37","161"
"Male","Lee","1180","37","146"
"Unknown","Lee","11","0","0"
"Female","Liberty","3426","43","175"
"Male","Liberty","3238","55","158"
"Unknown","Liberty","13","0","0"
"Female","Lincoln","378","15","36"
"Male","Lincoln","309","12","35"
"Unknown","Lincoln","14","0","0"
"Female","Long","763","7","50"
"Male","Long","642","13","32"
"Unknown","Long","2","0","0"
"Female","Lowndes","6149","128","320"
"Male","Lowndes","4945","103","236"
"Unknown","Lowndes","36","0","0"
"Female","Lumpkin","2468","49","230"
"Male","Lumpkin","2092","45","203"
"Unknown","Lumpkin","19","0","0"
"Female","Macon","436","13","44"
"Male","Macon","412","26","60"
"Unknown","Macon","1","0","0"
"Female","Madison","2302","27","145"
"Male","Madison","1976","43","131"
"Unknown","Madison","8","0","0"
"Female","Marion","398","16","30"
"Male","Marion","275","17","36"
"Unknown","Marion","1","0","0"
"Female","McDuffie","1236","33","116"
"Male","McDuffie","972","29","96"
"Unknown","McDuffie","80","0","1"
"Female","McIntosh","740","14","40"
"Male","McIntosh","660","15","50"
"Female","Meriwether","1272","54","133"
"Male","Meriwether","956","46","97"
"Unknown","Meriwether","7","0","0"
"Female","Miller","559","6","29"
"Male","Miller","443","9","24"
"Unknown","Miller","1","0","0"
"Female","Mitchell","1198","38","150"
"Male","Mitchell","983","51","141"
"Unknown","Mitchell","9","0","0"
"Female","Monroe","1494","55","129"
"Male","Monroe","1316","64","131"
"Unknown","Monroe","19","0","1"
"Female","Montgomery","624","18","34"
"Male","Montgomery","524","22","29"
"Unknown","Montgomery","4","0","0"
"Female","Morgan","1040","14","64"
"Male","Morgan","874","25","76"
"Unknown","Morgan","9","0","0"
"Female","Murray","3416","52","169"
"Male","Murray","2990","84","201"
"Unknown","Murray","17","0","0"
"Female","Muscogee","11905","320","964"
"Male","Muscogee","9192","264","849"
"Unknown","Muscogee","195","0","1"
"Female","Newton","6430","160","679"
"Male","Newton","5032","164","585"
"Unknown","Newton","56","0","1"
"Female","Non-GA Resident/Unknown State","14072","321","968"
"Male","Non-GA Resident/Unknown State","15536","435","1214"
"Unknown","Non-GA Resident/Unknown State","2367","2","60"
"Female","Oconee","2381","32","98"
"Male","Oconee","2166","42","96"
"Unknown","Oconee","14","0","0"
"Female","Oglethorpe","963","14","66"
"Male","Oglethorpe","773","28","64"
"Unknown","Oglethorpe","2","0","0"
"Female","Paulding","9253","118","325"
"Male","Paulding","7626","135","280"
"Unknown","Paulding","93","0","6"
"Female","Peach","1515","45","159"
"Male","Peach","1191","51","137"
"Unknown","Peach","8","0","1"
"Female","Pickens","2005","41","173"
"Male","Pickens","1666","52","175"
"Unknown","Pickens","9","0","0"
"Female","Pierce","1178","36","118"
"Male","Pierce","944","52","128"
"Unknown","Pierce","7","0","0"
"Female","Pike","1008","19","72"
"Male","Pike","896","31","59"
"Unknown","Pike","3","0","1"
"Female","Polk","3409","70","279"
"Male","Polk","3053","72","263"
"Unknown","Polk","28","1","2"
"Female","Pulaski","576","26","37"
"Male","Pulaski","325","14","27"
"Unknown","Pulaski","2","0","0"
"Female","Putnam","1428","32","118"
"Male","Putnam","1209","50","125"
"Unknown","Putnam","8","0","0"
"Female","Quitman","79","1","7"
"Male","Quitman","44","2","9"
"Female","Rabun","1153","27","111"
"Male","Rabun","1040","37","101"
"Unknown","Rabun","9","0","1"
"Female","Randolph","363","25","65"
"Male","Randolph","250","14","38"
"Female","Richmond","14700","261","917"
"Male","Richmond","12125","331","900"
"Unknown","Richmond","150","0","10"
"Female","Rockdale","5197","116","812"
"Male","Rockdale","4004","110","652"
"Unknown","Rockdale","48","0","1"
"Female","Schley","188","2","13"
"Male","Schley","157","6","15"
"Female","Screven","769","16","54"
"Male","Screven","592","19","46"
"Unknown","Screven","5","0","1"
