"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","9536","50"
"Hispanic/Latino","American Indian/Alaska Native","573","2"
"Hispanic/Latino","Asian","1134","5"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","676","4"
"Hispanic/Latino","Other","62410","505"
"Hispanic/Latino","Unknown","36050","10"
"Hispanic/Latino","White","91753","971"
"Non-Hispanic/Latino","African-American/Black","535453","10404"
"Non-Hispanic/Latino","American Indian/Alaska Native","1081","29"
"Non-Hispanic/Latino","Asian","46698","534"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1476","17"
"Non-Hispanic/Latino","Other","35213","93"
"Non-Hispanic/Latino","Unknown","15507","6"
"Non-Hispanic/Latino","White","741052","18786"
"Unknown","African-American/Black","38611","7"
"Unknown","American Indian/Alaska Native","460","0"
"Unknown","Asian","7114","2"
"Unknown","Native Hawaiian/Pacific Islander","402","0"
"Unknown","Other","33272","8"
"Unknown","Unknown","242457","92"
"Unknown","White","49278","22"
