Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,622,11
Hispanic/Latino,American Indian/Alaska Native,51,1
Hispanic/Latino,Asian,57,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,71,0
Hispanic/Latino,Other,10771,120
Hispanic/Latino,Unknown,4491,4
Hispanic/Latino,White,14498,168
Non-Hispanic/Latino,African-American/Black,51838,2073
Non-Hispanic/Latino,American Indian/Alaska Native,100,4
Non-Hispanic/Latino,Asian,2345,81
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,135,6
Non-Hispanic/Latino,Other,2367,14
Non-Hispanic/Latino,Unknown,1800,16
Non-Hispanic/Latino,White,49818,2228
Unknown,African-American/Black,9948,30
Unknown,American Indian/Alaska Native,42,0
Unknown,Asian,805,1
Unknown,Native Hawaiian/Pacific Islander,105,1
Unknown,Other,4208,11
Unknown,Unknown,79647,50
Unknown,White,10263,30
