"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Appling","1838","US-13001","13","1","18561","163","60","9902.48","323.26","296.32","55","373","5"
"Atkinson","762","US-13003","13","3","8330","115","18","9147.66","216.09","132.05","11","217","1"
"Bacon","1017","US-13005","13","5","11404","74","27","8917.92","236.76","87.69","10","335","8"
"Baker","158","US-13007","13","7","3116","32","8","5070.6","256.74","160.46","5","63","0"
"Baldwin","3720","US-13009","13","9","44428","301","106","8373.1","238.59","141.8","63","563","10"
"Banks","1557","US-13011","13","11","19982","178","33","7792.01","165.15","225.2","45","146","1"
"Barrow","8074","US-13013","13","13","86383","561","117","9346.75","135.44","322.98","279","978","1"
"Bartow","10276","US-13015","13","15","110771","731","184","9276.8","166.11","462.21","512","2821","14"
"Ben Hill","1465","US-13017","13","17","16645","148","55","8801.44","330.43","96.12","16","563","18"
"Berrien","1014","US-13019","13","19","19276","68","29","5260.43","150.45","103.76","20","720","12"
"Bibb","12864","US-13021","13","21","152150","1658","359","8454.81","235.95","316.79","482","2120","33"
"Bleckley","783","US-13023","13","23","12838","45","33","6099.08","257.05","140.21","18","628","16"
"Brantley","871","US-13025","13","25","19202","67","27","4535.99","140.61","98.95","19","648","3"
"Brooks","902","US-13027","13","27","15727","85","37","5735.36","235.26","101.74","16","409","8"
"Bryan","2512","US-13029","13","29","39137","170","30","6418.48","76.65","406.27","159","723","3"
"Bulloch","5071","US-13031","13","31","79467","204","50","6381.27","62.92","182.47","145","1382","42"
"Burke","1675","US-13033","13","33","22342","143","31","7497.09","138.75","201.41","45","720","21"
"Butts","1997","US-13035","13","35","25174","110","68","7932.79","270.12","258.2","65","705","5"
"Calhoun","448","US-13037","13","37","6317","73","15","7091.97","237.45","284.95","18","129","0"
"Camden","3075","US-13039","13","39","53924","120","28","5702.47","51.92","185.45","100","650","5"
"Candler","726","US-13043","13","43","10837","60","33","6699.27","304.51","110.73","12","187","26"
"Carroll","7014","US-13045","13","45","120119","291","124","5839.21","103.23","154.85","186","3574","91"
"Catoosa","5155","US-13047","13","47","68771","230","59","7495.89","85.79","353.35","243","455","5"
"Charlton","1018","US-13049","13","49","13251","56","19","7682.44","143.39","135.84","18","289","8"
"Chatham","18696","US-13051","13","51","292176","1500","352","6398.88","120.48","279.28","816","2291","24"
"Chattahoochee","2683","US-13053","13","53","10749","23","9","24960.46","83.73","669.83","72","413","2"
"Chattooga","2102","US-13055","13","55","24766","160","59","8487.44","238.23","246.31","61","486","7"
