"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","28199","3","430"
"05-09 years","Georgia","51433","5","363"
"10-17 years","Georgia","140434","15","1359"
"18-29 years","Georgia","328506","230","6949"
"30-39 years","Georgia","251615","605","8746"
"40-49 years","Georgia","228392","1353","11856"
"50-59 years","Georgia","203793","3148","17082"
"60-69 years","Georgia","133568","5612","19046"
"70-79 years","Georgia","74432","7163","17141"
"80 & Older years","Georgia","39965","8337","12577"
"<1 years","Georgia","9466","1","520"
"Unknown years","Georgia","3451","0","172"
"01-04 years","Appling","57","0","0"
"05-09 years","Appling","95","0","0"
"10-17 years","Appling","344","0","3"
"18-29 years","Appling","515","1","8"
"30-39 years","Appling","384","3","10"
"40-49 years","Appling","386","9","28"
"50-59 years","Appling","407","11","44"
"60-69 years","Appling","336","22","67"
"70-79 years","Appling","225","25","46"
"80 & Older years","Appling","117","28","41"
"<1 years","Appling","11","0","0"
"01-04 years","Atkinson","23","0","1"
"05-09 years","Atkinson","46","0","1"
"10-17 years","Atkinson","119","0","1"
"18-29 years","Atkinson","256","0","15"
"30-39 years","Atkinson","191","0","15"
"40-49 years","Atkinson","189","4","34"
"50-59 years","Atkinson","186","5","37"
"60-69 years","Atkinson","123","7","40"
"70-79 years","Atkinson","63","8","25"
"80 & Older years","Atkinson","22","8","14"
"<1 years","Atkinson","7","0","0"
"01-04 years","Bacon","40","0","0"
"05-09 years","Bacon","56","0","0"
"10-17 years","Bacon","172","0","1"
"18-29 years","Bacon","532","0","9"
"30-39 years","Bacon","295","1","11"
"40-49 years","Bacon","299","5","22"
"50-59 years","Bacon","228","3","22"
"60-69 years","Bacon","211","17","47"
"70-79 years","Bacon","128","13","36"
"80 & Older years","Bacon","57","13","20"
"<1 years","Bacon","14","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","10","0","0"
"05-09 years","Baker","13","0","0"
"10-17 years","Baker","16","0","0"
"18-29 years","Baker","45","0","0"
"30-39 years","Baker","28","0","4"
"40-49 years","Baker","28","3","3"
"50-59 years","Baker","35","0","4"
"60-69 years","Baker","39","3","16"
"70-79 years","Baker","20","3","11"
"80 & Older years","Baker","15","4","6"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","79","0","1"
"05-09 years","Baldwin","159","0","0"
"10-17 years","Baldwin","443","1","5"
"18-29 years","Baldwin","1739","0","21"
"30-39 years","Baldwin","784","2","20"
"40-49 years","Baldwin","763","5","43"
"50-59 years","Baldwin","734","22","77"
"60-69 years","Baldwin","554","40","90"
"70-79 years","Baldwin","330","44","69"
"80 & Older years","Baldwin","203","62","74"
"<1 years","Baldwin","29","0","1"
"Unknown years","Baldwin","1","0","0"
"01-04 years","Banks","31","0","1"
"05-09 years","Banks","62","0","1"
"10-17 years","Banks","204","0","5"
"18-29 years","Banks","518","0","19"
"30-39 years","Banks","386","0","18"
"40-49 years","Banks","393","5","29"
"50-59 years","Banks","396","6","40"
"60-69 years","Banks","322","15","68"
"70-79 years","Banks","229","24","77"
"80 & Older years","Banks","104","15","36"
"<1 years","Banks","17","0","2"
"Unknown years","Banks","19","0","1"
"01-04 years","Barrow","242","0","1"
"05-09 years","Barrow","480","0","2"
"10-17 years","Barrow","1496","1","13"
"18-29 years","Barrow","3033","1","61"
"30-39 years","Barrow","2675","3","84"
"40-49 years","Barrow","2570","13","120"
"50-59 years","Barrow","2139","19","173"
"60-69 years","Barrow","1387","48","194"
"70-79 years","Barrow","764","53","138"
"80 & Older years","Barrow","338","61","116"
"<1 years","Barrow","94","0","8"
"Unknown years","Barrow","13","0","2"
"01-04 years","Bartow","308","0","11"
"05-09 years","Bartow","477","0","4"
