"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","8995","42"
"Hispanic/Latino","American Indian/Alaska Native","599","3"
"Hispanic/Latino","Asian","1037","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","634","4"
"Hispanic/Latino","Other","59715","492"
"Hispanic/Latino","Unknown","37368","11"
"Hispanic/Latino","White","86194","877"
"Non-Hispanic/Latino","African-American/Black","498054","9532"
"Non-Hispanic/Latino","American Indian/Alaska Native","1107","29"
"Non-Hispanic/Latino","Asian","42390","488"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1338","15"
"Non-Hispanic/Latino","Other","34097","207"
"Non-Hispanic/Latino","Unknown","18930","13"
"Non-Hispanic/Latino","White","689155","17098"
"Unknown","African-American/Black","43998","24"
"Unknown","American Indian/Alaska Native","742","0"
"Unknown","Asian","7357","3"
"Unknown","Native Hawaiian/Pacific Islander","425","0"
"Unknown","Other","33886","16"
"Unknown","Unknown","279118","119"
"Unknown","White","54745","42"
