"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","1028694","13465","54580"
"Male","Georgia","855938","15545","51392"
"Unknown","Georgia","15252","8","341"
"Female","Appling","1910","50","135"
"Male","Appling","1589","54","127"
"Unknown","Appling","14","0","0"
"Female","Atkinson","833","14","100"
"Male","Atkinson","677","20","101"
"Unknown","Atkinson","5","0","0"
"Female","Bacon","1202","23","98"
"Male","Bacon","1313","34","100"
"Unknown","Bacon","8","0","0"
"Female","Baker","170","5","22"
"Male","Baker","141","8","23"
"Unknown","Baker","2","0","0"
"Female","Baldwin","4067","64","183"
"Male","Baldwin","3171","121","243"
"Unknown","Baldwin","27","0","0"
"Female","Banks","1793","35","169"
"Male","Banks","1497","38","146"
"Unknown","Banks","16","0","1"
"Female","Barrow","10490","106","518"
"Male","Barrow","8790","121","449"
"Unknown","Barrow","71","0","1"
"Female","Bartow","11405","170","591"
"Male","Bartow","9771","203","603"
"Unknown","Bartow","113","0","0"
"Female","Ben Hill","1236","31","99"
"Male","Ben Hill","915","41","86"
"Unknown","Ben Hill","5","0","0"
"Female","Berrien","1099","28","58"
"Male","Berrien","890","24","48"
"Unknown","Berrien","6","0","0"
"Female","Bibb","16237","328","1444"
"Male","Bibb","12006","316","1220"
"Unknown","Bibb","355","1","8"
"Female","Bleckley","838","23","38"
"Male","Bleckley","602","18","31"
"Unknown","Bleckley","11","0","0"
"Female","Brantley","1345","37","94"
"Male","Brantley","1114","45","85"
"Unknown","Brantley","7","0","0"
"Female","Brooks","1042","23","82"
"Male","Brooks","815","37","69"
"Unknown","Brooks","7","0","0"
"Female","Bryan","3508","26","174"
"Male","Bryan","3208","41","203"
"Unknown","Bryan","7","0","0"
"Female","Bulloch","5899","59","195"
"Male","Bulloch","4585","45","163"
"Unknown","Bulloch","34","0","0"
"Female","Burke","1623","26","115"
"Male","Burke","1310","30","112"
"Unknown","Burke","12","0","1"
"Female","Butts","2303","58","112"
"Male","Butts","2337","72","137"
"Unknown","Butts","37","0","0"
"Female","Calhoun","398","14","45"
"Male","Calhoun","560","7","54"
"Unknown","Calhoun","15","0","1"
"Female","Camden","4565","44","126"
"Male","Camden","3832","46","111"
"Unknown","Camden","52","0","0"
"Female","Candler","712","17","54"
"Male","Candler","597","34","38"
"Unknown","Candler","1","0","0"
"Female","Carroll","7638","80","204"
"Male","Carroll","6586","92","222"
"Unknown","Carroll","67","0","7"
"Female","Catoosa","6474","62","193"
"Male","Catoosa","5645","55","188"
"Unknown","Catoosa","114","0","3"
"Female","Charlton","866","19","62"
"Male","Charlton","1281","26","54"
"Unknown","Charlton","20","0","0"
"Female","Chatham","28632","337","1608"
"Male","Chatham","23556","399","1493"
"Unknown","Chatham","147","0","5"
"Female","Chattahoochee","582","3","20"
"Male","Chattahoochee","5297","13","29"
"Unknown","Chattahoochee","22","0","0"
"Female","Chattooga","2841","52","145"
"Male","Chattooga","2352","56","161"
"Unknown","Chattooga","18","0","0"
"Female","Cherokee","23969","223","1062"
"Male","Cherokee","20666","303","1219"
"Unknown","Cherokee","180","0","1"
"Female","Clarke","14647","87","579"
"Male","Clarke","11227","112","521"
"Unknown","Clarke","58","0","1"
"Female","Clay","203","1","8"
"Male","Clay","148","3","6"
"Unknown","Clay","3","0","0"
"Female","Clayton","32676","409","1638"
"Male","Clayton","23992","405","1366"
"Unknown","Clayton","300","0","6"
"Female","Clinch","729","15","49"
"Male","Clinch","648","20","45"
"Unknown","Clinch","3","0","0"
"Female","Cobb","72297","683","2303"
"Male","Cobb","59749","832","2347"
"Unknown","Cobb","664","0","5"
"Female","Coffee","4599","106","563"
"Male","Coffee","3716","94","448"
"Unknown","Coffee","32","0","0"
"Female","Colquitt","4165","70","194"
"Male","Colquitt","3655","82","193"
"Unknown","Colquitt","21","0","0"
"Female","Columbia","10657","116","404"
"Male","Columbia","9316","169","401"
"Unknown","Columbia","50","0","1"
"Female","Cook","1156","25","75"
"Male","Cook","888","29","64"
"Unknown","Cook","2","0","0"
"Female","Coweta","11047","174","672"
"Male","Coweta","9507","226","618"
"Unknown","Coweta","92","0","5"
"Female","Crawford","632","19","56"
"Male","Crawford","538","23","60"
"Unknown","Crawford","8","0","0"
"Female","Crisp","1416","34","118"
"Male","Crisp","1057","35","79"
"Unknown","Crisp","64","0","0"
"Female","Dade","1280","14","48"
"Male","Dade","1173","11","49"
"Unknown","Dade","21","0","0"
"Female","Dawson","3264","37","175"
"Male","Dawson","2769","54","204"
"Unknown","Dawson","35","0","0"
"Female","DeKalb","69571","667","4166"
"Male","DeKalb","54759","724","3584"
"Unknown","DeKalb","1017","1","19"
"Female","Decatur","2740","39","137"
"Male","Decatur","2076","47","112"
"Unknown","Decatur","42","0","0"
"Female","Dodge","1060","31","68"
"Male","Dodge","1001","35","62"
"Unknown","Dodge","39","0","0"
"Female","Dooly","783","17","56"
"Male","Dooly","719","22","53"
"Unknown","Dooly","16","0","0"
"Female","Dougherty","7904","222","879"
"Male","Dougherty","5853","200","660"
