"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","677791","11768","44763"
"Male","Georgia","583555","13473","42649"
"Unknown","Georgia","9925","14","187"
"Female","Appling","1528","44","123"
"Male","Appling","1247","51","117"
"Unknown","Appling","18","0","0"
"Female","Atkinson","641","12","87"
"Male","Atkinson","535","20","90"
"Unknown","Atkinson","7","0","0"
"Female","Bacon","861","20","70"
"Male","Bacon","1077","30","82"
"Unknown","Bacon","4","0","1"
"Female","Baker","131","5","21"
"Male","Baker","110","8","23"
"Female","Baldwin","2928","55","168"
"Male","Baldwin","2330","112","224"
"Unknown","Baldwin","20","0","0"
"Female","Banks","1306","31","155"
"Male","Banks","1103","27","124"
"Unknown","Banks","13","1","1"
"Female","Barrow","7005","90","461"
"Male","Barrow","6058","102","407"
"Unknown","Barrow","53","0","1"
"Female","Bartow","8138","142","489"
"Male","Bartow","7259","172","535"
"Unknown","Bartow","114","0","2"
"Female","Ben Hill","1070","30","97"
"Male","Ben Hill","791","40","83"
"Unknown","Ben Hill","3","0","0"
"Female","Berrien","839","27","52"
"Male","Berrien","696","23","40"
"Unknown","Berrien","4","0","0"
"Female","Bibb","11497","300","1281"
"Male","Bibb","8664","278","1066"
"Unknown","Bibb","156","0","4"
"Female","Bleckley","620","23","35"
"Male","Bleckley","469","17","27"
"Unknown","Bleckley","6","0","1"
"Female","Brantley","1014","35","86"
"Male","Brantley","873","40","73"
"Unknown","Brantley","8","0","0"
"Female","Brooks","785","21","71"
"Male","Brooks","601","33","61"
"Unknown","Brooks","5","0","0"
"Female","Bryan","2422","24","146"
"Male","Bryan","2214","40","177"
"Unknown","Bryan","2","0","0"
"Female","Bulloch","4452","57","169"
"Male","Bulloch","3456","41","134"
"Unknown","Bulloch","18","0","0"
"Female","Burke","1276","25","104"
"Male","Burke","1012","23","88"
"Unknown","Burke","13","0","1"
"Female","Butts","1633","54","86"
"Male","Butts","1718","59","105"
"Unknown","Butts","34","0","1"
"Female","Calhoun","320","14","42"
"Male","Calhoun","298","7","48"
"Unknown","Calhoun","2","0","0"
"Female","Camden","3189","40","120"
"Male","Camden","2863","39","103"
"Unknown","Camden","4","0","0"
"Female","Candler","603","17","49"
"Male","Candler","506","32","35"
"Female","Carroll","5278","71","183"
"Male","Carroll","4715","85","205"
"Unknown","Carroll","46","0","1"
"Female","Catoosa","4471","49","152"
"Male","Catoosa","3904","44","146"
"Unknown","Catoosa","82","0","3"
"Female","Charlton","669","16","55"
"Male","Charlton","1066","26","50"
"Unknown","Charlton","4","0","0"
"Female","Chatham","18122","298","1367"
"Male","Chatham","15094","355","1294"
"Unknown","Chatham","12","0","0"
"Female","Chattahoochee","360","2","15"
"Male","Chattahoochee","4844","13","25"
"Unknown","Chattahoochee","17","0","0"
"Female","Chattooga","1989","43","115"
"Male","Chattooga","1690","46","137"
"Unknown","Chattooga","13","0","0"
"Female","Cherokee","16690","185","924"
"Male","Cherokee","14908","252","1049"
"Unknown","Cherokee","99","0","2"
"Female","Clarke","9743","71","405"
"Male","Clarke","7689","104","377"
"Unknown","Clarke","60","0","2"
"Female","Clay","136","1","6"
"Male","Clay","94","3","6"
"Unknown","Clay","2","0","0"
"Female","Clayton","19881","349","1173"
"Male","Clayton","15210","353","992"
"Unknown","Clayton","177","1","1"
"Female","Clinch","508","15","43"
"Male","Clinch","496","19","41"
"Unknown","Clinch","3","0","0"
"Female","Cobb","45463","588","2060"
