"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","2817","US-13001","13","1","18561","246","98","15176.98","527.99","37.71","7","737","10","17"
"Atkinson","1200","US-13003","13","3","8330","183","32","14405.76","384.15","72.03","6","401","5","18"
"Bacon","1990","US-13005","13","5","11404","167","52","17450.02","455.98","166.61","19","698","12","13"
"Baker","247","US-13007","13","7","3116","44","13","7926.83","417.2","128.37","4","132","1","3"
"Baldwin","5351","US-13009","13","9","44428","399","172","12044.21","387.14","83.28","37","1514","27","17"
"Banks","2531","US-13011","13","11","19982","294","64","12666.4","320.29","210.19","42","355","5","4"
"Barrow","13770","US-13013","13","13","86383","894","197","15940.64","228.05","390.12","337","1811","7","5"
"Bartow","16187","US-13015","13","15","110771","1072","323","14613.03","291.59","353.88","392","5523","47","80"
"Ben Hill","1879","US-13017","13","17","16645","181","72","11288.68","432.56","24.03","4","1378","39","61"
"Berrien","1563","US-13019","13","19","19276","97","51","8108.53","264.58","25.94","5","1977","21","34"
"Bibb","20762","US-13021","13","21","152150","2429","597","13645.74","392.38","179.43","273","5794","71","68"
"Bleckley","1111","US-13023","13","23","12838","64","40","8654","311.58","31.16","4","1239","44","64"
"Brantley","1913","US-13025","13","25","19202","165","76","9962.5","395.79","46.87","9","1248","13","31"
"Brooks","1412","US-13027","13","27","15727","136","55","8978.19","349.72","25.43","4","1044","19","24"
"Bryan","4731","US-13029","13","29","39137","336","65","12088.31","166.08","109.87","43","1710","12","16"
"Bulloch","8067","US-13031","13","31","79467","327","100","10151.38","125.84","74.24","59","3322","123","195"
"Burke","2341","US-13033","13","33","22342","200","48","10478.02","214.84","93.99","21","1480","38","29"
"Butts","3511","US-13035","13","35","25174","212","114","13946.93","452.85","258.2","65","1399","10","15"
"Calhoun","619","US-13037","13","37","6317","91","21","9798.96","332.44","79.15","5","231","1","3"
"Camden","6165","US-13039","13","39","53924","225","82","11432.76","152.07","87.16","47","2000","17","35"
"Candler","1122","US-13043","13","43","10837","89","50","10353.42","461.38","92.28","10","455","40","37"
"Carroll","10567","US-13045","13","45","120119","395","162","8797.11","134.87","256.41","308","6749","203","291"
"Catoosa","8860","US-13047","13","47","68771","333","98","12883.34","142.5","279.19","192","1310","25","32"
"Charlton","1756","US-13049","13","49","13251","112","44","13251.83","332.05","45.28","6","532","14","18"
