"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","5811","35"
"Hispanic/Latino","American Indian/Alaska Native","285","2"
"Hispanic/Latino","Asian","582","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","387","4"
"Hispanic/Latino","Other","47715","446"
"Hispanic/Latino","Unknown","24142","10"
"Hispanic/Latino","White","64928","822"
"Non-Hispanic/Latino","African-American/Black","366372","8789"
"Non-Hispanic/Latino","American Indian/Alaska Native","665","22"
"Non-Hispanic/Latino","Asian","26591","442"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1014","16"
"Non-Hispanic/Latino","Other","22057","95"
"Non-Hispanic/Latino","Unknown","9799","13"
"Non-Hispanic/Latino","White","525451","15433"
"Unknown","African-American/Black","28409","14"
"Unknown","American Indian/Alaska Native","218","0"
"Unknown","Asian","5024","2"
"Unknown","Native Hawaiian/Pacific Islander","214","0"
"Unknown","Other","27984","8"
"Unknown","Unknown","139858","63"
"Unknown","White","41996","20"
