"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","3550","US-13001","13","1","18561","269","109","19126.12","587.25","43.1","8","1244","13","21"
"Atkinson","1547","US-13003","13","3","8330","211","39","18571.43","468.19","204.08","17","574","8","23"
"Bacon","2408","US-13005","13","5","11404","193","58","21115.4","508.59","52.61","6","986","11","11"
"Baker","313","US-13007","13","7","3116","46","13","10044.93","417.2","0","0","221","1","3"
"Baldwin","7297","US-13009","13","9","44428","436","195","16424.33","438.91","13.5","6","2192","35","20"
"Banks","3355","US-13011","13","11","19982","331","78","16790.11","390.35","20.02","4","522","8","6"
"Barrow","19440","US-13013","13","13","86383","983","240","22504.43","277.83","24.31","21","2378","9","7"
"Bartow","21563","US-13015","13","15","110771","1220","383","19466.29","345.76","59.58","66","7343","54","107"
"Ben Hill","2164","US-13017","13","17","16645","189","73","13000.9","438.57","0","0","2127","46","69"
"Berrien","2016","US-13019","13","19","19276","110","58","10458.6","300.89","20.75","4","2899","23","40"
"Bibb","28801","US-13021","13","21","152150","2766","683","18929.35","448.9","28.26","43","8113","83","82"
"Bleckley","1460","US-13023","13","23","12838","75","42","11372.49","327.15","7.79","1","1848","52","74"
"Brantley","2459","US-13025","13","25","19202","182","89","12805.96","463.49","36.45","7","1652","17","40"
"Brooks","1890","US-13027","13","27","15727","156","64","12017.55","406.94","25.43","4","1520","20","26"
"Bryan","6873","US-13029","13","29","39137","401","74","17561.39","189.08","232.52","91","2186","15","18"
"Bulloch","10585","US-13031","13","31","79467","373","108","13319.99","135.91","21.39","17","4824","147","225"
"Burke","2963","US-13033","13","33","22342","239","61","13262.02","273.03","17.9","4","2301","43","33"
"Butts","4709","US-13035","13","35","25174","264","138","18705.81","548.18","15.89","4","1738","13","14"
"Calhoun","983","US-13037","13","37","6317","102","21","15561.18","332.44","47.49","3","353","1","3"
"Camden","8629","US-13039","13","39","53924","252","99","16002.15","183.59","144.65","78","2596","18","36"
"Candler","1348","US-13043","13","43","10837","100","54","12438.87","498.29","83.05","9","740","40","41"
"Carroll","14398","US-13045","13","45","120119","446","180","11986.45","149.85","13.32","16","9233","255","322"
"Catoosa","12451","US-13047","13","47","68771","393","126","18105.02","183.22","97.42","67","1887","35","40"
"Charlton","2233","US-13049","13","49","13251","120","48","16851.56","362.24","226.4","30","784","14","20"
"Chatham","53516","US-13051","13","51","292176","3246","792","18316.36","271.07","250.19","731","9576","64","62"
"Chattahoochee","6164","US-13053","13","53","10749","54","17","57344.87","158.15","1935.06","208","873","5","3"
"Chattooga","5249","US-13055","13","55","24766","313","112","21194.38","452.23","24.23","6","1321","17","20"
"Cherokee","45082","US-13057","13","57","266617","2345","564","16908.9","211.54","33.76","90","17696","37","55"
"Clarke","26102","US-13059","13","59","129779","1142","213","20112.65","164.13","21.58","28","3441","9","6"
"Clay","353","US-13061","13","61","2855","14","6","12364.27","210.16","0","0","163","0","4"
"Clayton","57502","US-13063","13","63","304838","3116","880","18863.13","288.68","33.13","101","5838","60","19"
"Clinch","1390","US-13065","13","65","6656","98","39","20883.41","585.94","30.05","2","726","2","10"
"Cobb","134614","US-13067","13","67","790588","4751","1597","17027.07","202","73.11","578","35796","137","255"
"Coffee","8586","US-13069","13","69","43042","1093","226","19947.96","525.07","51.11","22","2464","53","112"
"Colquitt","7945","US-13071","13","71","45393","398","166","17502.7","365.7","44.06","20","3086","70","38"
"Columbia","20545","US-13073","13","73","158631","854","306","12951.44","192.9","123.56","196","15197","66","93"
"Cook","2060","US-13075","13","75","17437","143","56","11813.96","321.16","17.2","3","2813","16","28"
"Coweta","20821","US-13077","13","77","152001","1373","418","13697.94","275","13.82","21","11990","52","57"
"Crawford","1186","US-13079","13","79","12228","122","44","9699.05","359.83","24.53","3","576","9","6"
"Crisp","2545","US-13081","13","81","22289","202","71","11418.19","318.54","4.49","1","2096","64","102"
"Dade","2555","US-13083","13","83","16162","99","25","15808.69","154.68","179.43","29","641","3","9"
"Dawson","6131","US-13085","13","85","27021","392","95","22689.76","351.58","48.11","13","708","4","4"
"DeKalb","127563","US-13089","13","89","793154","8090","1511","16083.01","190.51","82.58","655","17906","154","72"
"Decatur","5294","US-13087","13","87","26322","262","92","20112.45","349.52","22.79","6","1854","35","71"
"Dodge","2110","US-13091","13","91","20385","134","69","10350.75","338.48","9.81","2","3073","78","84"
"Dooly","1530","US-13093","13","93","13400","109","39","11417.91","291.04","0","0","831","29","32"
"Dougherty","14105","US-13095","13","95","89905","1561","441","15688.78","490.52","22.25","20","5305","42","23"
"Douglas","28108","US-13097","13","97","151906","1271","319","18503.55","210","21.07","32","6562","69","122"
"Early","2092","US-13099","13","99","10146","116","54","20618.96","532.23","19.71","2","620","6","17"
"Echols","466","US-13101","13","101","3969","17","5","11740.99","125.98","0","0","465","6","9"
"Effingham","10276","US-13103","13","103","64026","596","166","16049.73","259.27","104.64","67","2786","24","22"
"Elbert","2641","US-13105","13","105","18945","253","81","13940.35","427.55","10.56","2","1892","27","28"
"Emanuel","3415","US-13107","13","107","22664","202","80","15067.95","352.98","8.82","2","2455","77","188"
"Evans","1500","US-13109","13","109","10687","124","42","14035.74","393","65.5","7","847","23","37"
"Fannin","4143","US-13111","13","111","26320","335","128","15740.88","486.32","19","5","943","22","19"
"Fayette","16740","US-13113","13","113","117544","945","272","14241.48","231.4","36.58","43","5391","37","22"
"Floyd","22938","US-13115","13","115","99916","1532","413","22957.28","413.35","38.03","38","4108","97","118"
"Forsyth","44009","US-13117","13","117","252507","1504","361","17428.82","142.97","81.58","206","10546","16","15"
"Franklin","4371","US-13119","13","119","23329","255","76","18736.34","325.77","17.15","4","962","19","12"
"Fulton","183476","US-13121","13","121","1099181","9843","2026","16692.06","184.32","67.23","739","30148","189","148"
"Gilmer","4644","US-13123","13","123","31417","449","142","14781.81","451.98","25.46","8","2228","26","23"
"Glascock","268","US-13125","13","125","3025","28","8","8859.5","264.46","0","0","337","17","8"
"Glynn","18132","US-13127","13","127","86047","755","354","21072.2","411.4","72.05","62","4975","44","44"
"Gordon","11877","US-13129","13","129","58049","491","227","20460.3","391.05","62.02","36","4196","32","44"
"Grady","3690","US-13131","13","131","24540","271","82","15036.67","334.15","36.67","9","2036","27","30"
"Greene","3154","US-13133","13","133","18717","268","73","16850.99","390.02","42.74","8","749","10","5"
"Gwinnett","173709","US-13135","13","135","971145","7454","1718","17887.03","176.9","37.79","367","32383","110","86"
"Habersham","8390","US-13137","13","137","45800","706","238","18318.78","519.65","24.02","11","1586","21","20"
"Hall","46595","US-13139","13","139","206349","3498","771","22580.68","373.64","26.65","55","6528","45","36"
"Hancock","1367","US-13141","13","141","8193","131","81","16684.97","988.65","12.21","1","203","7","4"
"Haralson","3450","US-13143","13","143","30722","109","63","11229.74","205.06","13.02","4","1942","101","63"
"Harris","5132","US-13145","13","145","34712","328","99","14784.51","285.2","23.05","8","909","11","21"
"Hart","3200","US-13147","13","147","26107","199","59","12257.25","225.99","7.66","2","1630","31","23"
"Heard","1472","US-13149","13","149","12370","96","31","11899.76","250.61","16.17","2","691","18","24"
"Henry","45441","US-13151","13","151","239866","1997","612","18944.33","255.14","27.93","67","12080","49","43"
"Houston","23065","US-13153","13","153","157039","1190","324","14687.43","206.32","17.83","28","16144","161","363"
"Irwin","1043","US-13155","13","155","9433","102","23","11056.93","243.82","95.41","9","840","23","23"
"Jackson","18505","US-13157","13","157","74700","1005","270","24772.42","361.45","44.18","33","2665","14","10"
"Jasper","1671","US-13159","13","159","14199","158","37","11768.43","260.58","21.13","3","1448","32","15"
"Jeff Davis","2336","US-13161","13","161","15148","138","47","15421.18","310.27","26.41","4","1618","23","94"
"Jefferson","2237","US-13163","13","163","15313","211","78","14608.5","509.37","0","0","1397","30","33"
"Jenkins","1071","US-13165","13","165","8576","103","45","12488.34","524.72","0","0","415","21","40"
"Johnson","1461","US-13167","13","167","9661","127","57","15122.66","590","10.35","1","780","15","22"
"Jones","3726","US-13169","13","169","28591","319","98","13032.07","342.77","13.99","4","1290","10","13"
"Lamar","3280","US-13171","13","171","19347","231","97","16953.53","501.37","10.34","2","1551","15","20"
"Lanier","1093","US-13173","13","173","10351","43","17","10559.37","164.24","9.66","1","1166","7","14"
"Laurens","8585","US-13175","13","175","47296","472","237","18151.64","501.1","14.8","7","5109","54","55"
"Lee","3842","US-13177","13","177","29971","355","92","12819.06","306.96","10.01","3","3365","10","6"
"Liberty","10904","US-13179","13","179","61904","383","104","17614.37","168","64.62","40","1316","39","26"
"Lincoln","861","US-13181","13","181","8125","84","29","10596.92","356.92","49.23","4","735","6","8"
"Long","2227","US-13183","13","183","19915","93","26","11182.53","130.55","40.17","8","533","8","7"
"Lowndes","15209","US-13185","13","185","117878","653","272","12902.32","230.75","31.39","37","15659","109","208"
"Lumpkin","6548","US-13187","13","187","33802","476","111","19371.63","328.38","50.29","17","570","20","3"
"Macon","1196","US-13193","13","193","12988","116","41","9208.5","315.68","15.4","2","931","8","12"
"Madison","5959","US-13195","13","195","30177","404","91","19746.83","301.55","9.94","3","964","11","6"
"Marion","959","US-13197","13","197","8293","90","42","11563.97","506.45","60.29","5","545","8","9"
"McDuffie","2979","US-13189","13","189","21597","259","75","13793.58","347.27","27.78","6","2051","19","34"
"McIntosh","1967","US-13191","13","191","14567","105","31","13503.12","212.81","54.92","8","476","4","4"
"Meriwether","3250","US-13199","13","199","21020","300","118","15461.47","561.37","23.79","5","1198","22","10"
"Miller","1288","US-13201","13","201","5764","60","20","22345.59","346.98","0","0","412","10","6"
"Mitchell","3104","US-13205","13","205","22056","325","102","14073.27","462.46","13.6","3","2069","13","22"
"Monroe","3893","US-13207","13","207","27727","281","134","14040.47","483.28","7.21","2","1954","38","44"
"Montgomery","1467","US-13209","13","209","9224","74","47","15904.16","509.54","108.41","10","578","4","6"
"Morgan","2897","US-13211","13","211","19138","197","52","15137.42","271.71","10.45","2","1608","10","12"
"Murray","9101","US-13213","13","213","40261","412","167","22605","414.79","47.19","19","2357","14","18"
"Muscogee","31957","US-13215","13","215","191626","2302","690","16676.76","360.08","62.62","120","5929","97","166"
"Newton","18000","US-13217","13","217","112354","1995","393","16020.79","349.79","35.6","40","6435","48","32"
"Non-GA Resident/Unknown State","63084","US-.","","","0","3224","958","0","0","0","540","16113","446","200"
"Oconee","6918","US-13219","13","219","41737","265","95","16575.22","227.62","21.56","9","1796","10","5"
"Oglethorpe","2373","US-13221","13","221","15240","189","49","15570.87","321.52","13.12","2","825","3","2"
"Paulding","25952","US-13223","13","223","172542","734","312","15040.98","180.83","33.04","57","11855","111","125"
"Peach","3683","US-13225","13","225","27375","320","105","13453.88","383.56","18.26","5","2454","24","39"
"Pickens","5097","US-13227","13","227","33530","462","128","15201.31","381.75","38.77","13","3168","34","27"
"Pierce","2842","US-13229","13","229","19545","302","106","14540.8","542.34","56.28","11","2908","23","62"
"Pike","2735","US-13231","13","231","18860","182","66","14501.59","349.95","5.3","1","2691","23","25"
"Polk","9246","US-13233","13","233","43482","669","161","21263.97","370.27","52.9","23","2547","27","62"
"Pulaski","1220","US-13235","13","235","10893","69","43","11199.85","394.75","45.9","5","930","29","37"
"Putnam","3636","US-13237","13","237","21885","286","97","16614.12","443.23","27.42","6","826","5","4"
"Quitman","231","US-13239","13","239","2294","21","3","10069.75","130.78","43.59","1","180","1","3"
"Rabun","2798","US-13241","13","241","16986","254","78","16472.39","459.2","47.1","8","841","16","16"
"Randolph","853","US-13243","13","243","6754","111","43","12629.55","636.66","0","0","617","5","0"
"Richmond","36349","US-13245","13","245","202240","2325","702","17973.2","347.11","104.83","212","13540","163","165"
"Rockdale","14951","US-13247","13","247","94960","2061","289","15744.52","304.34","45.28","43","3338","25","13"
"Schley","525","US-13249","13","249","5275","34","10","9952.61","189.57","75.83","4","625","0","4"
"Screven","1813","US-13251","13","251","13900","117","36","13043.17","258.99","21.58","3","792","31","40"
"Seminole","1644","US-13253","13","253","8140","111","24","20196.56","294.84","24.57","2","485","4","7"
"Spalding","10441","US-13255","13","255","69110","791","346","15107.8","500.65","21.7","15","5327","54","46"
"Stephens","5898","US-13257","13","257","26328","386","127","22402.01","482.38","34.18","9","350","14","8"
"Stewart","2073","US-13259","13","259","6129","149","32","33822.81","522.11","65.26","4","407","0","2"
"Sumter","3908","US-13261","13","261","29399","438","153","13292.97","520.43","17.01","5","2883","11","14"
"Talbot","940","US-13263","13","263","6158","81","31","15264.7","503.41","48.72","3","218","1","8"
"Taliaferro","183","US-13265","13","265","1632","17","3","11213.24","183.82","61.27","1","83","0","0"
"Tattnall","3455","US-13267","13","267","25411","177","82","13596.47","322.69","39.35","10","1715","48","73"
"Taylor","1141","US-13269","13","269","7958","115","39","14337.77","490.07","25.13","2","827","13","17"
"Telfair","1250","US-13271","13","271","15644","98","58","7990.28","370.75","12.78","2","1795","24","53"
"Terrell","1188","US-13273","13","273","8467","171","59","14030.94","696.82","11.81","1","842","2","2"
"Thomas","8838","US-13275","13","275","44431","622","179","19891.52","402.87","33.76","15","2825","28","41"
"Tift","6275","US-13277","13","277","40830","591","163","15368.6","399.22","17.14","7","5221","52","101"
"Toombs","5431","US-13279","13","279","26983","282","170","20127.49","630.03","133.42","36","1624","27","21"
"Towns","2043","US-13281","13","281","12034","206","84","16976.9","698.02","58.17","7","332","23","12"
"Treutlen","1132","US-13283","13","283","6829","70","47","16576.37","688.24","0","0","492","13","7"
"Troup","12059","US-13285","13","285","70414","714","313","17125.86","444.51","14.2","10","3321","60","42"
"Turner","1113","US-13287","13","287","8076","126","46","13781.58","569.59","0","0","1422","12","33"
"Twiggs","1041","US-13289","13","289","8086","161","55","12874.1","680.19","0","0","486","14","11"
"Union","4290","US-13291","13","291","25335","404","135","16933.1","532.86","35.52","9","545","17","7"
"Unknown","8500","US-.","","","0","93","12","0","0","0","196","1884","2","3"
"Upson","4158","US-13293","13","293","26277","325","170","15823.72","646.95","34.25","9","3544","60","32"
"Walker","13545","US-13295","13","295","69610","554","185","19458.41","265.77","136.47","95","2966","45","73"
"Walton","15858","US-13297","13","297","95814","1424","384","16550.82","400.78","25.05","24","5971","41","33"
"Ware","5989","US-13299","13","299","35853","621","219","16704.32","610.83","75.31","27","4003","56","121"
"Warren","652","US-13301","13","301","5210","70","23","12514.4","441.46","0","0","401","6","4"
"Washington","3228","US-13303","13","303","20302","148","80","15899.91","394.05","24.63","5","1134","52","38"
"Wayne","5699","US-13305","13","305","29974","461","179","19013.14","597.18","46.71","14","2061","24","27"
"Webster","251","US-13307","13","307","2550","26","8","9843.14","313.73","0","0","185","0","3"
"Wheeler","932","US-13309","13","309","7909","45","34","11784.04","429.89","12.64","1","477","4","9"
"White","6260","US-13311","13","311","31758","465","138","19711.57","434.54","25.19","8","502","18","10"
"Whitfield","27289","US-13313","13","313","104672","1072","387","26070.96","369.73","43.95","46","6654","33","30"
"Wilcox","828","US-13315","13","315","8790","94","33","9419.8","375.43","11.38","1","1160","36","40"
"Wilkes","1121","US-13317","13","317","10014","133","34","11194.33","339.52","29.96","3","1112","15","11"
"Wilkinson","1641","US-13319","13","319","8919","164","48","18398.92","538.18","22.42","2","582","8","6"
"Worth","2341","US-13321","13","321","20142","273","91","11622.48","451.79","14.89","3","2265","22","36"
