"age group","county name","cases","deaths","hospitalization"
"<1 years","Brantley","1","0","0"
"01-04 years","Brooks","13","0","0"
"05-09 years","Brooks","13","0","0"
"10-17 years","Brooks","63","0","0"
"18-29 years","Brooks","126","0","0"
"30-39 years","Brooks","94","0","2"
"40-49 years","Brooks","76","0","8"
"50-59 years","Brooks","95","2","14"
"60-69 years","Brooks","69","6","11"
"70-79 years","Brooks","58","9","16"
"80 & Older years","Brooks","37","9","5"
"<1 years","Brooks","3","0","0"
"Unknown years","Brooks","3","0","0"
"01-04 years","Bryan","25","0","0"
"05-09 years","Bryan","27","0","0"
"10-17 years","Bryan","109","0","1"
"18-29 years","Bryan","311","0","8"
"30-39 years","Bryan","264","1","7"
"40-49 years","Bryan","259","0","11"
"50-59 years","Bryan","212","3","20"
"60-69 years","Bryan","135","4","21"
"70-79 years","Bryan","83","5","27"
"80 & Older years","Bryan","48","3","13"
"<1 years","Bryan","5","0","0"
"Unknown years","Bryan","6","0","0"
"01-04 years","Bulloch","40","0","0"
"05-09 years","Bulloch","46","0","0"
"10-17 years","Bulloch","173","0","2"
"18-29 years","Bulloch","1721","0","7"
"30-39 years","Bulloch","377","2","18"
"40-49 years","Bulloch","306","2","20"
"50-59 years","Bulloch","293","1","22"
"60-69 years","Bulloch","199","12","33"
"70-79 years","Bulloch","105","10","26"
"80 & Older years","Bulloch","73","8","23"
"<1 years","Bulloch","14","0","2"
"Unknown years","Bulloch","15","0","0"
"01-04 years","Burke","13","0","0"
"05-09 years","Burke","28","0","0"
"10-17 years","Burke","71","0","1"
"18-29 years","Burke","206","0","6"
"30-39 years","Burke","160","0","5"
"40-49 years","Burke","163","1","10"
"50-59 years","Burke","165","1","24"
"60-69 years","Burke","119","4","26"
"70-79 years","Burke","73","3","19"
"80 & Older years","Burke","25","4","10"
"<1 years","Burke","4","0","0"
"Unknown years","Burke","1","0","0"
"01-04 years","Butts","8","0","0"
"05-09 years","Butts","10","0","0"
"10-17 years","Butts","47","0","1"
"18-29 years","Butts","162","0","3"
"30-39 years","Butts","155","0","7"
"40-49 years","Butts","142","2","10"
"50-59 years","Butts","140","3","15"
"60-69 years","Butts","110","7","16"
"70-79 years","Butts","71","11","9"
"80 & Older years","Butts","78","22","4"
"<1 years","Butts","3","0","0"
"Unknown years","Butts","6","0","0"
"01-04 years","Calhoun","1","0","0"
"10-17 years","Calhoun","11","0","0"
"18-29 years","Calhoun","44","0","4"
"30-39 years","Calhoun","43","2","5"
"40-49 years","Calhoun","66","1","8"
"50-59 years","Calhoun","54","2","10"
"60-69 years","Calhoun","47","2","16"
"70-79 years","Calhoun","16","2","5"
"80 & Older years","Calhoun","11","2","5"
"<1 years","Calhoun","1","0","0"
"01-04 years","Camden","26","0","0"
"05-09 years","Camden","20","0","0"
"10-17 years","Camden","114","0","0"
"18-29 years","Camden","479","0","4"
"30-39 years","Camden","294","0","10"
"40-49 years","Camden","241","1","10"
"50-59 years","Camden","285","1","13"
"60-69 years","Camden","200","5","17"
"70-79 years","Camden","102","0","13"
"80 & Older years","Camden","60","11","18"
"<1 years","Camden","7","0","1"
"Unknown years","Camden","13","0","0"
"01-04 years","Candler","8","0","0"
"05-09 years","Candler","9","0","0"
"10-17 years","Candler","46","0","0"
