"age group","county name","cases","deaths","hospitalization"
"01-04 years","Georgia","18271","2","316"
"05-09 years","Georgia","33060","2","244"
"10-17 years","Georgia","98538","11","894"
"18-29 years","Georgia","240346","147","4614"
"30-39 years","Georgia","178754","309","6094"
"40-49 years","Georgia","168040","754","8726"
"50-59 years","Georgia","155209","1960","12976"
"60-69 years","Georgia","103990","3986","14964"
"70-79 years","Georgia","59326","5576","13890"
"80 & Older years","Georgia","33311","7059","10449"
"<1 years","Georgia","4853","0","258"
"Unknown years","Georgia","4011","0","109"
"01-04 years","Appling","46","0","0"
"05-09 years","Appling","81","0","0"
"10-17 years","Appling","273","0","2"
"18-29 years","Appling","443","1","7"
"30-39 years","Appling","324","1","7"
"40-49 years","Appling","334","4","22"
"50-59 years","Appling","354","8","34"
"60-69 years","Appling","292","16","62"
"70-79 years","Appling","204","18","37"
"80 & Older years","Appling","102","22","36"
"<1 years","Appling","8","0","0"
"Unknown years","Appling","1","0","0"
"01-04 years","Atkinson","13","0","1"
"05-09 years","Atkinson","37","0","1"
"10-17 years","Atkinson","92","0","1"
"18-29 years","Atkinson","227","0","12"
"30-39 years","Atkinson","150","0","12"
"40-49 years","Atkinson","172","2","30"
"50-59 years","Atkinson","163","2","30"
"60-69 years","Atkinson","101","6","30"
"70-79 years","Atkinson","55","5","21"
"80 & Older years","Atkinson","16","5","11"
"<1 years","Atkinson","3","0","0"
"01-04 years","Bacon","33","0","0"
"05-09 years","Bacon","50","0","0"
"10-17 years","Bacon","146","0","1"
"18-29 years","Bacon","469","0","4"
"30-39 years","Bacon","235","0","5"
"40-49 years","Bacon","232","3","16"
"50-59 years","Bacon","196","2","16"
"60-69 years","Bacon","162","11","36"
"70-79 years","Bacon","99","9","25"
"80 & Older years","Bacon","46","9","14"
"<1 years","Bacon","8","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","9","0","0"
"05-09 years","Baker","8","0","0"
"10-17 years","Baker","12","0","0"
"18-29 years","Baker","40","0","0"
"30-39 years","Baker","26","0","4"
"40-49 years","Baker","24","2","3"
"50-59 years","Baker","31","0","2"
"60-69 years","Baker","37","3","16"
"70-79 years","Baker","19","3","11"
"80 & Older years","Baker","14","3","5"
"<1 years","Baker","2","0","0"
"01-04 years","Baldwin","50","0","0"
"05-09 years","Baldwin","105","0","0"
"10-17 years","Baldwin","325","1","6"
"18-29 years","Baldwin","1454","0","17"
"30-39 years","Baldwin","598","1","16"
"40-49 years","Baldwin","593","3","37"
"50-59 years","Baldwin","582","14","66"
"60-69 years","Baldwin","467","25","81"
"70-79 years","Baldwin","288","32","63"
"80 & Older years","Baldwin","177","53","67"
"<1 years","Baldwin","19","0","1"
"Unknown years","Baldwin","3","0","0"
"01-04 years","Banks","18","0","1"
"05-09 years","Banks","46","0","1"
"10-17 years","Banks","150","0","4"
"18-29 years","Banks","367","0","11"
"30-39 years","Banks","267","0","10"
"40-49 years","Banks","285","2","23"
"50-59 years","Banks","306","3","31"
"60-69 years","Banks","261","10","56"
"70-79 years","Banks","173","16","66"
"80 & Older years","Banks","90","13","31"
"<1 years","Banks","7","0","1"
"Unknown years","Banks","21","0","1"
"01-04 years","Barrow","154","0","2"
"05-09 years","Barrow","312","0","0"
"10-17 years","Barrow","1090","1","9"
"18-29 years","Barrow","2153","2","43"
"30-39 years","Barrow","1861","2","61"
"40-49 years","Barrow","1868","6","93"
"50-59 years","Barrow","1574","11","134"
"60-69 years","Barrow","1038","37","176"
"70-79 years","Barrow","587","40","120"
"80 & Older years","Barrow","270","53","101"
"<1 years","Barrow","43","0","2"
"Unknown years","Barrow","16","0","2"
"01-04 years","Bartow","179","0","6"
"05-09 years","Bartow","326","0","2"
"10-17 years","Bartow","1256","0","15"
"18-29 years","Bartow","2488","0","29"
"30-39 years","Bartow","2058","5","57"
"40-49 years","Bartow","2090","4","93"
"50-59 years","Bartow","2153","18","174"
"60-69 years","Bartow","1327","50","172"
"70-79 years","Bartow","882","80","208"
"80 & Older years","Bartow","432","80","133"
"<1 years","Bartow","60","0","3"
"Unknown years","Bartow","75","0","7"
"01-04 years","Ben Hill","36","0","1"
"05-09 years","Ben Hill","30","0","0"
"10-17 years","Ben Hill","142","0","0"
"18-29 years","Ben Hill","336","1","5"
"30-39 years","Ben Hill","256","3","11"
"40-49 years","Ben Hill","246","1","13"
"50-59 years","Ben Hill","269","6","33"
"60-69 years","Ben Hill","227","14","33"
"70-79 years","Ben Hill","154","19","55"
"80 & Older years","Ben Hill","73","19","19"
"<1 years","Ben Hill","7","0","1"
"Unknown years","Ben Hill","1","0","0"
"01-04 years","Berrien","33","0","0"
"05-09 years","Berrien","38","0","0"
"10-17 years","Berrien","141","0","1"
"18-29 years","Berrien","263","0","0"
"30-39 years","Berrien","219","0","3"
"40-49 years","Berrien","179","0","5"
"50-59 years","Berrien","203","4","17"
"60-69 years","Berrien","156","8","20"
"70-79 years","Berrien","110","15","20"
"80 & Older years","Berrien","57","13","15"
"<1 years","Berrien","7","0","0"
"Unknown years","Berrien","2","0","0"
"01-04 years","Bibb","243","0","7"
"05-09 years","Bibb","445","0","0"
"10-17 years","Bibb","1295","0","13"
"18-29 years","Bibb","3956","1","101"
"30-39 years","Bibb","2905","6","144"
"40-49 years","Bibb","2702","21","242"
"50-59 years","Bibb","2449","32","333"
"60-69 years","Bibb","1919","99","474"
"70-79 years","Bibb","1088","126","399"
"80 & Older years","Bibb","660","165","329"
"<1 years","Bibb","69","0","5"
"Unknown years","Bibb","6","0","0"
"01-04 years","Bleckley","13","0","0"
"05-09 years","Bleckley","30","0","0"
"10-17 years","Bleckley","98","0","0"
"18-29 years","Bleckley","230","0","4"
"30-39 years","Bleckley","130","1","4"
"40-49 years","Bleckley","125","1","2"
"50-59 years","Bleckley","127","2","6"
