Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,774,13
Hispanic/Latino,American Indian/Alaska Native,64,1
Hispanic/Latino,Asian,80,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,91,0
Hispanic/Latino,Other,13210,144
Hispanic/Latino,Unknown,5273,5
Hispanic/Latino,White,17428,219
Non-Hispanic/Latino,African-American/Black,62142,2585
Non-Hispanic/Latino,American Indian/Alaska Native,116,6
Non-Hispanic/Latino,Asian,3206,109
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,182,7
Non-Hispanic/Latino,Other,3159,15
Non-Hispanic/Latino,Unknown,2444,21
Non-Hispanic/Latino,White,68493,2983
Unknown,African-American/Black,11523,20
Unknown,American Indian/Alaska Native,54,0
Unknown,Asian,1066,1
Unknown,Native Hawaiian/Pacific Islander,128,2
Unknown,Other,4786,4
Unknown,Unknown,80915,51
Unknown,White,13989,18
