"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","2757","21"
"Hispanic/Latino","American Indian/Alaska Native","136","0"
"Hispanic/Latino","Asian","292","2"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","190","1"
"Hispanic/Latino","Other","31006","311"
"Hispanic/Latino","Unknown","13654","13"
"Hispanic/Latino","White","41330","550"
"Non-Hispanic/Latino","African-American/Black","200445","5742"
"Non-Hispanic/Latino","American Indian/Alaska Native","366","11"
"Non-Hispanic/Latino","Asian","15469","325"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","607","12"
"Non-Hispanic/Latino","Other","10696","56"
"Non-Hispanic/Latino","Unknown","7189","45"
"Non-Hispanic/Latino","White","294788","9580"
"Unknown","African-American/Black","26904","30"
"Unknown","American Indian/Alaska Native","181","0"
"Unknown","Asian","3632","1"
"Unknown","Native Hawaiian/Pacific Islander","176","0"
"Unknown","Other","26717","22"
"Unknown","Unknown","139855","56"
"Unknown","White","41878","49"
