"county_name","cases","county_id","State FIPS code","County FIPS code","population","hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths"
"Screven","1322","US-13251","13","251","13900","89","27","9510.79","194.24","345.32","48","431","21"
"Seminole","1179","US-13253","13","253","8140","89","22","14484.03","270.27","343.98","28","286","1"
"Spalding","6486","US-13255","13","255","69110","593","206","9385.04","298.08","507.89","351","3414","41"
"Stephens","4260","US-13257","13","257","26328","319","89","16180.49","338.04","1325.58","349","241","2"
"Stewart","1239","US-13259","13","259","6129","136","27","20215.37","440.53","2235.27","137","176","0"
"Sumter","2650","US-13261","13","261","29399","329","108","9013.91","367.36","380.97","112","1311","9"
"Talbot","564","US-13263","13","263","6158","58","23","9158.82","373.5","568.37","35","147","0"
"Taliaferro","126","US-13265","13","265","1632","10","3","7720.59","183.82","122.55","2","39","0"
"Tattnall","2715","US-13267","13","267","25411","146","67","10684.35","263.67","365.98","93","956","30"
"Taylor","726","US-13269","13","269","7958","86","28","9122.9","351.85","276.45","22","497","4"
"Telfair","936","US-13271","13","271","15644","82","50","5983.12","319.61","134.24","21","1201","15"
"Terrell","783","US-13273","13","273","8467","143","54","9247.67","637.77","436.99","37","376","1"
"Thomas","5897","US-13275","13","275","44431","468","153","13272.26","344.35","657.2","292","1577","13"
"Tift","4757","US-13277","13","277","40830","481","117","11650.75","286.55","237.57","97","3368","40"
"Toombs","4300","US-13279","13","279","26983","247","135","15935.96","500.32","533.67","144","923","17"
"Towns","1500","US-13281","13","281","12034","176","61","12464.68","506.9","407.18","49","216","12"
"Treutlen","864","US-13283","13","283","6829","60","36","12651.93","527.16","234.29","16","340","4"
"Troup","8341","US-13285","13","285","70414","620","241","11845.66","342.26","352.2","248","2228","42"
"Turner","780","US-13287","13","287","8076","104","39","9658.25","482.91","433.38","35","861","9"
"Twiggs","732","US-13289","13","289","8086","125","48","9052.68","593.62","432.85","35","319","10"
"Union","3022","US-13291","13","291","25335","306","97","11928.16","382.87","426.29","108","386","5"
"Unknown","3063","US-.",".",".","0","65","5","0","0","0","213","1554","1"
"Upson","2662","US-13293","13","293","26277","233","123","10130.53","468.09","391.98","103","2607","29"
"Walker","9090","US-13295","13","295","69610","337","103","13058.47","147.97","563.14","392","1469","17"
"Walton","10664","US-13297","13","297","95814","758","270","11129.9","281.8","532.28","510","3772","28"
"Ware","4409","US-13299","13","299","35853","487","189","12297.44","527.15","398.85","143","2683","34"
"Warren","495","US-13301","13","301","5210","57","19","9500.96","364.68","710.17","37","242","4"
"Washington","2297","US-13303","13","303","20302","130","71","11314.16","349.72","502.41","102","830","35"
"Wayne","4352","US-13305","13","305","29974","352","136","14519.25","453.73","370.32","111","1326","13"
"Webster","152","US-13307","13","307","2550","18","6","5960.78","235.29","156.86","4","73","0"
"Wheeler","592","US-13309","13","309","7909","40","28","7485.14","354.03","101.15","8","336","4"
"White","4337","US-13311","13","311","31758","381","100","13656.4","314.88","434.54","138","312","16"
"Whitfield","18617","US-13313","13","313","104672","874","287","17786.04","274.19","522.58","547","3050","19"
"Wilcox","628","US-13315","13","315","8790","80","31","7144.48","352.67","216.15","19","608","22"
"Wilkes","856","US-13317","13","317","10014","99","24","8548.03","239.66","559.22","56","619","10"
"Wilkinson","1086","US-13319","13","319","8919","136","33","12176.25","370","347.57","31","373","1"
"Worth","1717","US-13321","13","321","20142","220","75","8524.48","372.36","243.27","49","1206","9"
