"age group","county name","cases","deaths","confirmed_case_hospitalization"
"01-04 years","Georgia","45932","7","668"
"05-09 years","Georgia","77905","5","468"
"10-17 years","Georgia","189398","20","1654"
"18-29 years","Georgia","429018","270","8343"
"30-39 years","Georgia","338792","706","10210"
"40-49 years","Georgia","304497","1547","13525"
"50-59 years","Georgia","272419","3744","19802"
"60-69 years","Georgia","180290","6761","22653"
"70-79 years","Georgia","99671","8744","20779"
"80 & Older years","Georgia","51913","10076","15349"
"<1 years","Georgia","15194","5","694"
"Unknown years","Georgia","2586","0","357"
"01-04 years","Appling","76","0","0"
"05-09 years","Appling","123","0","0"
"10-17 years","Appling","415","1","3"
"18-29 years","Appling","637","1","8"
"30-39 years","Appling","499","4","10"
"40-49 years","Appling","488","10","32"
"50-59 years","Appling","483","12","48"
"60-69 years","Appling","405","24","74"
"70-79 years","Appling","279","27","57"
"80 & Older years","Appling","138","34","45"
"<1 years","Appling","15","0","0"
"01-04 years","Atkinson","40","1","3"
"05-09 years","Atkinson","73","0","1"
"10-17 years","Atkinson","192","0","2"
"18-29 years","Atkinson","325","0","17"
"30-39 years","Atkinson","245","0","17"
"40-49 years","Atkinson","240","4","39"
"50-59 years","Atkinson","226","5","40"
"60-69 years","Atkinson","149","9","49"
"70-79 years","Atkinson","81","10","35"
"80 & Older years","Atkinson","35","12","23"
"<1 years","Atkinson","13","0","1"
"01-04 years","Bacon","56","0","1"
"05-09 years","Bacon","81","0","1"
"10-17 years","Bacon","241","0","1"
"18-29 years","Bacon","657","0","13"
"30-39 years","Bacon","394","1","12"
"40-49 years","Bacon","394","5","26"
"50-59 years","Bacon","308","5","32"
"60-69 years","Bacon","261","21","59"
"70-79 years","Bacon","173","18","51"
"80 & Older years","Bacon","87","16","31"
"<1 years","Bacon","18","0","0"
"Unknown years","Bacon","1","0","0"
"01-04 years","Baker","12","0","0"
"05-09 years","Baker","21","0","0"
"10-17 years","Baker","22","0","0"
"18-29 years","Baker","58","0","0"
"30-39 years","Baker","37","0","4"
"40-49 years","Baker","36","3","3"
"50-59 years","Baker","40","0","5"
"60-69 years","Baker","46","3","17"
"70-79 years","Baker","24","3","11"
"80 & Older years","Baker","18","5","6"
"<1 years","Baker","3","0","0"
"01-04 years","Baldwin","120","0","2"
"05-09 years","Baldwin","252","0","0"
"10-17 years","Baldwin","573","1","5"
"18-29 years","Baldwin","2051","0","22"
"30-39 years","Baldwin","1046","2","21"
"40-49 years","Baldwin","980","7","47"
"50-59 years","Baldwin","940","24","83"
"60-69 years","Baldwin","732","44","101"
"70-79 years","Baldwin","443","52","79"
"80 & Older years","Baldwin","243","70","80"
"<1 years","Baldwin","41","0","4"
"Unknown years","Baldwin","2","0","0"
"01-04 years","Banks","50","0","2"
"05-09 years","Banks","96","0","1"
"10-17 years","Banks","257","0","5"
"18-29 years","Banks","669","1","24"
"30-39 years","Banks","509","0","22"
"40-49 years","Banks","505","8","33"
"50-59 years","Banks","519","9","49"
"60-69 years","Banks","409","17","80"
"70-79 years","Banks","290","30","90"
"80 & Older years","Banks","128","21","43"
"<1 years","Banks","29","0","2"
"Unknown years","Banks","7","0","1"
"01-04 years","Barrow","404","0","2"
"05-09 years","Barrow","709","0","3"
"10-17 years","Barrow","1960","1","17"
"18-29 years","Barrow","3867","2","75"
"30-39 years","Barrow","3473","3","95"
"40-49 years","Barrow","3258","14","123"
"50-59 years","Barrow","2768","24","185"
"60-69 years","Barrow","1789","59","207"
"70-79 years","Barrow","1021","67","159"
"80 & Older years","Barrow","450","77","145"
"<1 years","Barrow","173","0","11"
"Unknown years","Barrow","9","0","2"
"01-04 years","Bartow","462","0","15"
"05-09 years","Bartow","699","0","4"
"10-17 years","Bartow","2046","0","19"
"18-29 years","Bartow","4192","0","45"
"30-39 years","Bartow","3454","7","80"
"40-49 years","Bartow","3311","12","134"
"50-59 years","Bartow","3422","37","238"
"60-69 years","Bartow","2189","99","262"
"70-79 years","Bartow","1346","125","274"
"80 & Older years","Bartow","646","111","177"
"<1 years","Bartow","204","0","7"
"Unknown years","Bartow","14","0","2"
"01-04 years","Ben Hill","44","0","1"
"05-09 years","Ben Hill","41","0","0"
"10-17 years","Ben Hill","179","0","0"
"18-29 years","Ben Hill","432","0","5"
"30-39 years","Ben Hill","340","3","12"
