"province","date_recovered","recovered","cumulative_recovered"
"Alberta",2020-07-18,0,8193
"Alberta",2020-07-19,0,8193
"Alberta",2020-07-20,115,8308
"Alberta",2020-07-21,55,8363
"Alberta",2020-07-22,73,8436
"Alberta",2020-07-23,70,8506
"Alberta",2020-07-24,61,8567
"Alberta",2020-07-25,0,8567
"Alberta",2020-07-26,0,8567
"Alberta",2020-07-27,207,8774
"Alberta",2020-07-28,112,8886
"Alberta",2020-07-29,97,8983
"Alberta",2020-07-30,130,9113
"Alberta",2020-07-31,148,9261
"Alberta",2020-08-01,0,9261
"Alberta",2020-08-02,0,9261
"Alberta",2020-08-03,0,9261
"Alberta",2020-08-04,493,9754
"Alberta",2020-08-05,137,9891
"Alberta",2020-08-06,93,9984
"Alberta",2020-08-07,113,10097
"Alberta",2020-08-08,0,10097
"Alberta",2020-08-09,0,10097
"Alberta",2020-08-10,287,10384
"Alberta",2020-08-11,168,10552
"Alberta",2020-08-12,80,10632
"Alberta",2020-08-13,81,10713
"Alberta",2020-08-14,83,10796
"Alberta",2020-08-15,0,10796
"Alberta",2020-08-16,0,10796
"Alberta",2020-08-17,260,11056
"Alberta",2020-08-18,-31,11025
"Alberta",2020-08-19,142,11167
"Alberta",2020-08-20,125,11292
"Alberta",2020-08-21,82,11374
"Alberta",2020-08-22,0,11374
"Alberta",2020-08-23,0,11374
"Alberta",2020-08-24,226,11600
"Alberta",2020-08-25,114,11714
"Alberta",2020-08-26,85,11799
"Alberta",2020-08-27,124,11923
"Alberta",2020-08-28,131,12054
"Alberta",2020-08-29,0,12054
"Alberta",2020-08-30,0,12054
"Alberta",2020-08-31,239,12293
"Alberta",2020-09-01,134,12427
"Alberta",2020-09-02,108,12535
"Alberta",2020-09-03,118,12653
"Alberta",2020-09-04,146,12799
"Alberta",2020-09-05,0,12799
"Alberta",2020-09-06,0,12799
"Alberta",2020-09-07,0,12799
"Alberta",2020-09-08,355,13154
"Alberta",2020-09-09,204,13358
"Alberta",2020-09-10,199,13557
"Alberta",2020-09-11,161,13718
"Alberta",2020-09-12,0,13718
"Alberta",2020-09-13,0,13718
"Alberta",2020-09-14,323,14041
"Alberta",2020-09-15,171,14212
"Alberta",2020-09-16,167,14379
"Alberta",2020-09-17,158,14537
"Alberta",2020-09-18,165,14702
"Alberta",2020-09-19,0,14702
"Alberta",2020-09-20,0,14702
"Alberta",2020-09-21,322,15024
"Alberta",2020-09-22,42,15066
"Alberta",2020-09-23,186,15252
"Alberta",2020-09-24,215,15467
"Alberta",2020-09-25,118,15585
"Alberta",2020-09-26,0,15585
"Alberta",2020-09-27,0,15585
"Alberta",2020-09-28,350,15935
"Alberta",2020-09-29,137,16072
"Alberta",2020-09-30,141,16213
"Alberta",2020-10-01,157,16370
"Alberta",2020-10-02,157,16527
"Alberta",2020-10-03,0,16527
"Alberta",2020-10-04,0,16527
"Alberta",2020-10-05,345,16872
"Alberta",2020-10-06,158,17030
"Alberta",2020-10-07,133,17163
"Alberta",2020-10-08,175,17338
"Alberta",2020-10-09,150,17488
"Alberta",2020-10-10,0,17488
"Alberta",2020-10-11,0,17488
"Alberta",2020-10-12,0,17488
"Alberta",2020-10-13,567,18055
"Alberta",2020-10-14,168,18223
"Alberta",2020-10-15,194,18417
"Alberta",2020-10-16,234,18651
"Alberta",2020-10-17,0,18651
"Alberta",2020-10-18,0,18651
"Alberta",2020-10-19,592,19243
"Alberta",2020-10-20,257,19500
"Alberta",2020-10-21,234,19734
"Alberta",2020-10-22,280,20014
"Alberta",2020-10-23,296,20310
"Alberta",2020-10-24,0,20310
"Alberta",2020-10-25,0,20310
"Alberta",2020-10-26,639,20949
"Alberta",2020-10-27,159,21108
"Alberta",2020-10-28,351,21459
"Alberta",2020-10-29,344,21803
"Alberta",2020-10-30,366,22169
"Alberta",2020-10-31,0,22169
"Alberta",2020-11-01,0,22169
"Alberta",2020-11-02,0,22169
"Alberta",2020-11-03,1315,23484
"Alberta",2020-11-04,390,23874
"Alberta",2020-11-05,0,23874
"Alberta",2020-11-06,810,24684
"Alberta",2020-11-07,0,24684
"Alberta",2020-11-08,0,24684
"Alberta",2020-11-09,1142,25826
"Alberta",2020-11-10,581,26407
"Alberta",2020-11-11,0,26407
"Alberta",2020-11-12,1300,27707
"Alberta",2020-11-13,614,28321
"Alberta",2020-11-14,0,28321
"Alberta",2020-11-15,0,28321
"Alberta",2020-11-16,1410,29731
"Alberta",2020-11-17,731,30462
"Alberta",2020-11-18,730,31192
"Alberta",2020-11-19,772,31964
"Alberta",2020-11-20,871,32835
"Alberta",2020-11-21,708,33543
"Alberta",2020-11-22,663,34206
"Alberta",2020-11-23,573,34779
"Alberta",2020-11-24,916,35695
"Alberta",2020-11-25,887,36582
"Alberta",2020-11-26,734,37316
"Alberta",2020-11-27,1053,38369
"Alberta",2020-11-28,1012,39381
"Alberta",2020-11-29,838,40219
"Alberta",2020-11-30,963,41182
"Alberta",2020-12-01,1123,42305
"Alberta",2020-12-02,1159,43464
"Alberta",2020-12-03,1241,44705
"Alberta",2020-12-04,1313,46018
"Alberta",2020-12-05,1310,47328
"Alberta",2020-12-06,1139,48467
"Alberta",2020-12-07,1136,49603
"Alberta",2020-12-08,1397,51000
"Alberta",2020-12-09,1636,52636
"Alberta",2020-12-10,1589,54225
"Alberta",2020-12-11,1722,55947
"Alberta",2020-12-12,1666,57613
"Alberta",2020-12-13,1205,58818
"Alberta",2020-12-14,1312,60130
"Alberta",2020-12-15,1804,61934
"Alberta",2020-12-16,1734,63668
"Alberta",2020-12-17,1845,65513
"Alberta",2020-12-18,1646,67159
"Alberta",2020-12-19,1673,68832
"Alberta",2020-12-20,1335,70167
"Alberta",2020-12-21,1267,71434
"Alberta",2020-12-22,1864,73298
"Alberta",2020-12-23,1772,75070
"Alberta",2020-12-24,0,75070
"Alberta",2020-12-25,0,75070
"Alberta",2020-12-26,0,75070
"Alberta",2020-12-27,0,75070
"Alberta",2020-12-28,6710,81780
"Alberta",2020-12-29,1548,83328
"Alberta",2020-12-30,1499,84827
"Alberta",2020-12-31,0,84827
"Alberta",2021-01-01,0,84827
"Alberta",2021-01-02,0,84827
"Alberta",2021-01-03,0,84827
"Alberta",2021-01-04,5727,90554
"Alberta",2021-01-05,1245,91799
"Alberta",2021-01-06,1059,92858
"Alberta",2021-01-07,1096,93954
"Alberta",2021-01-08,829,94783
"Alberta",2021-01-09,149,94932
"Alberta",2021-01-10,1120,96052
"Alberta",2021-01-11,815,96867
"Alberta",2021-01-12,1311,98178
"Alberta",2021-01-13,1234,99412
"Alberta",2021-01-14,1350,100762
"Alberta",2021-01-15,1017,101779
"Alberta",2021-01-16,178,101957
"Alberta",2021-01-17,1210,103167
"Alberta",2021-01-18,774,103941
"Alberta",2021-01-19,1267,105208
"Alberta",2021-01-20,1179,106387
"Alberta",2021-01-21,971,107358
"Alberta",2021-01-22,900,108258
"Alberta",2021-01-23,820,109078
"Alberta",2021-01-24,655,109733
"Alberta",2021-01-25,889,110622
"Alberta",2021-01-26,1040,111662
"Alberta",2021-01-27,896,112558
"Alberta",2021-01-28,616,113174
"Alberta",2021-01-29,765,113939
"Alberta",2021-01-30,647,114586
"Alberta",2021-01-31,478,115064
"Alberta",2021-02-01,463,115527
"BC",2020-02-12,0,0
"BC",2020-02-13,0,0
"BC",2020-02-14,0,0
"BC",2020-02-15,0,0
"BC",2020-02-16,0,0
"BC",2020-02-17,0,0
"BC",2020-02-18,0,0
"BC",2020-02-19,1,1
"BC",2020-02-20,0,1
"BC",2020-02-21,0,1
"BC",2020-02-22,0,1
"BC",2020-02-23,0,1
"BC",2020-02-24,0,1
"BC",2020-02-25,3,4
"BC",2020-02-26,0,4
"BC",2020-02-27,0,4
"BC",2020-02-28,0,4
"BC",2020-02-29,0,4
"BC",2020-03-01,0,4
"BC",2020-03-02,0,4
"BC",2020-03-03,0,4
"BC",2020-03-04,0,4
"BC",2020-03-05,0,4
"BC",2020-03-06,0,4
"BC",2020-03-07,0,4
"BC",2020-03-08,0,4
