"sex","county name","cases","deaths","confirmed_case_hospitalization"
"Female","Georgia","935691","12589","51790"
"Male","Georgia","778494","14441","48675"
"Unknown","Georgia","12784","7","268"
"Female","Appling","1767","48","128"
"Male","Appling","1478","52","122"
"Unknown","Appling","14","0","0"
"Female","Atkinson","754","12","95"
"Male","Atkinson","613","20","93"
"Unknown","Atkinson","5","0","0"
"Female","Bacon","1057","22","85"
"Male","Bacon","1205","31","91"
"Unknown","Bacon","4","0","0"
"Female","Baker","158","5","21"
"Male","Baker","130","8","23"
"Female","Baldwin","3751","60","176"
"Male","Baldwin","2925","117","235"
"Unknown","Baldwin","17","0","0"
"Female","Banks","1661","34","165"
"Male","Banks","1384","33","140"
"Unknown","Banks","15","0","0"
"Female","Barrow","9616","100","497"
"Male","Barrow","8093","106","438"
"Unknown","Barrow","65","0","1"
"Female","Bartow","10606","160","564"
"Male","Bartow","9135","186","578"
"Unknown","Bartow","106","0","0"
"Female","Ben Hill","1186","31","98"
"Male","Ben Hill","874","41","85"
"Unknown","Ben Hill","4","0","0"
"Female","Berrien","999","27","56"
"Male","Berrien","812","24","47"
"Unknown","Berrien","5","0","0"
"Female","Bibb","15149","314","1378"
"Male","Bibb","11088","296","1150"
"Unknown","Bibb","223","0","1"
"Female","Bleckley","767","23","36"
"Male","Bleckley","561","18","30"
"Unknown","Bleckley","6","0","0"
"Female","Brantley","1194","36","90"
"Male","Brantley","994","43","79"
"Unknown","Brantley","6","0","0"
"Female","Brooks","943","22","75"
"Male","Brooks","731","35","63"
"Unknown","Brooks","6","0","0"
"Female","Bryan","3101","25","159"
"Male","Bryan","2822","40","192"
"Unknown","Bryan","4","0","0"
"Female","Bulloch","5448","57","183"
"Male","Bulloch","4184","44","148"
"Unknown","Bulloch","28","0","0"
"Female","Burke","1530","25","111"
"Male","Burke","1207","24","98"
"Unknown","Burke","10","0","1"
"Female","Butts","2154","54","103"
"Male","Butts","2192","63","129"
"Unknown","Butts","28","0","0"
"Female","Calhoun","369","14","43"
"Male","Calhoun","362","7","53"
"Unknown","Calhoun","1","0","0"
"Female","Camden","3999","41","122"
"Male","Camden","3455","43","105"
"Unknown","Camden","51","0","0"
"Female","Candler","678","17","53"
"Male","Candler","564","34","37"
"Female","Carroll","7085","75","196"
"Male","Carroll","6131","88","217"
"Unknown","Carroll","54","0","5"
"Female","Catoosa","5710","57","179"
"Male","Catoosa","4988","48","176"
"Unknown","Catoosa","96","0","3"
"Female","Charlton","774","18","60"
"Male","Charlton","1175","26","52"
"Unknown","Charlton","9","0","0"
"Female","Chatham","26008","313","1505"
"Male","Chatham","21248","378","1390"
"Unknown","Chatham","96","0","4"
"Female","Chattahoochee","515","3","19"
"Male","Chattahoochee","5192","13","27"
"Unknown","Chattahoochee","17","0","0"
"Female","Chattooga","2552","46","135"
"Male","Chattooga","2092","54","156"
"Unknown","Chattooga","17","0","0"
"Female","Cherokee","22165","199","1027"
"Male","Cherokee","19208","274","1175"
"Unknown","Cherokee","130","0","1"
"Female","Clarke","13536","77","529"
"Male","Clarke","10401","108","474"
"Unknown","Clarke","54","0","2"
"Female","Clay","185","1","8"
"Male","Clay","131","3","6"
"Unknown","Clay","2","0","0"
"Female","Clayton","28964","381","1553"
"Male","Clayton","21200","378","1295"
"Unknown","Clayton","220","0","4"
"Female","Clinch","660","15","46"
"Male","Clinch","589","19","43"
"Unknown","Clinch","1","0","0"
"Female","Cobb","65602","628","2261"
"Male","Cobb","54511","768","2283"
"Unknown","Cobb","499","0","6"
"Female","Coffee","4165","106","530"
"Male","Coffee","3359","93","416"
"Unknown","Coffee","22","0","0"
"Female","Colquitt","3792","59","183"
"Male","Colquitt","3361","80","186"
"Unknown","Colquitt","16","0","0"
"Female","Columbia","9526","111","378"
"Male","Columbia","8297","159","374"
