"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","5139","39"
"Hispanic/Latino","American Indian/Alaska Native","275","1"
"Hispanic/Latino","Asian","521","6"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","364","6"
"Hispanic/Latino","Other","45800","450"
"Hispanic/Latino","Unknown","22127","9"
"Hispanic/Latino","White","61293","754"
"Non-Hispanic/Latino","African-American/Black","338117","8406"
"Non-Hispanic/Latino","American Indian/Alaska Native","604","17"
"Non-Hispanic/Latino","Asian","24344","420"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","968","16"
"Non-Hispanic/Latino","Other","21334","294"
"Non-Hispanic/Latino","Unknown","10556","14"
"Non-Hispanic/Latino","White","490856","14761"
"Unknown","African-American/Black","28272","27"
"Unknown","American Indian/Alaska Native","228","0"
"Unknown","Asian","5116","2"
"Unknown","Native Hawaiian/Pacific Islander","217","0"
"Unknown","Other","28723","17"
"Unknown","Unknown","147132","82"
"Unknown","White","43252","47"
