Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,398,9
Hispanic/Latino,American Indian/Alaska Native,25,0
Hispanic/Latino,Asian,38,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,28,0
Hispanic/Latino,Other,7142,85
Hispanic/Latino,Unknown,3260,7
Hispanic/Latino,White,9671,95
Non-Hispanic/Latino,African-American/Black,33390,1502
Non-Hispanic/Latino,American Indian/Alaska Native,68,5
Non-Hispanic/Latino,Asian,1366,52
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,79,7
Non-Hispanic/Latino,Other,1462,11
Non-Hispanic/Latino,Unknown,1063,7
Non-Hispanic/Latino,White,29856,1490
Unknown,African-American/Black,5618,14
Unknown,American Indian/Alaska Native,21,0
Unknown,Asian,471,1
Unknown,Native Hawaiian/Pacific Islander,74,0
Unknown,Other,2729,4
Unknown,Unknown,50351,33
Unknown,White,5192,13
