county_resident,Positive,DEATHS,HOSPITALIZATION,case_rate
Appling,247,14,42,1330.75
Atkinson,119,2,16,1428.57
Bacon,226,4,19,1981.76
Baker,43,3,12,1379.97
Baldwin,476,33,75,1071.4
Banks,129,0,22,645.58
Barrow,466,25,104,539.46
Bartow,659,42,155,594.92
Ben Hill,150,1,12,901.17
Berrien,110,0,5,570.66
Bibb,724,38,177,475.85
Bleckley,55,1,5,428.42
Brantley,85,2,6,442.66
Brooks,141,11,16,896.55
Bryan,116,5,22,296.39
Bulloch,272,4,21,342.28
Burke,138,6,32,617.67
Butts,263,33,29,1044.73
Calhoun,161,5,35,2548.68
Camden,114,2,9,211.41
Candler,29,0,4,267.6
Carroll,669,39,115,556.95
Catoosa,303,7,27,440.59
Charlton,43,2,6,324.5
Chatham,1088,37,171,372.38
Chattahoochee,398,0,6,3702.67
Chattooga,56,2,4,226.12
Cherokee,1219,44,178,457.21
Clarke,481,15,56,370.63
Clay,57,2,5,1996.5
Clayton,1864,79,222,611.47
Clinch,100,3,10,1502.4
Cobb,4526,239,848,572.49
Coffee,483,17,96,1122.16
Colquitt,895,18,69,1971.67
Columbia,410,9,50,258.46
Cook,126,1,16,722.6
Coweta,634,15,58,417.1
Crawford,39,0,4,318.94
Crisp,267,12,44,1197.9
Dade,63,1,3,389.8
Dawson,131,3,20,484.81
DeKalb,5404,171,867,681.33
Decatur,249,8,27,945.98
Dodge,88,2,9,431.69
Dooly,200,12,43,1492.54
Dougherty,1883,154,458,2094.43
Douglas,864,36,179,568.77
Early,260,31,26,2562.59
Echols,181,0,6,4560.34
Effingham,123,1,14,192.11
Elbert,97,0,8,512.01
Emanuel,101,3,10,445.64
Evans,18,0,0,168.43
Fannin,94,1,7,357.14
Fayette,324,17,46,275.64
Floyd,493,15,54,493.41
Forsyth,778,15,88,308.11
Franklin,181,1,14,775.86
Fulton,6506,311,1053,591.9
Gilmer,181,2,23,576.12
Glascock,5,0,0,165.29
Glynn,538,4,30,625.24
Gordon,345,18,43,594.33
Grady,181,4,32,737.57
Greene,97,9,20,518.25
Gwinnett,7604,169,983,782.99
Habersham,659,35,91,1438.86
Hall,3101,59,431,1502.79
Hancock,210,32,37,2563.16
Haralson,68,5,16,221.34
Harris,304,9,37,875.78
Hart,55,0,5,210.67
Heard,48,3,7,388.04
Henry,1128,33,108,470.26
Houston,575,23,130,366.15
Irwin,50,1,8,530.05
Jackson,347,10,46,464.52
Jasper,67,1,8,471.86
Jeff Davis,79,2,7,521.52
Jefferson,86,1,12,561.61
Jenkins,94,11,24,1096.08
Johnson,85,2,16,879.83
Jones,61,0,4,213.35
Lamar,110,6,13,568.56
Lanier,127,3,10,1226.93
Laurens,151,1,18,319.27
Lee,385,22,67,1284.58
Liberty,114,1,16,184.16
Lincoln,33,1,8,406.15
Long,36,1,2,180.77
Lowndes,1129,9,87,957.77
Lumpkin,134,3,29,396.43
Macon,113,9,36,870.03
Madison,87,4,14,288.3
Marion,78,2,11,940.55
McDuffie,89,6,22,412.09
McIntosh,30,1,2,205.94
Meriwether,175,2,22,832.54
Miller,47,0,3,815.41
Mitchell,444,38,97,2013.06
Monroe,154,16,26,555.42
Montgomery,31,0,3,336.08
Morgan,46,0,6,240.36
Murray,191,2,18,474.4
Muscogee,1496,43,220,780.69
Newton,561,11,84,499.31
Non-Georgia Resident,3919,43,202,0
Oconee,146,10,23,349.81
Oglethorpe,88,7,17,577.43
Paulding,554,15,90,321.08
Peach,98,9,25,357.99
Pickens,88,5,16,262.45
Pierce,158,4,26,808.39
Pike,87,3,10,461.29
Polk,203,1,15,466.86
Pulaski,49,2,7,449.83
Putnam,136,12,21,621.43
Quitman,15,1,5,653.88
Rabun,41,3,14,241.38
Randolph,197,25,36,2916.79
Richmond,822,48,202,406.45
Rockdale,430,11,91,452.82
Schley,24,1,7,454.98
Screven,89,6,21,640.29
Seminole,50,2,8,614.25
Spalding,380,32,61,549.85
Stephens,195,6,36,740.66
Stewart,111,3,24,1811.06
Sumter,550,50,146,1870.81
Talbot,68,2,14,1104.25
Taliaferro,2,0,0,122.55
Tattnall,119,0,9,468.3
Taylor,27,2,10,339.28
Telfair,89,3,10,568.91
Terrell,224,27,54,2645.57
Thomas,415,32,70,934.03
Tift,686,25,97,1680.14
Toombs,225,5,17,833.86
Towns,38,1,10,315.77
Treutlen,23,1,3,336.8
Troup,1300,31,140,1846.22
Turner,175,16,34,2166.91
Twiggs,23,1,7,284.44
Union,67,3,18,264.46
Unknown,1593,2,32,0
Upson,348,43,44,1324.35
Walker,313,11,16,449.65
Walton,381,28,56,397.65
Ware,394,15,61,1098.93
Warren,19,0,9,364.68
Washington,91,1,11,448.23
Wayne,55,0,6,183.49
Webster,21,1,5,823.53
Wheeler,43,0,2,543.68
White,139,4,28,437.68
Whitfield,976,10,50,932.44
Wilcox,126,15,20,1433.45
Wilkes,52,1,9,519.27
Wilkinson,75,8,23,840.9
Worth,300,21,54,1489.43
