"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","920","12"
"Hispanic/Latino","American Indian/Alaska Native","45","0"
"Hispanic/Latino","Asian","91","0"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","95","0"
"Hispanic/Latino","Other","14987","158"
"Hispanic/Latino","Unknown","5983","6"
"Hispanic/Latino","White","20006","264"
"Non-Hispanic/Latino","African-American/Black","73300","2950"
"Non-Hispanic/Latino","American Indian/Alaska Native","132","9"
"Non-Hispanic/Latino","Asian","4117","132"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","217","6"
"Non-Hispanic/Latino","Other","3778","15"
"Non-Hispanic/Latino","Unknown","3007","32"
"Non-Hispanic/Latino","White","88595","3627"
"Unknown","African-American/Black","12742","14"
"Unknown","American Indian/Alaska Native","55","0"
"Unknown","Asian","1225","0"
"Unknown","Native Hawaiian/Pacific Islander","82","0"
"Unknown","Other","5254","3"
"Unknown","Unknown","76368","52"
"Unknown","White","16408","14"
