"Ethnicity","race","cases","Deaths"
"Hispanic/Latino","African-American/Black","4847","36"
"Hispanic/Latino","American Indian/Alaska Native","280","1"
"Hispanic/Latino","Asian","466","5"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","351","6"
"Hispanic/Latino","Other","44973","424"
"Hispanic/Latino","Unknown","22031","9"
"Hispanic/Latino","White","58905","717"
"Non-Hispanic/Latino","African-American/Black","325205","7984"
"Non-Hispanic/Latino","American Indian/Alaska Native","601","19"
"Non-Hispanic/Latino","Asian","23254","409"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","933","15"
"Non-Hispanic/Latino","Other","21294","251"
"Non-Hispanic/Latino","Unknown","11743","10"
"Non-Hispanic/Latino","White","470731","14008"
"Unknown","African-American/Black","28351","25"
"Unknown","American Indian/Alaska Native","226","0"
"Unknown","Asian","5013","2"
"Unknown","Native Hawaiian/Pacific Islander","216","0"
"Unknown","Other","28892","16"
"Unknown","Unknown","162964","69"
"Unknown","White","42985","47"
