Ethnicity,race,Confirmed_Cases,Deaths
Hispanic/Latino,African-American/Black,657,12
Hispanic/Latino,American Indian/Alaska Native,52,1
Hispanic/Latino,Asian,64,0
Hispanic/Latino,Native Hawaiian/Pacific Islander,75,0
Hispanic/Latino,Other,11199,123
Hispanic/Latino,Unknown,4823,3
Hispanic/Latino,White,15075,180
Non-Hispanic/Latino,African-American/Black,54221,2188
Non-Hispanic/Latino,American Indian/Alaska Native,96,4
Non-Hispanic/Latino,Asian,2487,90
Non-Hispanic/Latino,Native Hawaiian/Pacific Islander,142,6
Non-Hispanic/Latino,Other,2504,14
Non-Hispanic/Latino,Unknown,1935,13
Non-Hispanic/Latino,White,53162,2417
Unknown,African-American/Black,10507,18
Unknown,American Indian/Alaska Native,42,0
Unknown,Asian,874,1
Unknown,Native Hawaiian/Pacific Islander,115,1
Unknown,Other,4406,11
Unknown,Unknown,80339,34
Unknown,White,11174,16
