"ethnicity","race","cases","deaths"
"Hispanic/Latino","African-American/Black","5964","35"
"Hispanic/Latino","American Indian/Alaska Native","296","2"
"Hispanic/Latino","Asian","599","3"
"Hispanic/Latino","Native Hawaiian/Pacific Islander","391","4"
"Hispanic/Latino","Other","48086","449"
"Hispanic/Latino","Unknown","24444","10"
"Hispanic/Latino","White","65525","827"
"Non-Hispanic/Latino","African-American/Black","374586","8804"
"Non-Hispanic/Latino","American Indian/Alaska Native","733","23"
"Non-Hispanic/Latino","Asian","27152","442"
"Non-Hispanic/Latino","Native Hawaiian/Pacific Islander","1022","16"
"Non-Hispanic/Latino","Other","22538","96"
"Non-Hispanic/Latino","Unknown","9420","12"
"Non-Hispanic/Latino","White","530763","15438"
"Unknown","African-American/Black","29229","14"
"Unknown","American Indian/Alaska Native","233","0"
"Unknown","Asian","5132","2"
"Unknown","Native Hawaiian/Pacific Islander","219","0"
"Unknown","Other","28440","10"
"Unknown","Unknown","145176","68"
"Unknown","White","42582","22"
