"county_name","cases","county_id","State FIPS code","County FIPS code","population","confirmed_case_hospitalization","deaths","case rate","death rate","14 day case rate","14 day cases","antigen_cases","probable_deaths","antigen_case_hospitalization"
"Appling","2818","US-13001","13","1","18561","246","98","15182.37","527.99","37.71","7","737","10","17"
"Atkinson","1200","US-13003","13","3","8330","183","32","14405.76","384.15","60.02","5","401","5","18"
"Bacon","1993","US-13005","13","5","11404","167","52","17476.32","455.98","149.07","17","698","12","13"
"Baker","247","US-13007","13","7","3116","44","13","7926.83","417.2","128.37","4","133","1","3"
"Baldwin","5369","US-13009","13","9","44428","400","173","12084.72","389.39","123.8","55","1526","27","17"
"Banks","2547","US-13011","13","11","19982","294","64","12746.47","320.29","270.24","54","356","5","4"
"Barrow","13900","US-13013","13","13","86383","898","198","16091.13","229.21","502.41","434","1821","7","5"
"Bartow","16366","US-13015","13","15","110771","1071","323","14774.63","291.59","493.81","547","5579","47","81"
"Ben Hill","1882","US-13017","13","17","16645","181","72","11306.7","432.56","42.05","7","1378","39","62"
"Berrien","1568","US-13019","13","19","19276","97","51","8134.47","264.58","51.88","10","1979","21","34"
"Bibb","21010","US-13021","13","21","152150","2431","597","13808.74","392.38","325.99","496","5882","71","69"
"Bleckley","1114","US-13023","13","23","12838","64","40","8677.36","311.58","46.74","6","1243","44","64"
"Brantley","1916","US-13025","13","25","19202","165","76","9978.13","395.79","46.87","9","1248","13","31"
"Brooks","1418","US-13027","13","27","15727","136","56","9016.34","356.08","57.23","9","1043","19","24"
"Bryan","4751","US-13029","13","29","39137","336","65","12139.41","166.08","148.2","58","1710","12","16"
"Bulloch","8096","US-13031","13","31","79467","328","100","10187.88","125.84","108.22","86","3326","123","195"
"Burke","2347","US-13033","13","33","22342","200","48","10504.88","214.84","116.37","26","1483","38","29"
"Butts","3563","US-13035","13","35","25174","213","114","14153.49","452.85","448.88","113","1404","10","15"
"Calhoun","619","US-13037","13","37","6317","91","21","9798.96","332.44","63.32","4","231","1","3"
"Camden","6186","US-13039","13","39","53924","225","82","11471.7","152.07","114.98","62","1998","17","35"
"Candler","1123","US-13043","13","43","10837","89","50","10362.65","461.38","101.5","11","455","40","37"
"Carroll","10740","US-13045","13","45","120119","395","162","8941.13","134.87","380.46","457","6895","203","292"
